report_period,filing_date,filing_type,accession_number,net_premiums_written,net_premiums_earned,combined_ratio,avg_diluted_equivalent_shares,investment_income,total_net_realized_gains,service_revenues,fees_and_other_revenues,total_revenues,losses_lae,policy_acquisition_costs,other_underwriting_expenses,interest_expense,total_expenses,income_before_income_taxes,provision_for_income_taxes,net_income,total_comprehensive_income,eps_basic,eps_diluted,comprehensive_eps_diluted,avg_shares_basic,avg_shares_diluted,loss_lae_ratio,expense_ratio,pif_agency_auto,pif_direct_auto,pif_special_lines,pif_property,pif_total_personal_lines,pif_commercial_lines,pif_total,npw_agency,npw_direct,npw_property,npw_commercial,npe_agency,npe_direct,npe_property,npe_commercial,total_investments,total_assets,loss_lae_reserves,unearned_premiums,debt,total_liabilities,shareholders_equity,common_shares_outstanding,shares_repurchased,avg_cost_per_share,book_value_per_share,roe_net_income_trailing_12m,roe_comprehensive_trailing_12m,debt_to_total_capital,fixed_income_duration,fte_return_fixed_income,fte_return_common_stocks,fte_return_total_portfolio,investment_book_yield,net_unrealized_gains_fixed,weighted_avg_credit_quality
2004-08,2004-09-13,monthly_results,0000950152-04-006856,1085.7,1007.4,89.2,,40.6,4.4,3.8,,1056.2,687.9,109.0,101.4,6.7,907.4,148.8,48.5,100.3,,0.46,0.46,,216.0,218.9,,,4216.0,2029.0,-2.0,,8577.0,413.0,,,,,,,,,,-2.0,18695.6,5076.3,4340.3,1290.1,12674.9,6020.7,,0.2,76.61,27.76,28.7,,17.6,3.0,1.4,,1.3,,,
2004-09,2004-10-13,quarterly_earnings,0000950152-04-007345,1002.4,1013.2,88.1,219.0,44.2,20.1,3.6,,1081.1,687.8,109.7,95.2,6.7,903.3,177.8,57.3,120.5,,0.56,0.55,,215.9,219.0,67.9,20.2,4236.0,2050.0,2350.0,,8636.0,413.0,9049.0,589.7,294.9,,116.0,604.2,287.0,,119.6,14319.2,18495.7,5156.0,4326.5,1290.2,12364.7,6131.0,217.0,,,28.25,28.6,,17.4,,0.3,1.3,0.4,,545.5,
2004-10,2004-11-12,monthly_results,0000950152-04-008178,1279.8,1275.2,87.0,,37.7,,3.9,,1331.0,854.4,137.3,117.7,6.7,1120.0,211.0,70.8,140.2,,0.67,0.66,,210.4,213.6,67.0,20.0,4265.0,2071.0,,,8692.0,418.0,9110.0,749.2,360.4,,167.7,759.3,362.7,,150.5,13147.9,17303.6,5190.9,4327.6,1290.2,12484.6,4819.0,200.2,16.9,88.0,24.07,29.9,,21.1,,0.6,1.6,0.8,,590.3,
2004-11,2004-12-10,monthly_results,0000950152-04-008879,937.0,1019.3,89.6,,42.8,,3.6,,1061.4,699.6,109.4,104.7,6.8,923.6,137.8,44.0,93.8,,0.47,0.46,,199.1,202.4,68.6,21.0,4262.0,2077.0,,,8691.0,420.0,9111.0,550.4,263.3,,121.8,605.6,290.5,,120.8,13634.9,17747.1,5267.7,4245.7,1290.3,12843.5,4903.6,200.4,,,24.47,29.5,,20.8,,0.6,4.6,0.1,,556.6,
2004-12,2005-01-20,quarterly_earnings,0000950152-05-000341,1135.5,1270.2,80.6,202.3,39.5,10.6,4.4,,1303.5,776.5,135.5,112.1,7.0,1034.6,268.9,89.4,179.5,,0.9,0.89,,199.2,202.3,61.1,19.5,4245.0,2084.0,2351.0,,8680.0,420.0,9100.0,666.5,331.1,,135.3,752.3,363.4,,151.6,13082.0,17184.3,5285.6,4108.0,19.9,17154.3,30.0,200.4,,,25.73,30.0,,19.9,,0.8,3.6,1.2,,669.4,
2005-01,2005-02-17,monthly_results,0000950152-05-001310,1296.0,1269.2,85.0,,39.1,,4.6,,1314.4,829.4,135.5,114.4,6.9,1089.8,224.6,74.8,149.8,,0.75,0.74,,199.3,202.3,65.3,19.7,4319.0,2131.0,2363.0,,8813.0,423.0,9236.0,747.6,389.0,,156.6,749.6,366.6,,150.3,13422.7,17565.1,5309.1,4134.5,19.7,17538.7,26.4,200.1,0.5,83.46,26.18,26.4,,19.7,,0.3,2.4,0.1,,614.1,
2005-02,2005-03-17,monthly_results,0000950152-05-002257,1181.2,1030.9,85.2,,36.0,,3.3,,1079.1,665.2,109.2,103.8,7.0,888.3,190.8,63.1,127.7,,0.64,0.63,,199.0,201.9,64.5,20.7,4375.0,2166.0,2383.0,,8924.0,427.0,9351.0,686.0,359.1,,134.9,607.8,299.9,,121.3,,,,,,,,,,,,,,,,0.2,2.3,0.1,,,
2005-03,2005-04-14,quarterly_earnings,0000950152-05-003118,1127.6,1049.9,84.8,,45.3,,3.3,,1098.3,674.0,111.4,105.2,6.9,899.0,199.3,64.1,135.2,,0.68,0.67,,198.5,201.4,64.2,20.6,4443.0,2209.0,2429.0,,9081.0,433.0,9514.0,648.2,332.9,,144.8,618.0,306.1,,123.6,,,,,,,,,,,,,,,,0.3,1.4,0.4,,,
2005-04,2005-05-19,monthly_results,0000950152-05-004589,1430.4,1321.7,85.3,,39.8,,4.0,,1359.2,856.2,140.6,130.8,6.9,1137.8,221.4,73.8,147.6,,0.75,0.74,,197.9,200.7,64.8,20.5,4460.0,2233.0,2502.0,,9195.0,443.0,9638.0,823.7,414.8,,190.3,774.5,388.9,,155.6,14351.4,18754.6,5400.6,4472.9,19.2,18726.3,28.3,198.8,0.9,90.55,27.19,28.3,,19.2,2.9,1.1,1.7,0.7,,517.2,AA+
2005-05,2005-06-16,monthly_results,0000950152-05-005200,1070.9,1062.5,85.8,,42.1,,3.2,,1111.0,691.9,112.5,107.2,6.9,922.0,189.0,62.9,126.1,,0.64,0.63,,197.1,200.0,65.1,20.7,4482.0,2252.0,2555.0,,9289.0,449.0,9738.0,614.7,309.6,,144.8,619.5,313.8,,127.1,14162.7,18596.3,5465.3,4480.3,18.9,18566.8,29.5,198.2,0.8,94.62,27.87,29.5,,18.9,2.7,0.7,3.4,1.1,3.9,602.3,AA+
