month_end,filing_date,data_available_date,price_date,close,book_value_per_share,book_value_source,eps_basic,eps_basic_source,eps_basic_ttm,pb_ratio,pe_ratio
2004-08-31,2004-09-13,2004-09-13,2004-08-27,80.780000,27.760000,reported,0.460000,reported,,2.909942,
2004-09-30,2004-10-13,2004-10-13,2004-09-24,83.230000,28.250000,reported,0.560000,reported,,2.946195,
2004-10-31,2004-11-12,2004-11-12,2004-10-29,93.550000,24.070000,reported,0.670000,reported,,3.886581,
2004-11-30,2004-12-10,2004-12-10,2004-11-26,91.830000,24.470000,reported,0.470000,reported,,3.752758,
2004-12-31,2005-01-20,2005-01-20,2004-12-31,84.840000,25.730000,reported,0.900000,reported,,3.297318,
2005-01-31,2005-02-17,2005-02-17,2005-01-28,82.540000,26.180000,reported,0.750000,reported,,3.152788,
2005-02-28,2005-03-17,2005-05-19,2005-02-25,87.640000,26.470000,earnings_aware_interpolation,0.640000,reported,,3.310918,
2005-03-31,2005-04-14,2005-05-19,2005-03-24,89.090000,26.790000,earnings_aware_interpolation,0.680000,reported,,3.325495,
2005-04-30,2005-05-19,2005-05-19,2005-04-29,91.270000,27.190000,reported,0.750000,reported,,3.356749,
2005-05-31,2005-06-16,2005-06-16,2005-05-27,95.260000,27.870000,reported,0.640000,reported,,3.418012,
2005-06-30,2005-07-14,2005-07-14,2005-06-24,99.920000,28.280000,reported,0.610000,reported,,3.533239,
2005-07-31,2005-08-18,2005-08-18,2005-07-29,99.690000,28.800000,reported,0.730000,reported,7.860000,3.461458,12.683206
2005-08-31,2005-09-16,2005-09-16,2005-08-26,96.510000,29.200000,reported,0.290000,reported,7.690000,3.305137,12.550065
2005-09-30,2005-10-12,2005-10-12,2005-09-30,104.770000,29.480000,reported,0.530000,reported,7.660000,3.553935,13.677546
2005-10-31,2005-11-17,2005-11-17,2005-10-28,116.150000,29.490000,reported,0.390000,reported,7.380000,3.938623,15.738482
2005-11-30,2005-12-15,2005-12-15,2005-11-25,121.280000,30.290000,reported,0.430000,reported,7.340000,4.003962,16.523161
2005-12-31,2006-01-18,2006-01-18,2005-12-30,116.780000,30.960000,reported,0.630000,reported,7.070000,3.771964,16.517680
2006-01-31,2006-02-15,2006-02-15,2006-01-27,105.070000,31.610000,reported,0.790000,reported,7.110000,3.323948,14.777778
2006-02-28,2006-03-15,2006-03-15,2006-02-24,108.050000,32.100000,reported,0.650000,reported,7.120000,3.366044,15.175562
2006-03-31,2006-04-12,2006-04-12,2006-03-31,104.260000,32.240000,reported,0.800000,reported,7.240000,3.233871,14.400552
2006-04-30,2006-05-17,2006-05-17,2006-04-28,108.530000,32.860000,reported,0.820000,reported,7.310000,3.302800,14.846785
2006-05-31,2006-06-14,2006-06-14,2006-05-26,27.150000,8.240000,reported,0.160000,reported,1.827500,3.294903,14.856361
