benchmark,target_horizon,date,before,after,data_only,delta,status,sign_flip,delta_data,delta_window
VTI,6,2001-11-30,0.209631211,0.2490400935,0.209631211,0.03940888253,changed,False,0,0.03940888253
VTI,6,2002-02-28,0.2163158166,0.2155688037,0.2163158166,-0.0007470129238,changed,False,0,-0.0007470129238
VTI,6,2002-11-29,0.2213454873,0.219928978,0.2213454873,-0.001416509316,changed,False,0,-0.001416509316
VTI,6,2003-02-28,0.1211807165,0.1282626797,0.1211807165,0.007081963262,changed,False,0,0.007081963262
VTI,6,2003-04-30,-0.1148560123,-0.1088000751,-0.1148560123,0.006055937253,changed,False,0,0.006055937253
VTI,6,2004-06-30,-0.08650517156,-0.09654900932,-0.08650517156,-0.01004383777,changed,False,0,-0.01004383777
VTI,6,2005-09-30,-0.08503955956,-0.08294789241,-0.08503955956,0.00209166715,changed,False,0,0.00209166715
VTI,6,2006-09-29,-0.1958346649,-0.1966653058,-0.1958346649,-0.0008306408494,changed,False,0,-0.0008306408494
VTI,6,2007-02-28,-0.03796612687,-0.06678110582,-0.03796612687,-0.02881497895,changed,False,0,-0.02881497895
VTI,6,2008-04-30,0.02786779366,0.06403299635,0.02786779366,0.0361652027,changed,False,0,0.0361652027
VTI,6,2008-11-28,0.04014153152,0.01251397789,0.04014153152,-0.02762755363,changed,False,0,-0.02762755363
VTI,6,2009-01-30,0.07385901041,0.05595831412,0.07385901041,-0.0179006963,changed,False,0,-0.0179006963
VTI,6,2009-02-27,0.0276970559,0.002987446363,0.0276970559,-0.02470960953,changed,False,0,-0.02470960953
VTI,6,2009-06-30,-0.05048413708,-0.03977621296,-0.05048413708,0.01070792412,changed,False,0,0.01070792412
VTI,6,2010-01-29,0.1544827079,0.1407961308,0.1544827079,-0.01368657713,changed,False,0,-0.01368657713
VTI,6,2010-02-26,0.1530432624,0.1848433266,0.1530432624,0.03180006418,changed,False,0,0.03180006418
VTI,6,2010-06-30,-0.1285054335,-0.1237068125,-0.1285054335,0.00479862102,changed,False,0,0.00479862102
VTI,6,2012-02-29,-0.1107114693,-0.120872304,-0.1107114693,-0.01016083467,changed,False,0,-0.01016083467
VTI,6,2012-11-30,0.04819927841,0.04433877727,0.04819927841,-0.003860501139,changed,False,0,-0.003860501139
VTI,6,2013-02-28,-0.08338579802,-0.07833799634,-0.08338579802,0.005047801681,changed,False,0,0.005047801681
VTI,6,2013-11-29,-0.1244764976,-0.1388081968,-0.1244764976,-0.01433169924,changed,False,0,-0.01433169924
VTI,6,2014-02-28,-0.0542906303,-0.05390681065,-0.0542906303,0.0003838196475,changed,False,0,0.0003838196475
VTI,6,2014-04-30,0.03077700022,0.02349440723,0.03077700022,-0.007282592982,changed,False,0,-0.007282592982
VTI,6,2014-11-28,-0.01700236534,-0.005362481346,-0.01700236534,0.01163988399,changed,False,0,0.01163988399
VTI,6,2015-01-30,0.1542252637,0.1413035785,0.1542252637,-0.01292168527,changed,False,0,-0.01292168527
VTI,6,2015-02-27,0.1781003282,0.1745364555,0.1781003282,-0.003563872617,changed,False,0,-0.003563872617
VTI,6,2015-06-30,0.1541990481,0.1557603199,0.1541990481,0.001561271742,changed,False,0,0.001561271742
VTI,6,2016-09-30,0.1864713426,0.1646295315,0.1864713426,-0.02184181106,changed,False,0,-0.02184181106
VTI,6,2018-02-28,0.09536800407,0.09598874128,0.09536800407,0.0006207372111,changed,False,0,0.0006207372111
VTI,6,2018-09-28,0.09873053683,0.07568676152,0.09873053683,-0.02304377531,changed,False,0,-0.02304377531
VTI,6,2018-11-30,0.2237606633,0.2368482001,0.2237606633,0.01308753681,changed,False,0,0.01308753681
VTI,6,2019-02-28,0.02268264043,0.005520021081,0.02268264043,-0.01716261935,changed,False,0,-0.01716261935
VTI,6,2020-06-30,-0.01357129068,-0.01830544797,-0.01357129068,-0.004734157287,changed,False,0,-0.004734157287
VTI,6,2021-01-29,-0.0913223879,-0.08238580887,-0.0913223879,0.00893657903,changed,False,0,0.00893657903
VTI,6,2021-02-26,-0.009856802067,-0.03402798311,-0.009856802067,-0.02417118104,changed,False,0,-0.02417118104
VTI,6,2021-06-30,-0.02162856581,-0.01428358421,-0.02162856581,0.0073449816,changed,False,0,0.0073449816
VTI,6,2022-09-30,0.1033617636,0.08572455972,0.1033617636,-0.01763720391,changed,False,0,-0.01763720391
VTI,6,2023-11-30,0.08139285577,0.1324372801,0.08139285577,0.05104442432,changed,False,0,0.05104442432
VTI,6,2024-02-29,0.1529643501,0.2071023774,0.1529643501,0.05413802733,changed,False,0,0.05413802733
VTI,6,2024-11-29,0.09482984146,0.1075213264,0.09482984146,0.01269148493,changed,False,0,0.01269148493
VTI,6,2025-02-28,-0.2088282076,-0.2165266861,-0.2088282076,-0.007698478519,changed,False,0,-0.007698478519
VTI,6,2025-04-30,-0.4128027172,-0.4685912035,-0.4128027172,-0.05578848623,changed,False,0,-0.05578848623
VTI,6,2025-10-31,-0.02066606205,-0.01429785667,-0.01429785667,0.006368205381,changed,False,0.006368205381,0
VTI,6,2025-11-28,-0.1653078307,-0.2248463045,-0.1653078307,-0.0595384738,changed,False,0,-0.0595384738
VTI,6,2026-01-30,-0.04259006725,-0.06419516581,-0.04259006725,-0.02160509856,changed,False,0,-0.02160509856
VTI,6,2026-02-27,-0.08968061797,-0.09598364326,-0.08968061797,-0.006303025286,changed,False,0,-0.006303025286
VOO,6,2012-02-29,-0.1224449345,-0.130758196,-0.1224449345,-0.008313261441,changed,False,0,-0.008313261441
VOO,6,2012-11-30,0.05197152762,0.04948936536,0.05197152762,-0.002482162258,changed,False,0,-0.002482162258
