candidate_name,policy_name,mean_policy_return,diversification_aware_utility,weighted_policy_return,contextual_penalty,mean_ic,mean_oos_r2,simplicity_rank
baseline_historical_mean,neutral_band_3pct,0.06498308575559492,0.06033035100580851,0.06622998151262405,0.02359852202726216,-0.13837087105499132,-0.19954031439430445,3
ensemble_ridge_gbt,sign_hold_vs_sell,0.06933826549744285,0.06028385227597865,0.07049297241588431,0.04083648055962267,0.218203084778867,-0.2426539371692295,1
ridge_lean_v1,sign_hold_vs_sell,0.06801360258233746,0.059775768804278165,0.06887346719696677,0.03639079357075442,0.2595544197470378,-0.6391836319811459,1
baseline_historical_mean,neutral_band_2pct,0.06497283984479729,0.05970080627507035,0.06618444056355756,0.025934537153948833,-0.13837087105499132,-0.19954031439430445,2
ensemble_ridge_gbt_elasticnet,sign_hold_vs_sell,0.06784653114302526,0.05959255529760233,0.06888059097552864,0.037152142711705215,0.22388590781414047,-0.23546011060052635,1
baseline_historical_mean,sign_hold_vs_sell,0.06596329489735757,0.05940652997121139,0.06705034307499735,0.03057525241514385,-0.13837087105499132,-0.19954031439430445,1
ensemble_ridge_gbt,neutral_band_2pct,0.06875128179240918,0.05926816629310815,0.06977099678409027,0.042011321963928455,0.218203084778867,-0.2426539371692295,2
ridge_lean_v1,neutral_band_3pct,0.06663566988740925,0.05896670061096484,0.06755412442506123,0.03434969525638557,0.2595544197470378,-0.6391836319811459,3
ensemble_ridge_gbt,neutral_band_3pct,0.06857605838765785,0.058470261872613484,0.06956328645357987,0.04437209832386554,0.218203084778867,-0.2426539371692295,3
ensemble_ridge_gbt_elasticnet,neutral_band_2pct,0.06766103316132262,0.05827003587116126,0.06861651469484308,0.04138591529472727,0.22388590781414047,-0.23546011060052635,2
ridge_lean_v1,neutral_band_2pct,0.06636838090683322,0.05809965130799005,0.06722503197191264,0.03650152265569034,0.2595544197470378,-0.6391836319811459,2
ensemble_ridge_gbt_elasticnet,neutral_band_3pct,0.06666117461265243,0.05708514319004229,0.06756413500124668,0.04191596724481755,0.22388590781414047,-0.23546011060052635,3
elasticnet_lean_v1,sign_hold_vs_sell,0.06446611137571581,0.056989134836022234,0.06522114144290125,0.032928026427516084,0.1421914586270809,-0.539936844160534,1
gbt_lean_plus_two,sign_hold_vs_sell,0.06631151066407834,0.05663799324874148,0.06717069244323653,0.042130796777980206,0.1172661699670185,-0.3448142466035298,1
elasticnet_lean_v1,neutral_band_2pct,0.06424367303965471,0.056597396994754544,0.06506470836061314,0.033869245463434366,0.1421914586270809,-0.539936844160534,2
gbt_lean_plus_two,neutral_band_2pct,0.06591815172354172,0.05645797533561156,0.0667942926084831,0.04134526909148618,0.1172661699670185,-0.3448142466035298,2
gbt_lean_plus_two,neutral_band_3pct,0.06571749373461522,0.05619620318669165,0.06660096883251389,0.04161906258328894,0.1172661699670185,-0.3448142466035298,3
elasticnet_lean_v1,neutral_band_3pct,0.06301498548333473,0.0558590315598314,0.06388777525802877,0.03211497479278949,0.1421914586270809,-0.539936844160534,3
ridge_lean_v1,tiered_25_50_100,0.034829781365413974,0.03238708255525571,0.03534793983147691,0.01184342910488482,0.2595544197470378,-0.6391836319811459,6
ensemble_ridge_gbt,tiered_25_50_100,0.03512754059357046,0.030425812825339123,0.03564574489132283,0.020879728263934822,0.218203084778867,-0.2426539371692295,6
ensemble_ridge_gbt_elasticnet,tiered_25_50_100,0.0348833404402,0.03012690350933505,0.03539687126600701,0.021079871026687846,0.22388590781414047,-0.23546011060052635,6
baseline_historical_mean,tiered_25_50_100,0.028574622788134805,0.02891579006035826,0.029419242201112222,0.002013808563015843,-0.13837087105499132,-0.19954031439430445,6
gbt_lean_plus_two,tiered_25_50_100,0.03389278394367147,0.027840089104442547,0.03435678230071672,0.02606677278509668,0.1172661699670185,-0.3448142466035298,6
elasticnet_lean_v1,tiered_25_50_100,0.03223981735755849,0.02764670513887153,0.03264890837816043,0.020008812957155602,0.1421914586270809,-0.539936844160534,6
baseline_historical_mean,always_sell_50,0.0,0.0,0.0,0.0,-0.13837087105499132,-0.19954031439430445,4
ensemble_ridge_gbt_elasticnet,always_sell_50,0.0,0.0,0.0,0.0,0.22388590781414047,-0.23546011060052635,4
ensemble_ridge_gbt,always_sell_50,0.0,0.0,0.0,0.0,0.218203084778867,-0.2426539371692295,4
gbt_lean_plus_two,always_sell_50,0.0,0.0,0.0,0.0,0.1172661699670185,-0.3448142466035298,4
elasticnet_lean_v1,always_sell_50,0.0,0.0,0.0,0.0,0.1421914586270809,-0.539936844160534,4
ridge_lean_v1,always_sell_50,0.0,0.0,0.0,0.0,0.2595544197470378,-0.6391836319811459,4
baseline_historical_mean,always_sell_100,0.0,0.0,0.0,0.0,-0.13837087105499132,-0.19954031439430445,5
ensemble_ridge_gbt_elasticnet,always_sell_100,0.0,0.0,0.0,0.0,0.22388590781414047,-0.23546011060052635,5
ensemble_ridge_gbt,always_sell_100,0.0,0.0,0.0,0.0,0.218203084778867,-0.2426539371692295,5
gbt_lean_plus_two,always_sell_100,0.0,0.0,0.0,0.0,0.1172661699670185,-0.3448142466035298,5
elasticnet_lean_v1,always_sell_100,0.0,0.0,0.0,0.0,0.1421914586270809,-0.539936844160534,5
ridge_lean_v1,always_sell_100,0.0,0.0,0.0,0.0,0.2595544197470378,-0.6391836319811459,5
