candidate_name,candidate_feature,replace_feature,mean_policy_return_sign,mean_policy_return_sign_delta,mean_oos_r2,mean_oos_r2_delta,mean_ic,mean_ic_delta
gbt_lean_plus_two__v16,breakeven_inflation_10y,nfci,0.07269836619033139,0.0003422626220354894,-0.2754376773363517,-0.018659625480420244,0.13544120274481572,-0.017728921803775367
gbt_lean_plus_two__v16,commodity_equity_momentum,yield_curvature,0.07297350707002408,0.0006174035017281823,-0.2519757986101274,0.004802253245803995,0.1540168009761595,0.0008466764275683984
gbt_lean_plus_two__v16,gold_vs_treasury_6m,credit_spread_hy,0.06702236574138412,-0.005333737826911784,-0.3158026993147516,-0.05902464745882016,0.11679853797118384,-0.03637158657740725
gbt_lean_plus_two__v16,pgr_vs_peers_6m,mom_3m,0.07121076261881609,-0.0011453409494798115,-0.280528056126973,-0.023750004271041555,0.11587270799877739,-0.03729741654981371
gbt_lean_plus_two__v16,pgr_vs_vfh_6m,mom_6m,0.07306107823357869,0.0007049746652827956,-0.24845301149089194,0.008325040365039504,0.16285451829197253,0.009684393743381429
gbt_lean_plus_two__v16,vwo_vxus_spread_6m,real_rate_10y,0.07649092856478784,0.0041348249964919355,-0.22178248189816505,0.0349955699577664,0.17638872416872975,0.023218599620138634
ridge_lean_v1__v16,breakeven_inflation_10y,real_rate_10y,0.07131440154711385,-0.001457444215937451,-0.54303798712414,-0.022775879554675693,0.19897292380222387,0.006255011592962632
ridge_lean_v1__v16,gold_vs_treasury_6m,nfci,0.07393258502057277,0.001160739257521475,-0.4721437019790078,0.04811840559045655,0.14959602337952174,-0.04312188882973952
ridge_lean_v1__v16,pgr_vs_peers_6m,real_rate_10y,0.07172992904940376,-0.0010419167136475334,-0.5122526642123438,0.008009443357120519,0.1616733457224432,-0.031044566486818043
ridge_lean_v1__v16,pgr_vs_vfh_6m,credit_spread_hy,0.07225317533788828,-0.0005186704251630178,-0.32989630551535565,0.1903658020541087,0.14861275246864664,-0.044105159740614616
ridge_lean_v1__v16,real_yield_change_6m,yield_curvature,0.07508912278298749,0.0023172770199361824,-0.6709595056912645,-0.1506973981218002,0.1871006437997208,-0.005617268409540431
ridge_lean_v1__v16,vwo_vxus_spread_6m,yield_curvature,0.07369470570900999,0.0009228599459586927,-0.5694114792432303,-0.0491493716737659,0.08713205586707107,-0.10558585634219017
