feature_name,category,target_model,priority_rank,research_source,available_in_matrix,evaluation_status,blocked_reason,best_model,best_replace_feature,best_policy_return_sign_delta,best_oos_r2_delta,best_ic_delta
ppi_auto_ins_yoy,shared_regime,both,1,chatgpt,True,tested,,gbt_lean_plus_two,vmt_yoy,-0.0018546234569079578,0.024478870038952466,0.010817300886420697
used_car_cpi_yoy,shared_regime,both,2,chatgpt;claude,True,tested,,gbt_lean_plus_two,vmt_yoy,-0.00027790144295836237,0.027907015577181532,-0.0025589629480766863
medical_cpi_yoy,shared_regime,both,3,chatgpt,True,tested,,gbt_lean_plus_two,vmt_yoy,0.0011585919944236672,0.01891129680029638,0.013970909741030496
cr_acceleration,PGR_specific,ridge,4,gemini;claude,True,tested,,ridge_lean_v1,combined_ratio_ttm,-0.003774766548204701,0.2520790687558946,-0.0897192150806405
pgr_vs_peers_6m,PGR_specific,both,5,claude,True,tested,,gbt_lean_plus_two,mom_3m,0.00019829454858840984,-0.0276670208618829,-0.0532459255280399
unearned_premium_growth_yoy,PGR_specific,ridge,6,chatgpt,True,tested,,ridge_lean_v1,investment_income_growth_yoy,-0.007022872578442284,-0.3574241219920561,-0.10092842626140305
pif_growth_yoy,PGR_specific,ridge,7,gemini;claude,True,tested,,ridge_lean_v1,npw_growth_yoy,-0.007760791545143114,-0.0019021613900089551,-0.16257679257037322
rate_adequacy_gap_yoy,PGR_specific,both,8,chatgpt;claude,True,tested,,gbt_lean_plus_two,vmt_yoy,0.005694548897709983,0.11737480126739387,0.06206720627686024
severity_index_yoy,shared_regime,both,9,chatgpt,True,tested,,gbt_lean_plus_two,vmt_yoy,0.0018605236806588004,0.05033066781214332,0.021777654435146208
auto_pricing_power_spread,PGR_specific,both,10,geminipro,True,tested,,gbt_lean_plus_two,vmt_yoy,0.0012498731670495629,0.03600498388373119,0.016681148611579582
monthly_combined_ratio_delta,PGR_specific,ridge,11,gemini,True,tested,,ridge_lean_v1,combined_ratio_ttm,-0.004707989987742716,0.1824690544277928,-0.06151713430233401
pif_growth_acceleration,PGR_specific,gbt,12,gemini,True,tested,,gbt_lean_plus_two,pif_growth_yoy,-0.003445827889476085,-0.011342811827698862,-0.003056685147165457
npw_per_pif_yoy,PGR_specific,both,13,chatgpt;claude,True,tested,,ridge_lean_v1,npw_growth_yoy,-0.0036091520900240655,-0.008848771730100291,-0.04522523950137775
