as_of,path_name,candidate_name,policy_name,consensus,confidence_tier,recommendation_mode,sell_pct,mean_predicted,mean_ic,mean_hit_rate,aggregate_oos_r2,aggregate_nw_ic,signal_agrees_with_shadow,mode_agrees_with_shadow,sell_agrees_with_shadow,signal_agrees_with_live,mode_agrees_with_live,sell_agrees_with_live
2025-04-30,shadow_baseline,baseline_historical_mean,neutral_band_3pct,OUTPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,0.06655993473292028,-0.07925959360654221,0.6455414247250298,-0.17773821784630228,0.023164985130187898,True,True,True,False,True,True
2025-04-30,live_production_ensemble_reduced,production_4_model_ensemble,current_production_mapping,UNDERPERFORM,HIGH,DEFER-TO-TAX-DEFAULT,0.5,-0.10398144128210214,0.17568330808920657,0.6057557124159478,-1.0294965421349027,0.19168314530418099,False,True,True,True,True,True
2025-04-30,ensemble_ridge_gbt_v16,ensemble_ridge_gbt_v16,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.17588892906318984,0.1788310459054507,0.6900431269250995,-0.16227287314195737,0.18630679947223389,False,True,True,True,True,True
2025-04-30,ensemble_ridge_gbt_v18,ensemble_ridge_gbt_v18,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.1849595943961641,0.16743012182268108,0.678669851771454,-0.1695331807686684,0.16485300437619888,False,True,True,True,True,True
2025-04-30,ensemble_ridge_gbt_v20_value,ensemble_ridge_gbt_v20_value,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.18361396239240665,0.18876880495146942,0.6810096776409696,-0.1783130386040499,0.19188597110899958,False,True,True,True,True,True
2025-04-30,ensemble_ridge_gbt_v20_best,ensemble_ridge_gbt_v20_best,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.1915383109982675,0.16725174478972674,0.6766925060001818,-0.17922696825218565,0.16883652462042006,False,True,True,True,True,True
2025-04-30,ensemble_ridge_gbt_v20_usd,ensemble_ridge_gbt_v20_usd,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.18227805619405024,0.14509748725327165,0.6693062339121976,-0.22240415531794233,0.15595372495578716,False,True,True,True,True,True
2025-04-30,ensemble_ridge_gbt_v20_pricing,ensemble_ridge_gbt_v20_pricing,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.18220657908874527,0.12980251598761638,0.657055831675952,-0.24231535247133862,0.14017030893608107,False,True,True,True,True,True
2025-05-30,shadow_baseline,baseline_historical_mean,neutral_band_3pct,OUTPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,0.06122500531143466,-0.10695872256939803,0.6376869614933631,-0.15372510689242125,0.019793495847098063,True,True,True,False,True,True
2025-05-30,live_production_ensemble_reduced,production_4_model_ensemble,current_production_mapping,UNDERPERFORM,HIGH,DEFER-TO-TAX-DEFAULT,0.5,-0.11060007916600884,0.1680616170432796,0.6071142050588696,-0.6327081828253027,0.16555536081775404,False,True,True,True,True,True
2025-05-30,ensemble_ridge_gbt_v16,ensemble_ridge_gbt_v16,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.20452358748214858,0.19254011112305208,0.6860009034870249,-0.10907232683053492,0.21120946603577115,False,True,True,True,True,True
2025-05-30,ensemble_ridge_gbt_v18,ensemble_ridge_gbt_v18,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.2045031763360853,0.17604386137086278,0.6690840990896594,-0.16882665348537462,0.19076027613202273,False,True,True,True,True,True
2025-05-30,ensemble_ridge_gbt_v20_value,ensemble_ridge_gbt_v20_value,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.21025905749970442,0.20926473876881102,0.688283982578714,-0.11985827374179947,0.22102855537593877,False,True,True,True,True,True
2025-05-30,ensemble_ridge_gbt_v20_best,ensemble_ridge_gbt_v20_best,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.21288998907112286,0.1813620979756298,0.6813905643927262,-0.13961136526994977,0.18700768192064796,False,True,True,True,True,True
2025-05-30,ensemble_ridge_gbt_v20_usd,ensemble_ridge_gbt_v20_usd,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.2063035661846678,0.1453908317978791,0.6652866215384453,-0.17645378954783753,0.1658790312925303,False,True,True,True,True,True
2025-05-30,ensemble_ridge_gbt_v20_pricing,ensemble_ridge_gbt_v20_pricing,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.2067604670864847,0.1567972384587612,0.6721299212364922,-0.18114124202533421,0.170650215486322,False,True,True,True,True,True
2025-06-30,shadow_baseline,baseline_historical_mean,neutral_band_3pct,OUTPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,0.05517354436292035,-0.11961260658349279,0.6401150186324402,-0.15182424383597004,0.012245366627839349,True,True,True,False,True,True
2025-06-30,live_production_ensemble_reduced,production_4_model_ensemble,current_production_mapping,UNDERPERFORM,HIGH,DEFER-TO-TAX-DEFAULT,0.5,-0.12477775935613836,0.13751533290473622,0.5935979847179913,-0.6266889039509664,0.1611552057514353,False,True,True,True,True,True
2025-06-30,ensemble_ridge_gbt_v16,ensemble_ridge_gbt_v16,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.15477977047450187,0.16348066800571695,0.6789576965759752,-0.13532060299512283,0.18812449331121636,False,True,True,True,True,True
2025-06-30,ensemble_ridge_gbt_v18,ensemble_ridge_gbt_v18,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.1632318796656418,0.1515881305644775,0.6683650558764878,-0.19283429091002846,0.1825059034435329,False,True,True,True,True,True
