experiment_mode,feature,feature_in_baseline,benchmark,horizon_months,model_type,n_features,feature_columns,gate_status,n_obs,ic,hit_rate,mae,oos_r2,nw_ic,nw_p_value
baseline,__baseline__,True,VTI,6,elasticnet,14,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,investment_income_growth_yoy,roe_net_income_ttm,underwriting_income",FAIL,222,0.06402223369669105,0.4954954954954955,0.17368565086667087,-1.5210549987227395,0.06402223369669105,0.6094242093804475
single_feature,mom_3m,True,VTI,6,elasticnet,1,mom_3m,FAIL,222,-0.11835814466594345,0.46846846846846846,0.14469042446918287,-0.5541244222292141,-0.11835814466594345,0.3461281486267178
drop_from_baseline,mom_3m,True,VTI,6,elasticnet,13,"mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,investment_income_growth_yoy,roe_net_income_ttm,underwriting_income",FAIL,222,0.027638934088993844,0.5315315315315315,0.16160308514721777,-1.2881464174271655,0.027638934088993844,0.8234174991728359
single_feature,mom_6m,True,VTI,6,elasticnet,1,mom_6m,FAIL,222,0.029174964427877526,0.5720720720720721,0.14050420914457923,-0.477165418481011,0.029174964427877526,0.8248288815395318
drop_from_baseline,mom_6m,True,VTI,6,elasticnet,13,"mom_3m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,investment_income_growth_yoy,roe_net_income_ttm,underwriting_income",FAIL,222,0.06545497495284748,0.5135135135135135,0.165003703130953,-1.3924200219265948,0.06545497495284748,0.6116759479688363
single_feature,mom_12m,True,VTI,6,elasticnet,1,mom_12m,FAIL,222,-0.054534530236459766,0.5180180180180181,0.15396140636190395,-0.7408682130715143,-0.054534530236459766,0.6653574927028145
drop_from_baseline,mom_12m,True,VTI,6,elasticnet,13,"mom_3m,mom_6m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,investment_income_growth_yoy,roe_net_income_ttm,underwriting_income",FAIL,222,0.06156348148647087,0.5315315315315315,0.16540586505976013,-1.3882445765855773,0.06156348148647087,0.6330843823178788
single_feature,vol_63d,True,VTI,6,elasticnet,1,vol_63d,FAIL,222,-0.10501617524472037,0.5540540540540541,0.13279251549663726,-0.3551618601093536,-0.10501617524472037,0.42379389652511035
drop_from_baseline,vol_63d,True,VTI,6,elasticnet,13,"mom_3m,mom_6m,mom_12m,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,investment_income_growth_yoy,roe_net_income_ttm,underwriting_income",FAIL,222,0.08398994823938924,0.5045045045045045,0.17391890639411406,-1.5303090054870672,0.08398994823938924,0.48374555094885646
single_feature,high_52w,False,VTI,6,elasticnet,1,high_52w,FAIL,222,-0.09656671270633996,0.5180180180180181,0.17956371985657585,-2.303098310357361,-0.09656671270633996,0.44626207338436086
add_to_baseline,high_52w,False,VTI,6,elasticnet,15,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,investment_income_growth_yoy,roe_net_income_ttm,underwriting_income,high_52w",FAIL,222,0.04187727338445043,0.5180180180180181,0.19737702436975613,-2.921546490017809,0.04187727338445043,0.7466810625644041
single_feature,pe_ratio,False,VTI,6,elasticnet,1,pe_ratio,FAIL,222,-0.01569903103772043,0.5540540540540541,0.1587105314251623,-1.770495209420822,-0.01569903103772043,0.9068810915699436
add_to_baseline,pe_ratio,False,VTI,6,elasticnet,15,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,investment_income_growth_yoy,roe_net_income_ttm,underwriting_income,pe_ratio",FAIL,222,0.087293935555286,0.527027027027027,0.17673966023734033,-1.4613094337404195,0.087293935555286,0.5014862532001897
