benchmark,candidate_name,model_type,n_features,feature_columns,notes,status,policy_return_sign,policy_return_tiered,policy_uplift_vs_sell_50_sign,policy_uplift_vs_sell_50_tiered,skip_reason,n_obs,ic,hit_rate,oos_r2,mae,nw_ic,nw_p_value
VXUS,elasticnet_current,elasticnet,14,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,investment_income_growth_yoy,roe_net_income_ttm,underwriting_income",Current production ElasticNet feature set.,ok,0.08483327540621355,0.04253744078926145,0.03742495284581147,-0.004870881771140616,,494.0,0.2892337713351966,0.7024291497975709,-0.375556095359205,0.12487955786111475,0.2892337713351966,0.003364113091779248
VXUS,elasticnet_lean_v1,elasticnet,13,"mom_3m,mom_6m,mom_12m,yield_slope,yield_curvature,credit_spread_hy,nfci,vix,investment_income_growth_yoy,roe_net_income_ttm,underwriting_income,medical_cpi_yoy,roe",Drops weaker macro features and adds the strongest v9 add-one winners.,ok,0.09473550053682366,0.045250452507509316,0.047327177976421594,-0.0021578700528927554,,494.0,0.3220361156629989,0.7469635627530364,-0.04865498927286538,0.1179347606238438,0.3220361156629989,0.00042039467261353495
VXUS,ridge_current,ridge,14,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm",Current production Ridge feature set.,ok,0.0856410811823381,0.043273583051135656,0.03823275862193602,-0.004134739509266417,,494.0,0.22394310433170259,0.6963562753036437,-0.23576267349316304,0.1262400347329329,0.22394310433170259,0.019036743058045234
VXUS,ridge_lean_v1,ridge,12,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy",Simpler Ridge set that keeps the best company features and removes weaker momentum/miles features.,ok,0.0834722341545796,0.03813100623738614,0.03606391159417754,-0.009277316323015926,,494.0,0.12257130435842936,0.7004048582995951,-0.5831915502089531,0.13191525111490673,0.12257130435842936,0.2438068850378317
VXUS,gbt_current,gbt,11,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy",Current production GBT feature set.,ok,0.06895739165530547,0.029090598704896057,0.028978810920616924,-0.010887982029792492,,572.0,0.017873722048289103,0.6608391608391608,-0.3613888144114974,0.14455338146025315,0.017873722048289103,0.8571453195609527
VXUS,gbt_lean_plus_two,gbt,13,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,pif_growth_yoy,investment_book_yield",Adds the two strongest v9 GBT add-one winners.,ok,-0.2654156730411871,-0.1818898859023282,-0.13270783652059354,-0.0491820493817347,,26.0,0.33207742573841903,0.0,-48.561840368782335,0.4228456442936037,0.33207742573841903,0.049631924629590325
VXUS,gbt_lean_plus_three,gbt,14,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,pif_growth_yoy,investment_book_yield,underwriting_income_growth_yoy",Adds the two strongest wins plus a third underwriting-growth feature.,skipped,,,,,Not enough weekly observations for the requested WFO windows.,,,,,,,
VXUS,bayesian_ridge_current,bayesian_ridge,16,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,buyback_yield,buyback_acceleration",Current production BayesianRidge feature set.,ok,0.0818462492491329,0.04969311750461797,0.03443792668873083,0.002284794944215901,,494.0,0.25502489397012723,0.6761133603238867,-0.9412430805611611,0.1534564237278359,0.25502489397012723,0.008773871543366708
VXUS,bayesian_ridge_lean_v1,bayesian_ridge,14,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,combined_ratio_ttm,npw_growth_yoy,roe",Smaller BayesianRidge set meant to test whether instability is partly feature-cost driven.,ok,0.0734223398795995,0.050502377212267906,0.034516663527012936,0.011596700859681354,,533.0,0.2684416735706924,0.6866791744840526,-1.268863227323167,0.18735815256873883,0.2684416735706924,0.0019145751643266774
VXUS,baseline_historical_mean,baseline,0,,Weekly snapshot non-ML baseline.,ok,0.07995716146937709,0.01659216461265518,0.039978580734688546,-0.02338641612203337,,572.0,-0.3783049960362939,0.7027972027972028,-0.2756074566199036,0.14567386903264443,-0.3783049960362939,2.354918167348687e-05
VXUS,baseline_last_value,baseline,0,,Weekly snapshot non-ML baseline.,ok,0.055259220000022195,0.028276613842562415,0.01528063926533365,-0.011701966892126128,,572.0,-0.13563283623386863,0.5909090909090909,-0.7960357502039657,0.18145377738309657,-0.13563283623386863,0.11845737373250805
VXUS,baseline_zero,baseline,0,,Weekly snapshot non-ML baseline.,ok,0.0,0.0,-0.039978580734688546,-0.039978580734688546,,572.0,,0.0,-0.24578589425576491,0.15507350746934134,,1.9826825827417254e-56
VEA,elasticnet_current,elasticnet,14,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,investment_income_growth_yoy,roe_net_income_ttm,underwriting_income",Current production ElasticNet feature set.,ok,0.06532519130233463,0.03548579833462649,0.0277084703408272,-0.0021309226268809624,,676.0,0.2770805973156893,0.6464497041420119,-0.2673072641407441,0.11713577226407909,0.2770805973156893,0.0010458264300840755
VEA,elasticnet_lean_v1,elasticnet,13,"mom_3m,mom_6m,mom_12m,yield_slope,yield_curvature,credit_spread_hy,nfci,vix,investment_income_growth_yoy,roe_net_income_ttm,underwriting_income,medical_cpi_yoy,roe",Drops weaker macro features and adds the strongest v9 add-one winners.,ok,0.07417795813412555,0.035130395222727664,0.03624142620657021,-0.002806136704827677,,650.0,0.31426201613694676,0.6861538461538461,-0.14028613151431024,0.11522011691910437,0.31426201613694676,0.00034490662518501977
