candidate_name,model_type,n_features,n_benchmarks,n_benchmarks_attempted,n_skipped,mean_ic,mean_hit_rate,mean_oos_r2,mean_mae,mean_policy_return_sign,mean_policy_return_tiered,mean_uplift_vs_sell_50_sign,mean_uplift_vs_sell_50_tiered,notes
elasticnet_lean_v1,elasticnet,13,7,7,0,0.1570932259451314,0.6493464430306536,-0.5347301097598259,0.1317660247382319,0.07051518696666562,0.032729949900730686,0.029519442558977305,-0.008265794506957622,Drops weaker macro features and adds the strongest v9 add-one winners.
ridge_current,ridge,14,7,7,0,0.16517825054935303,0.6437332829651774,-0.4170271855729908,0.12591300646650544,0.06633513291039496,0.034426669070914614,0.028291015034101558,-0.003617448805378784,Current production Ridge feature set.
baseline_historical_mean,baseline,0,7,7,0,-0.13699085536468306,0.6597301849764904,-0.2903910073276061,0.1338722525230801,0.06622866434000767,0.021330088321030942,0.031229744775925158,-0.01366883124305156,Weekly snapshot non-ML baseline.
ridge_lean_v1,ridge,12,7,7,0,0.08432948814646356,0.638164957031414,-0.8506423187203892,0.13807004024538333,0.06501245509065387,0.032018544175794486,0.02696833721436048,-0.006025573700498908,Simpler Ridge set that keeps the best company features and removes weaker momentum/miles features.
bayesian_ridge_lean_v1,bayesian_ridge,14,7,7,0,0.11705129806952616,0.6287768403938445,-3.083836203979217,0.21324777586823052,0.06274017532777683,0.03946071036371894,0.0266470043706889,0.0033675394066310237,Smaller BayesianRidge set meant to test whether instability is partly feature-cost driven.
elasticnet_current,elasticnet,14,7,7,0,0.11028259097761091,0.6192067552582786,-0.6127300017664778,0.13335357625485147,0.06212489386268644,0.02961412178880032,0.024080775986393046,-0.008429996087493077,Current production ElasticNet feature set.
bayesian_ridge_current,bayesian_ridge,16,7,7,0,0.0383257235217666,0.5918319605524042,-3.3964944264913655,0.2086221700780145,0.05765076673955723,0.035091846218801175,0.01951532915499444,-0.003043591365761609,Current production BayesianRidge feature set.
gbt_current,gbt,11,7,7,0,-0.03818445749065057,0.6065747060820953,-0.6210429524588169,0.1473396011598899,0.053060901690856546,0.02109990829993612,0.018061982126774036,-0.01389901126414638,Current production GBT feature set.
baseline_last_value,baseline,0,7,7,0,-0.052855627421597697,0.5498665127975473,-0.8849629929232911,0.16668776630100396,0.04137752187637995,0.024508351490375512,0.00637860231229745,-0.010490568073706992,Weekly snapshot non-ML baseline.
baseline_zero,baseline,0,7,7,0,,0.0,-0.269801960939107,0.1372440293217169,0.0,0.0,-0.0349989195640825,-0.0349989195640825,Weekly snapshot non-ML baseline.
gbt_lean_plus_three,gbt,14,5,7,2,-0.25774329762775,0.40683068618291285,-1.5755206112717006,0.15452647004665315,-0.010912815160830843,-0.003646361658640075,-0.013006823696698727,-0.0057403701945079625,Adds the two strongest wins plus a third underwriting-growth feature.
gbt_lean_plus_two,gbt,13,6,7,1,-0.19770062098522365,0.34450549450549456,-9.527052498865563,0.2134237551479575,-0.05441965509231953,-0.03884991575428929,-0.032133905937209384,-0.016564166599179145,Adds the two strongest v9 GBT add-one winners.
