signal,target,month,n_obs,ic
bp,abs_12m,1,21,-0.141558
bp,abs_12m,2,21,-0.051948
bp,abs_12m,3,21,-0.119481
bp,abs_12m,4,21,-0.177922
bp,abs_12m,5,21,-0.087013
bp,abs_12m,6,21,0.005195
bp,abs_12m,7,21,-0.016883
bp,abs_12m,8,21,0.032468
bp,abs_12m,9,21,0.031169
bp,abs_12m,10,21,0.033766
bp,abs_12m,11,21,0.036364
bp,abs_12m,12,21,-0.016883
ep,abs_12m,1,20,-0.466165
ep,abs_12m,2,20,-0.502256
ep,abs_12m,3,20,-0.422556
ep,abs_12m,4,20,-0.586466
ep,abs_12m,5,20,-0.309774
ep,abs_12m,6,20,-0.503759
ep,abs_12m,7,20,-0.463158
ep,abs_12m,8,21,-0.416883
ep,abs_12m,9,20,-0.514286
ep,abs_12m,10,20,-0.291729
ep,abs_12m,11,20,-0.196992
ep,abs_12m,12,20,-0.412030
bp_z60,abs_12m,1,18,-0.318885
bp_z60,abs_12m,2,18,-0.209494
bp_z60,abs_12m,3,18,-0.172343
bp_z60,abs_12m,4,18,-0.382869
bp_z60,abs_12m,5,18,-0.242518
bp_z60,abs_12m,6,18,-0.203302
bp_z60,abs_12m,7,18,-0.143447
bp_z60,abs_12m,8,19,-0.240351
bp_z60,abs_12m,9,18,-0.118679
bp_z60,abs_12m,10,18,-0.110423
bp_z60,abs_12m,11,18,-0.114551
bp_z60,abs_12m,12,18,-0.159959
ep_z60,abs_12m,1,17,-0.411765
ep_z60,abs_12m,2,17,-0.578431
ep_z60,abs_12m,3,17,-0.404412
ep_z60,abs_12m,4,17,-0.605392
ep_z60,abs_12m,5,17,-0.215686
ep_z60,abs_12m,6,17,-0.509804
ep_z60,abs_12m,7,18,-0.376677
ep_z60,abs_12m,8,18,-0.199174
ep_z60,abs_12m,9,17,-0.286765
ep_z60,abs_12m,10,17,-0.237745
ep_z60,abs_12m,11,17,-0.164216
ep_z60,abs_12m,12,17,-0.338235
pb_roe_adj,abs_12m,1,15,-0.371429
pb_roe_adj,abs_12m,2,15,-0.325000
pb_roe_adj,abs_12m,3,15,-0.196429
pb_roe_adj,abs_12m,4,15,-0.478571
pb_roe_adj,abs_12m,5,15,-0.182143
pb_roe_adj,abs_12m,6,15,-0.096429
pb_roe_adj,abs_12m,7,15,-0.107143
pb_roe_adj,abs_12m,8,16,-0.097059
pb_roe_adj,abs_12m,9,15,-0.139286
pb_roe_adj,abs_12m,10,15,-0.214286
pb_roe_adj,abs_12m,11,15,-0.210714
pb_roe_adj,abs_12m,12,15,-0.217857
ep_6m,abs_12m,1,20,-0.387970
ep_6m,abs_12m,2,21,-0.392208
ep_6m,abs_12m,3,21,-0.277922
ep_6m,abs_12m,4,21,-0.294805
