model,target,kind,horizon,n_test,oos_r2,oos_ic,first_test
bp,abs_1m,abs,1,192,-0.034925,-0.049735,2010-08-31
bp,rel_1m,rel,1,192,-0.028354,-0.145922,2010-08-31
bp,abs_3m,abs,3,192,-0.091740,-0.087164,2010-06-30
bp,rel_3m,rel,3,192,-0.050680,-0.165608,2010-06-30
bp,abs_6m,abs,6,192,-0.162315,-0.006819,2010-03-31
bp,rel_6m,rel,6,192,-0.071019,-0.115141,2010-03-31
bp,abs_12m,abs,12,180,-0.243848,0.072796,2010-09-30
bp,rel_12m,rel,12,180,-0.192252,-0.305481,2010-09-30
bp,abs_24m,abs,24,156,-0.502721,-0.025781,2011-09-30
bp,rel_24m,rel,24,156,-0.435186,-0.108473,2011-09-30
bp,abs_36m,abs,36,132,-0.908911,0.207797,2012-09-28
bp,rel_36m,rel,36,132,-0.243483,0.247458,2012-09-28
ep,abs_1m,abs,1,180,-0.004441,-0.100466,2011-08-31
ep,rel_1m,rel,1,180,-0.000142,-0.035332,2011-08-31
ep,abs_3m,abs,3,180,0.005076,0.036874,2011-06-30
ep,rel_3m,rel,3,180,0.001151,-0.013918,2011-06-30
ep,abs_6m,abs,6,180,0.024570,0.141891,2011-03-31
ep,rel_6m,rel,6,180,0.018829,0.076552,2011-03-31
ep,abs_12m,abs,12,168,0.044051,0.200067,2011-09-30
ep,rel_12m,rel,12,168,0.001651,0.032124,2011-09-30
ep,abs_24m,abs,24,144,0.107927,0.379033,2012-09-28
ep,rel_24m,rel,24,144,-0.013897,-0.006036,2012-09-28
ep,abs_36m,abs,36,120,0.001305,-0.143114,2013-09-30
ep,rel_36m,rel,36,120,-0.004402,-0.184089,2013-09-30
bp_z60,abs_1m,abs,1,156,-0.033705,-0.140191,2013-08-30
bp_z60,rel_1m,rel,1,156,-0.024238,-0.118531,2013-08-30
bp_z60,abs_3m,abs,3,156,-0.241622,-0.036510,2013-06-28
bp_z60,rel_3m,rel,3,156,-0.064417,-0.056756,2013-06-28
bp_z60,abs_6m,abs,6,156,-1.473202,-0.015204,2013-03-29
bp_z60,rel_6m,rel,6,156,-0.149609,-0.032185,2013-03-29
bp_z60,abs_12m,abs,12,144,-0.253438,-0.066446,2013-09-30
bp_z60,rel_12m,rel,12,144,-0.201835,-0.258974,2013-09-30
bp_z60,abs_24m,abs,24,120,-0.381580,-0.114084,2014-09-30
bp_z60,rel_24m,rel,24,120,-0.235889,-0.383999,2014-09-30
bp_z60,abs_36m,abs,36,96,-0.702043,-0.410743,2015-09-30
bp_z60,rel_36m,rel,36,96,-0.271783,-0.519072,2015-09-30
ep_z60,abs_1m,abs,1,156,-0.022074,-0.060280,2013-08-30
ep_z60,rel_1m,rel,1,156,0.000646,-0.032454,2013-08-30
ep_z60,abs_3m,abs,3,144,-0.041296,-0.164143,2014-06-30
ep_z60,rel_3m,rel,3,144,0.007734,-0.065377,2014-06-30
ep_z60,abs_6m,abs,6,144,-0.014226,0.036271,2014-03-31
ep_z60,rel_6m,rel,6,144,0.051679,0.132851,2014-03-31
ep_z60,abs_12m,abs,12,132,0.022837,0.294532,2014-09-30
ep_z60,rel_12m,rel,12,132,0.054995,0.117723,2014-09-30
ep_z60,abs_24m,abs,24,108,0.057492,0.413301,2015-09-30
ep_z60,rel_24m,rel,24,108,-0.076557,-0.057208,2015-09-30
ep_z60,abs_36m,abs,36,84,-0.177754,-0.075529,2016-09-30
ep_z60,rel_36m,rel,36,84,-0.243453,-0.334535,2016-09-30
pb_roe_adj,abs_1m,abs,1,120,-0.048332,-0.230870,2016-08-31
pb_roe_adj,rel_1m,rel,1,120,-0.018803,-0.076616,2016-08-31
pb_roe_adj,abs_3m,abs,3,120,-0.101972,-0.192479,2016-06-30
pb_roe_adj,rel_3m,rel,3,120,-0.039085,-0.025460,2016-06-30
pb_roe_adj,abs_6m,abs,6,120,-0.350101,-0.236218,2016-03-31
pb_roe_adj,rel_6m,rel,6,120,-0.154371,-0.008584,2016-03-31
pb_roe_adj,abs_12m,abs,12,108,-0.240724,-0.335553,2016-09-30
pb_roe_adj,rel_12m,rel,12,108,-0.183224,-0.208608,2016-09-30
pb_roe_adj,abs_24m,abs,24,84,-0.251692,0.125220,2017-09-29
pb_roe_adj,rel_24m,rel,24,84,-0.504416,-0.309730,2017-09-29
pb_roe_adj,abs_36m,abs,36,60,-0.120039,0.124757,2018-09-28
pb_roe_adj,rel_36m,rel,36,60,-1.096011,-0.431731,2018-09-28
ep_6m,abs_1m,abs,1,192,-0.002440,-0.032134,2010-08-31
ep_6m,rel_1m,rel,1,192,0.008726,0.053199,2010-08-31
ep_6m,abs_3m,abs,3,192,0.007904,0.066562,2010-06-30
ep_6m,rel_3m,rel,3,192,0.029419,0.149650,2010-06-30
ep_6m,abs_6m,abs,6,180,0.040704,0.143188,2011-03-31
ep_6m,rel_6m,rel,6,180,0.042512,0.114940,2011-03-31
ep_6m,abs_12m,abs,12,168,0.043750,0.168277,2011-09-30
ep_6m,rel_12m,rel,12,168,0.005133,-0.014968,2011-09-30
ep_6m,abs_24m,abs,24,144,0.076882,0.350699,2012-09-28
ep_6m,rel_24m,rel,24,144,0.006571,0.105940,2012-09-28
ep_6m,abs_36m,abs,36,120,0.013599,-0.055976,2013-09-30
ep_6m,rel_36m,rel,36,120,0.001630,-0.232863,2013-09-30
ep_3m,abs_1m,abs,1,192,-0.013244,-0.035829,2010-08-31
ep_3m,rel_1m,rel,1,192,-0.000440,-0.038319,2010-08-31
ep_3m,abs_3m,abs,3,192,-0.072567,-0.163947,2010-06-30
ep_3m,rel_3m,rel,3,192,0.001390,0.005332,2010-06-30
ep_3m,abs_6m,abs,6,180,0.015282,0.051434,2011-03-31
ep_3m,rel_6m,rel,6,180,0.058277,0.193555,2011-03-31
ep_3m,abs_12m,abs,12,168,0.015520,0.066726,2011-09-30
ep_3m,rel_12m,rel,12,168,-0.001424,-0.096945,2011-09-30
ep_3m,abs_24m,abs,24,144,0.039306,0.316281,2012-09-28
ep_3m,rel_24m,rel,24,144,0.011861,0.093562,2012-09-28
ep_3m,abs_36m,abs,36,120,0.011947,-0.042795,2013-09-30
ep_3m,rel_36m,rel,36,120,0.003032,-0.187263,2013-09-30
ep_norm,abs_1m,abs,1,144,-0.015875,-0.197532,2014-08-29
ep_norm,rel_1m,rel,1,144,-0.033237,-0.123370,2014-08-29
ep_norm,abs_3m,abs,3,144,-0.085377,-0.198875,2014-06-30
