date,pe,sp500_pe,ep,gs10,pe_vs_sp500,ep_minus_gs10
2008-01-31,10.982036,21.460000,0.091058,0.041000,0.511744,0.050058
2008-02-29,11.042169,21.740000,0.090562,0.037400,0.507919,0.053162
2008-03-31,9.975000,21.810000,0.100251,0.037400,0.457359,0.062851
2008-04-30,12.183007,23.880000,0.082082,0.035100,0.510176,0.046982
2008-05-30,13.373333,25.810000,0.074776,0.036800,0.518145,0.037976
2008-06-30,12.807947,26.110000,0.078077,0.038800,0.490538,0.039277
2008-07-31,13.075342,25.370000,0.076480,0.041000,0.515386,0.035480
2008-08-29,13.099291,26.830000,0.076340,0.040100,0.488233,0.036240
2008-09-30,15.772727,26.480000,0.063401,0.038900,0.595647,0.024501
2008-10-31,,27.220000,0.000000,0.036900,,-0.036900
2008-11-28,136.545455,34.990000,0.007324,0.038100,3.902414,-0.030776
2008-12-31,78.277778,58.980000,0.012775,0.035300,1.327192,-0.022525
2009-01-30,,70.910000,-0.008230,0.024200,,-0.032430
2009-02-27,,84.460000,-0.011236,0.025200,,-0.036436
2009-03-31,,110.370000,-0.000745,0.028700,,-0.029445
2009-04-30,,119.850000,-0.007115,0.028200,,-0.035315
2009-05-29,,123.730000,-0.006200,0.029300,,-0.035500
2009-06-30,,123.320000,-0.009302,0.032900,,-0.042202
2009-07-31,,101.870000,-0.003851,0.037200,,-0.041051
2009-08-31,,92.950000,-0.000601,0.035600,,-0.036201
2009-09-30,60.444444,83.300000,0.016544,0.035900,0.725624,-0.019356
2009-10-30,11.678832,42.120000,0.085625,0.034000,0.277275,0.051625
2009-11-30,12.679389,28.510000,0.078868,0.033900,0.444735,0.044968
2009-12-31,14.745902,21.780000,0.067815,0.034000,0.677039,0.033815
2010-01-29,10.493671,20.700000,0.095296,0.035900,0.506941,0.059396
2010-02-26,11.136364,18.910000,0.089796,0.037300,0.588914,0.052496
2010-03-31,12.846667,18.910000,0.077841,0.036900,0.679358,0.040941
2010-04-30,11.958333,19.010000,0.083624,0.037300,0.629055,0.046324
2010-05-31,11.660714,17.300000,0.085758,0.038500,0.674030,0.047258
2010-06-30,11.670659,16.150000,0.085685,0.034200,0.722641,0.051485
2010-07-30,11.975610,15.720000,0.083503,0.032000,0.761807,0.051503
2010-08-31,12.134146,15.470000,0.082412,0.030100,0.784366,0.052312
2010-09-30,12.855422,15.610000,0.077788,0.027000,0.823538,0.050788
2010-10-29,12.902439,15.900000,0.077505,0.026500,0.811474,0.051005
2010-11-30,12.906250,15.880000,0.077482,0.025400,0.812736,0.052082
2010-12-31,12.042424,16.050000,0.083040,0.027600,0.750307,0.055440
2011-01-31,11.987805,16.300000,0.083418,0.032900,0.735448,0.050518
2011-02-28,12.017647,16.520000,0.083211,0.033900,0.727460,0.049311
2011-03-31,12.063584,16.040000,0.082894,0.035800,0.752094,0.047094
2011-04-29,12.537143,16.210000,0.079763,0.034100,0.773420,0.045663
2011-05-31,12.261364,16.120000,0.081557,0.034600,0.760630,0.046957
2011-06-30,11.359116,15.350000,0.088035,0.031700,0.740008,0.056335
2011-07-29,10.933333,15.610000,0.091463,0.030000,0.700406,0.061463
2011-08-31,10.666667,13.790000,0.093750,0.030000,0.773507,0.063750
2011-09-30,10.763636,13.500000,0.092905,0.023000,0.797306,0.069905
2011-10-31,11.871951,13.880000,0.084232,0.019800,0.855328,0.064432
2011-11-30,10.919255,14.100000,0.091581,0.021500,0.774415,0.070081
2011-12-30,11.824242,14.300000,0.084572,0.020100,0.826870,0.064472
2012-01-31,12.689441,14.870000,0.078806,0.019800,0.853359,0.059006
2012-02-29,13.737179,15.370000,0.072795,0.019700,0.893766,0.053095
2012-03-30,14.858974,15.690000,0.067299,0.019700,0.947035,0.047599
2012-04-30,14.533784,15.700000,0.068805,0.021700,0.925719,0.047105
2012-05-31,15.435714,15.220000,0.064785,0.020500,1.014173,0.044285
2012-06-29,15.429630,15.050000,0.064810,0.018000,1.025225,0.046810
2012-07-31,15.333333,15.550000,0.065217,0.016200,0.986066,0.049017
2012-08-31,14.908397,16.140000,0.067076,0.015300,0.923692,0.051776
2012-09-28,13.735099,16.690000,0.072806,0.016800,0.822954,0.056006
2012-10-31,14.855263,16.620000,0.067316,0.017200,0.893818,0.050116
2012-11-30,13.621795,16.120000,0.073412,0.017500,0.845024,0.055912
2012-12-31,14.087838,16.440000,0.070983,0.016500,0.856924,0.054483
2013-01-31,14.986755,17.030000,0.066726,0.017200,0.880021,0.049526
2013-02-28,15.354037,17.320000,0.065129,0.019100,0.886492,0.046029
2013-03-29,15.793750,17.680000,0.063316,0.019800,0.893312,0.043516
2013-04-30,15.842767,17.690000,0.063120,0.019600,0.895578,0.043520
2013-05-31,14.819767,18.250000,0.067477,0.017600,0.812042,0.049877
2013-06-28,13.815217,17.800000,0.072384,0.019300,0.776136,0.053084
2013-07-31,13.471503,18.120000,0.074231,0.023000,0.743460,0.051231
2013-08-30,12.535000,17.910000,0.079777,0.025800,0.699888,0.053977
2013-09-30,14.531915,17.880000,0.068814,0.027400,0.812747,0.041414
2013-10-31,14.297297,17.860000,0.069943,0.028100,0.800521,0.041843
2013-11-29,14.623037,18.150000,0.068385,0.026200,0.805677,0.042185
2013-12-31,13.953608,18.040000,0.071666,0.027200,0.773482,0.044466
2014-01-31,12.041451,18.150000,0.083046,0.029000,0.663441,0.054046
2014-02-28,12.431472,18.060000,0.080441,0.028600,0.688343,0.051841
2014-03-31,12.755319,18.480000,0.078399,0.027100,0.690223,0.051299
2014-04-30,12.137755,18.350000,0.082388,0.027200,0.661458,0.055188
2014-05-30,12.577889,18.460000,0.079505,0.027100,0.681359,0.052405
2014-06-30,12.953846,18.880000,0.077197,0.025600,0.686115,0.051597
2014-07-31,12.598958,18.960000,0.079372,0.026000,0.664502,0.053372
2014-08-29,12.830769,18.680000,0.077938,0.025400,0.686872,0.052538
2014-09-30,12.923858,18.810000,0.077376,0.024200,0.687074,0.053176
2014-10-31,13.009852,18.500000,0.076865,0.025300,0.703235,0.051565
2014-11-28,13.552239,19.750000,0.073789,0.023000,0.686189,0.050789
2014-12-31,13.572864,20.080000,0.073676,0.023300,0.675939,0.050376
2015-01-30,12.013889,20.020000,0.083237,0.022100,0.600094,0.061137
2015-02-27,13.000000,20.770000,0.076923,0.018800,0.625903,0.058123
2015-03-31,12.750000,20.960000,0.078431,0.019800,0.608302,0.058631
