window_start,window_end,signal,target,n_obs,ic,split_year,half
2004-01-01,2009-12-31,bp,abs_12m,64,0.242811,2009,early
2004-01-01,2009-12-31,bp,rel_12m,64,0.380311,2009,early
2004-01-01,2009-12-31,bp,abs_24m,64,0.465110,2009,early
2004-01-01,2009-12-31,bp,rel_24m,64,0.689927,2009,early
2004-01-01,2009-12-31,ep,abs_12m,53,-0.537252,2009,early
2004-01-01,2009-12-31,ep,rel_12m,53,0.282616,2009,early
2004-01-01,2009-12-31,ep,abs_24m,53,-0.491372,2009,early
2004-01-01,2009-12-31,ep,rel_24m,53,0.497984,2009,early
2010-01-01,2100-01-01,bp,abs_12m,188,-0.063158,2009,late
2010-01-01,2100-01-01,bp,rel_12m,188,-0.066120,2009,late
2010-01-01,2100-01-01,bp,abs_24m,176,-0.271345,2009,late
2010-01-01,2100-01-01,bp,rel_24m,176,-0.169192,2009,late
2010-01-01,2100-01-01,ep,abs_12m,188,-0.316682,2009,late
2010-01-01,2100-01-01,ep,rel_12m,188,-0.289039,2009,late
2010-01-01,2100-01-01,ep,abs_24m,176,-0.337999,2009,late
2010-01-01,2100-01-01,ep,rel_24m,176,-0.158314,2009,late
2004-01-01,2010-12-31,bp,abs_12m,76,0.346630,2010,early
2004-01-01,2010-12-31,bp,rel_12m,76,0.244921,2010,early
2004-01-01,2010-12-31,bp,abs_24m,76,0.591497,2010,early
2004-01-01,2010-12-31,bp,rel_24m,76,0.529597,2010,early
2004-01-01,2010-12-31,ep,abs_12m,65,-0.392177,2010,early
2004-01-01,2010-12-31,ep,rel_12m,65,0.275787,2010,early
2004-01-01,2010-12-31,ep,abs_24m,65,-0.393269,2010,early
2004-01-01,2010-12-31,ep,rel_24m,65,0.452448,2010,early
2011-01-01,2100-01-01,bp,abs_12m,176,-0.010801,2010,late
2011-01-01,2100-01-01,bp,rel_12m,176,-0.002655,2010,late
2011-01-01,2100-01-01,bp,abs_24m,164,-0.180284,2010,late
2011-01-01,2100-01-01,bp,rel_24m,164,-0.081205,2010,late
2011-01-01,2100-01-01,ep,abs_12m,176,-0.315923,2010,late
2011-01-01,2100-01-01,ep,rel_12m,176,-0.264295,2010,late
2011-01-01,2100-01-01,ep,abs_24m,164,-0.309140,2010,late
2011-01-01,2100-01-01,ep,rel_24m,164,-0.128230,2010,late
2004-01-01,2011-12-31,bp,abs_12m,88,0.415149,2011,early
2004-01-01,2011-12-31,bp,rel_12m,88,0.194445,2011,early
2004-01-01,2011-12-31,bp,abs_24m,88,0.684178,2011,early
2004-01-01,2011-12-31,bp,rel_24m,88,0.466592,2011,early
2004-01-01,2011-12-31,ep,abs_12m,77,-0.262527,2011,early
2004-01-01,2011-12-31,ep,rel_12m,77,0.260503,2011,early
2004-01-01,2011-12-31,ep,abs_24m,77,-0.198565,2011,early
2004-01-01,2011-12-31,ep,rel_24m,77,0.492770,2011,early
2012-01-01,2100-01-01,bp,abs_12m,164,0.058175,2011,late
2012-01-01,2100-01-01,bp,rel_12m,164,0.061646,2011,late
2012-01-01,2100-01-01,bp,abs_24m,152,-0.156347,2011,late
2012-01-01,2100-01-01,bp,rel_24m,152,-0.001688,2011,late
2012-01-01,2100-01-01,ep,abs_12m,164,-0.293831,2011,late
2012-01-01,2100-01-01,ep,rel_12m,164,-0.229837,2011,late
2012-01-01,2100-01-01,ep,abs_24m,152,-0.322033,2011,late
2012-01-01,2100-01-01,ep,rel_24m,152,-0.101087,2011,late
2004-01-01,2012-12-31,bp,abs_12m,100,0.512451,2012,early
2004-01-01,2012-12-31,bp,rel_12m,100,0.212457,2012,early
2004-01-01,2012-12-31,bp,abs_24m,100,0.722004,2012,early
2004-01-01,2012-12-31,bp,rel_24m,100,0.362376,2012,early
2004-01-01,2012-12-31,ep,abs_12m,89,-0.373681,2012,early
