benchmark,n,r2,ic,ic_p,hit_rate,mae,std_yhat,std_ytrue,sigma_ratio,variant
VOO,90,-9.716619466878392,0.03882783882783882,0.7917984643408446,0.7,0.3638502433928447,0.34270738160135367,0.14050345209057455,2.4391385158311256,ridge_only
VXUS,90,-1.5331291905570898,-0.08117051487838003,0.6642299237628705,0.7333333333333333,0.17795555208208091,0.15617181611507266,0.14675117094697657,1.0641946848349164,ridge_only
VWO,156,-2.368955367533644,0.15475968453161795,0.30907440406799985,0.6602564102564102,0.1945224994972769,0.2352249310676212,0.14911748011836,1.5774470630868664,ridge_only
VMBS,102,-0.753116578791313,0.21573527998145334,0.1461381223790664,0.8235294117647058,0.1427810167314167,0.1441684880160787,0.12987879858984758,1.110023264623485,ridge_only
BND,132,-0.6101449852494338,0.31407282954088894,0.007406279544742154,0.6515151515151515,0.13950994433932667,0.14210136495700068,0.12861369547757887,1.1048696208388873,ridge_only
GLD,162,-1.8858325424087554,0.2567471255121295,0.030508585864705087,0.6358024691358025,0.19899491910147488,0.2286475614481846,0.15995467853943457,1.4294521644255298,ridge_only
DBC,150,-2.768580763832574,0.004193964176185608,0.979397790072709,0.7066666666666667,0.2565229656647905,0.2801858860424063,0.18087763888155986,1.549035512487391,ridge_only
VDE,162,-3.8133638847480977,-0.0006534370364725126,0.9963232273105207,0.5864197530864198,0.32247208090114177,0.36287811761323097,0.2134771261034729,1.6998454318583203,ridge_only
POOLED,1044,-2.806186679414967,0.10216425961075712,0.06126586054772072,0.6762452107279694,0.2251370754059929,0.2721801004374247,0.1635004646326896,1.6647053636751936,ridge_only
VOO,90,-0.5911470023788152,-0.3441965046762807,0.013335437478208902,0.4,0.15662535650859077,0.061832477861297475,0.14050345209057455,0.4400779976668303,constrained_gbt
VXUS,90,-0.1461933103381594,-0.17223509731552522,0.18417418719540263,0.7666666666666667,0.131483213622984,0.027970937437861724,0.14675117094697657,0.1906011192780741,constrained_gbt
VWO,156,-0.1908065850822196,0.05957563190114414,0.589307754669004,0.6666666666666666,0.13365090059173063,0.05601951145435669,0.14911748011836,0.3756736729315165,constrained_gbt
VMBS,102,-0.1234751440183719,0.05637817903722818,0.7547735624745328,0.7941176470588235,0.11368328532505313,0.03674198465833471,0.12987879858984758,0.2828943989108225,constrained_gbt
BND,132,-0.025928597254055274,0.26014556954572676,0.052834246461595416,0.7878787878787878,0.10610861636744709,0.046812528281892245,0.12861369547757887,0.3639777871871588,constrained_gbt
GLD,162,-0.5086121455623358,0.07214232290647449,0.6334321142612349,0.654320987654321,0.15005528049435202,0.10472856080254381,0.15995467853943457,0.6547389658047699,constrained_gbt
DBC,150,-0.29374750430908136,-0.13481665776898055,0.3864766745231506,0.66,0.16703852515269815,0.08058724401640419,0.18087763888155986,0.44553458633531456,constrained_gbt
VDE,162,-0.24662861453683282,0.02883005204102454,0.8560243221843132,0.5679012345679012,0.1858229555555028,0.09772979912638072,0.2134771261034729,0.45779986319944577,constrained_gbt
POOLED,1044,-0.23550988315926058,0.05385381837336828,0.3487479650536851,0.6618773946360154,0.14544961425363157,0.07799097138590724,0.1635004646326896,0.47700764374656124,constrained_gbt
VOO,90,-5.7178489232239516,0.03963452278059019,0.7878845440325064,0.6888888888888889,0.2968339360404201,0.26639765080907524,0.14050345209057455,1.8960221036942486,reweight_80_20
VXUS,90,-1.0652702982421425,-0.08517100876651439,0.6484055104911032,0.7444444444444445,0.16281818739594117,0.12746429777324553,0.14675117094697657,0.8685743149490802,reweight_80_20
VWO,156,-1.598958357677558,0.157712063978758,0.30053157946693715,0.6730769230769231,0.17366681704388626,0.19400448577315055,0.14911748011836,1.3010177319195715,reweight_80_20
VMBS,102,-0.43635647319272897,0.2163798904162261,0.14604827273061846,0.8333333333333334,0.130762961201079,0.11875293368362064,0.12987879858984758,0.9143365581832797,reweight_80_20
BND,132,-0.3444270370737774,0.3297991682885214,0.004420771572653443,0.6515151515151515,0.12823915623295543,0.11919569759187884,0.12861369547757887,0.9267729781752375,reweight_80_20
GLD,162,-1.37340056211817,0.23361009143884578,0.05934504788751076,0.5802469135802469,0.183873674207248,0.19568331297010674,0.15995467853943457,1.2233672360003136,reweight_80_20
DBC,150,-1.8753545601367851,0.003052580114671763,0.9850119387080917,0.7133333333333334,0.2243662462885672,0.2305245133108331,0.18087763888155986,1.2744776785912293,reweight_80_20
VDE,162,-2.650432639861468,0.001415545027174795,0.9921132902214889,0.5864197530864198,0.2821291845693633,0.3006842783391961,0.2134771261034729,1.408508179904266,reweight_80_20
POOLED,1044,-1.8592548956009733,0.10362316765805234,0.06045715266878325,0.671455938697318,0.19911255296788796,0.22333245340276403,0.1635004646326896,1.3659438455082644,reweight_80_20
