benchmark,n,r2,ic,ic_p,hit_rate,mae,std_yhat,std_ytrue,sigma_ratio,clip_level
VOO,90,-8.926761955996344,0.04050705848458657,0.7818493287648832,0.7111111111111111,0.34894327614798337,0.33360511841324436,0.14050345209057455,2.3743553161824678,p5_p95
VXUS,90,-1.1067862326894469,-0.06613985265670659,0.717895065690795,0.7222222222222222,0.16656430312459505,0.1350724802696826,0.14675117094697657,0.9204184157309815,p5_p95
VWO,156,-1.6002465245915833,0.16857644102353367,0.25507106121163353,0.6602564102564102,0.17504289594811528,0.19815449135343782,0.14911748011836,1.3288481752518573,p5_p95
VMBS,102,-0.6211673645941287,0.24519510774606873,0.10888880804244133,0.8333333333333334,0.13732269914561746,0.13942107368925666,0.12987879858984758,1.073470614165005,p5_p95
BND,132,-0.4784822775434694,0.3490892394066359,0.0034802443795274637,0.6666666666666666,0.13323479780700553,0.1383416607968485,0.12861369547757887,1.0756370873502,p5_p95
GLD,162,-1.4396927918133104,0.24154165978652506,0.037267782758058754,0.5925925925925926,0.18882598741176715,0.20390404303154275,0.15995467853943457,1.2747613567381406,p5_p95
DBC,150,-2.025783839380468,0.03135250455575804,0.8438064486832728,0.7,0.23278921576809414,0.24764937112145352,0.18087763888155986,1.3691541566595544,p5_p95
VDE,162,-2.852274171268438,0.0302994378747913,0.8343539058712985,0.5864197530864198,0.29389340622225774,0.3141460256454005,0.2134771261034729,1.471567616537676,p5_p95
POOLED,1044,-2.1721870421812413,0.12001820840418141,0.026383972736543037,0.671455938697318,0.20920996806488687,0.2441464184287101,0.1635004646326896,1.4932460221271842,p5_p95
VOO,90,-1.71315643327396,-0.13936700004115732,0.4607337882126235,0.7,0.18388373543973613,0.1559345809233997,0.14050345209057455,1.1098273999906962,p10_p90
VXUS,90,-0.8477660149310016,-0.039453430464666414,0.8279238999416617,0.7555555555555555,0.15705805735476483,0.12135397379597254,0.14675117094697657,0.8269370050874727,p10_p90
VWO,156,-0.9839284617513513,0.1568775584390953,0.27706239366258034,0.6538461538461539,0.15614348238449083,0.15623884824502532,0.14911748011836,1.0477567627954336,p10_p90
VMBS,102,-0.6060842968134437,0.2339313885700392,0.14429787822966011,0.8333333333333334,0.135261797071058,0.13762320840990108,0.12987879858984758,1.0596279754982187,p10_p90
BND,132,-0.42715055113660916,0.37375360677891806,0.0033985905814777157,0.696969696969697,0.12920491464682102,0.1369044410508558,0.12861369547757887,1.0644623851487283,p10_p90
GLD,162,-1.1329689019772253,0.2231946155659146,0.055735596819348185,0.6049382716049383,0.17795123581838332,0.18256542355948083,0.15995467853943457,1.1413571970917493,p10_p90
DBC,150,-1.6853626022684112,0.04049424418863061,0.7958281230671315,0.6933333333333334,0.22238466046665437,0.23011795800264642,0.18087763888155986,1.2722299971713447,p10_p90
VDE,162,-2.4764047873396557,0.0016780488906389145,0.9909004008201266,0.5679012345679012,0.2834475313049575,0.2836634508192144,0.2134771261034729,1.3287767921408218,p10_p90
POOLED,1044,-1.4227667360430631,0.11100257006784489,0.04578084239299508,0.6743295019157088,0.1858229846571775,0.19911475067990306,0.1635004646326896,1.2178237604842432,p10_p90
