benchmark,n,r2,ic,ic_p,hit_rate,mae,std_yhat,std_ytrue,sigma_ratio,variant
VOO,90,-12.969750536657786,0.17285261554924478,0.35200106511129864,0.6888888888888889,0.4159285898297837,0.5050622192746835,0.14050345209057455,3.594660570681913,A_pure_expanding
VXUS,90,-0.2541587850550473,0.29989710663867963,0.06201483364301275,0.6555555555555556,0.12765711578323058,0.12011311855470698,0.14675117094697657,0.8184815002130762,A_pure_expanding
VWO,156,-0.926009229940276,0.3490888400689099,0.0042064123000024305,0.5961538461538461,0.16272074068969813,0.16802415972589066,0.14911748011836,1.1267904982871473,A_pure_expanding
VMBS,102,-0.4511013562602053,0.37899135430390557,0.012211508128209855,0.7450980392156863,0.1269712268454813,0.14373639917507128,0.12987879858984758,1.106696402612912,A_pure_expanding
BND,132,-0.13012663887231457,0.2820722868935002,0.02058304706402777,0.7196969696969697,0.11050755205195553,0.09528959598329605,0.12861369547757887,0.7408977374412495,A_pure_expanding
GLD,162,-0.6111126421317394,0.08951805137454644,0.44999089888342547,0.5987654320987654,0.15558798543874872,0.12301487269796517,0.15995467853943457,0.769060797853672,A_pure_expanding
DBC,150,-0.6727596571206815,0.2150797813236144,0.11220385199093158,0.6,0.184102645222925,0.18938149519577666,0.18087763888155986,1.0470144146440632,A_pure_expanding
VDE,162,-0.8621106804556686,-0.11143289004051873,0.4782188530525749,0.5123456790123457,0.22874499261219416,0.17752471607755885,0.2134771261034729,0.8315865934578498,A_pure_expanding
POOLED,1044,-1.3743322017143895,0.17912658400118658,0.0012062534266063494,0.6273946360153256,0.18364228954938017,0.2157797359303535,0.1635004646326896,1.3197499861245738,A_pure_expanding
VOO,90,-9.361100331491391,0.18447544964398893,0.30254625475480323,0.6666666666666666,0.3698681656505873,0.44463842959735944,0.14050345209057455,3.164608577095504,B_expanding_decay
VXUS,90,-0.37186566482601546,0.2250072025352924,0.17310499446661232,0.6555555555555556,0.13476206610085104,0.1237852376837387,0.14675117094697657,0.8435042588414111,B_expanding_decay
VWO,156,-0.464897339664194,0.3482764615700716,0.0053262228022790915,0.6410256410256411,0.14136315565915497,0.13720077891015692,0.14911748011836,0.9200851489795537,B_expanding_decay
VMBS,102,-0.521140255673882,0.361066660635224,0.013562411289303581,0.7352941176470589,0.12963559906929445,0.14635940710512219,0.12987879858984758,1.1268922156211174,B_expanding_decay
BND,132,-0.18998927761186257,0.31814790272001997,0.002439492226179765,0.6515151515151515,0.11601057323253301,0.10572116798917958,0.12861369547757887,0.8220055227913879,B_expanding_decay
GLD,162,-0.5842554251658436,0.12261047390415221,0.33169704144497214,0.6172839506172839,0.1592237661297704,0.12835970425630228,0.15995467853943457,0.8024754601013874,B_expanding_decay
DBC,150,-0.6320398116848593,0.1690972932130317,0.24566520889122404,0.6133333333333333,0.17649118998133895,0.17402809324091706,0.18087763888155986,0.9621316063002794,B_expanding_decay
VDE,162,-0.7215320689311986,0.021295273095753225,0.8875733484602283,0.5802469135802469,0.214682567297633,0.17844875534215615,0.2134771261034729,0.8359151099666837,B_expanding_decay
POOLED,1044,-1.0617525454648709,0.19102859081177936,0.0004823470535572823,0.6379310344827587,0.17533726477457873,0.19532670427766122,0.1635004646326896,1.194655346799598,B_expanding_decay
VOO,90,-14.87999975413148,0.09712310161748362,0.620118751329774,0.6777777777777778,0.4509123400970922,0.5424950530557411,0.14050345209057455,3.861079887959091,C_expanding_cap120
VXUS,90,-0.22605254739185376,0.3266658435197761,0.041120722642607556,0.6333333333333333,0.12609484486900513,0.12086128557724551,0.14675117094697657,0.8235797015951207,C_expanding_cap120
VWO,156,-0.9333403612286892,0.16109117921322563,0.2987601337949852,0.6153846153846154,0.16746079608849024,0.16601240334790793,0.14911748011836,1.113299414771077,C_expanding_cap120
VMBS,102,-0.5476555937920566,0.3561472652119581,0.015061563429981573,0.7352941176470589,0.13184156604086325,0.1467717918105255,0.12987879858984758,1.1300673659141656,C_expanding_cap120
BND,132,-0.48695985841991285,0.29209039253233704,0.010202520225424222,0.6590909090909091,0.12768901630248097,0.12286193280977914,0.12861369547757887,0.9552787699129411,C_expanding_cap120
GLD,162,-0.6112874891203044,0.1994112010116278,0.10171470351494044,0.6419753086419753,0.15405459141846378,0.14247219650990733,0.15995467853943457,0.8907035280920703,C_expanding_cap120
DBC,150,-0.7659306495893263,0.17860171563180585,0.2183368156788536,0.5666666666666667,0.19290844280295705,0.20901409114558264,0.18087763888155986,1.155555172203717,C_expanding_cap120
VDE,162,-0.7699394190189197,0.1624884801731961,0.2843418988486806,0.6358024691358025,0.2164490338899548,0.2275514545092382,0.2134771261034729,1.065928976385711,C_expanding_cap120
POOLED,1044,-1.5178189534895985,0.20304999733981813,0.00024895186292944055,0.6398467432950191,0.1889992092387511,0.23303900167074768,0.1635004646326896,1.4253109444935168,C_expanding_cap120
