benchmark,n,r2,ic,ic_p,hit_rate,mae,std_yhat,std_ytrue,sigma_ratio,variant,version
VOO,90,-1.065339830771912,-0.13008190311561096,0.4407447416746235,0.36666666666666664,0.17279105624677507,0.10054336262427534,0.14050345209057455,0.7155935397193001,A_gpr_matern52,v54
VXUS,90,-0.10686685833577525,0.0047330946207350694,0.9734508513558089,0.7555555555555555,0.1280381568821849,0.04368980943531285,0.14675117094697657,0.29771353205146583,A_gpr_matern52,v54
VWO,156,-0.20885250263949184,0.17525248534083543,0.16796278304951984,0.6474358974358975,0.13461737332886672,0.08021208413607173,0.14911748011836,0.5379120145566063,A_gpr_matern52,v54
VMBS,102,-0.16782353083072188,0.012434196018116945,0.9436314976276188,0.7941176470588235,0.1168400831339626,0.042159085997305584,0.12987879858984758,0.3246032951878652,A_gpr_matern52,v54
BND,132,-0.046826494152323095,0.26484323230004225,0.03064315611989404,0.7651515151515151,0.10804082496400551,0.051020850435131465,0.12861369547757887,0.3966984250446788,A_gpr_matern52,v54
GLD,162,-0.4589980402395306,0.1478927008401535,0.29220198523492014,0.6296296296296297,0.14680679640067,0.10968484600154195,0.15995467853943457,0.6857245252410713,A_gpr_matern52,v54
DBC,150,-0.3255972958667632,0.04406418063025023,0.749997439069973,0.6733333333333333,0.16790850260916587,0.11035545672210902,0.18087763888155986,0.6101111082855889,A_gpr_matern52,v54
VDE,162,-0.4046037666354869,-0.08138325422934652,0.5771446978050917,0.5308641975308642,0.20319784837752036,0.12331468113920571,0.2134771261034729,0.5776482164156304,A_gpr_matern52,v54
POOLED,1044,-0.30853910560155984,0.059385962539472315,0.27818449006375195,0.6446360153256705,0.14956038758741783,0.09731545026716695,0.1635004646326896,0.5951998392529957,A_gpr_matern52,v54
VOO,90,-0.8730585743515393,-0.15190415238286611,0.35487813052899353,0.36666666666666664,0.16875717483245775,0.08825643514438249,0.14050345209057455,0.6281442472138592,B_gpr_rbf,v54
VXUS,90,-0.13998521590373847,-0.10760999300325143,0.46152548775593577,0.7555555555555555,0.13024972753502698,0.04391776877135919,0.14675117094697657,0.29926690525166133,B_gpr_rbf,v54
VWO,156,-0.2403970951968193,0.14254239699072244,0.25555023196621784,0.6410256410256411,0.13684748193348123,0.08078217600707513,0.14911748011836,0.5417351201412158,B_gpr_rbf,v54
VMBS,102,-0.19184620373675698,-0.0543225653233513,0.7598191957869664,0.7941176470588235,0.11806543321872104,0.03978719218230127,0.12987879858984758,0.30634093180941524,B_gpr_rbf,v54
BND,132,-0.06519247956561935,0.2243429531497028,0.0823106190655292,0.7727272727272727,0.10894449682934895,0.048614517122725985,0.12861369547757887,0.37798864998168813,B_gpr_rbf,v54
GLD,162,-0.3802325356776295,0.08205503831003964,0.5725250132620415,0.6234567901234568,0.14398607141170308,0.09589734141703246,0.15995467853943457,0.5995282056935292,B_gpr_rbf,v54
DBC,150,-0.31091288273401685,-0.0001937863905062447,0.9988724700274909,0.66,0.16720823809574237,0.10444390781449267,0.18087763888155986,0.5774285227312337,B_gpr_rbf,v54
VDE,162,-0.37064410244985324,-0.07621503300350994,0.5941378201408509,0.5246913580246914,0.20177373334790139,0.11819835898498529,0.2134771261034729,0.5536816104957973,B_gpr_rbf,v54
POOLED,1044,-0.28276814971785247,0.029110077241003025,0.5953440441660418,0.6408045977011494,0.14921120713591723,0.09107662001225185,0.1635004646326896,0.5570419644791784,B_gpr_rbf,v54
VOO,90,-9.99833577726457,0.10461373832160348,0.5111229327567101,0.7,0.304000998391803,0.4186634469960804,0.14050345209057455,2.9797377983723274,C_ridge_gpr_80_20,v54
VXUS,90,0.0035627106842623935,0.31659052557928963,0.016387491078366883,0.7888888888888889,0.12126888119008833,0.10929565346406482,0.14675117094697657,0.7447685272886511,C_ridge_gpr_80_20,v54
VWO,156,-0.7977417092022898,0.3080589843688261,0.001087048517676268,0.6410256410256411,0.1543049403513565,0.16672385886938684,0.14911748011836,1.1180705222288627,C_ridge_gpr_80_20,v54
VMBS,102,-0.35227732717761895,0.28461812486217214,0.0828003679470203,0.8725490196078431,0.11934490769189877,0.13395533081547378,0.12987879858984758,1.0313872030684526,C_ridge_gpr_80_20,v54
BND,132,-0.29769924166280415,0.3740458015267175,0.0033495837924723123,0.7651515151515151,0.11679419325419534,0.13498182245225737,0.12861369547757887,1.0495135992402043,C_ridge_gpr_80_20,v54
GLD,162,-1.1573483357264474,0.27738331632703467,0.03541602173051138,0.6172839506172839,0.170066189938882,0.19958370848101256,0.15995467853943457,1.247751615041432,C_ridge_gpr_80_20,v54
DBC,150,-0.7668053804604849,0.17077914573981068,0.2067876053483917,0.7133333333333334,0.18982273059476776,0.19293553471591648,0.18087763888155986,1.066663275288839,C_ridge_gpr_80_20,v54
VDE,162,-1.0965373594535164,0.04090402943430417,0.7371847993455191,0.6234567901234568,0.24396840481021684,0.2096911371875528,0.2134771261034729,0.9822651307658835,C_ridge_gpr_80_20,v54
POOLED,1044,-1.3185851653909753,0.22467422263765696,4.317251333673082e-06,0.7011494252873564,0.17766560142708668,0.2164497445012192,0.1635004646326896,1.323847886227616,C_ridge_gpr_80_20,v54
