benchmark,n,r2,ic,ic_p,hit_rate,mae,std_yhat,std_ytrue,sigma_ratio,variant,horizon,version
VOO,84,-2.1748930017558576,-0.2195200971955047,0.23097052900093804,0.5,0.3066557467579975,0.24898712729416944,0.20956801856003798,1.1880969672996098,A_rolling60,12,v56
VXUS,78,-1.4127712693020968,-0.4440749124293427,0.012752205311964629,0.7307692307692307,0.2829731734816179,0.20285976960039395,0.2260291267941877,0.8974939313246528,A_rolling60,12,v56
VWO,150,-4.773472683028076,0.07096315391795191,0.581022026888009,0.7133333333333334,0.3716630133285093,0.484055174941896,0.21178750351694609,2.2855700497133653,A_rolling60,12,v56
VMBS,96,-3.3115779848509748,-0.14376017362995117,0.36439721877304027,0.875,0.2892328994584635,0.2725317162698851,0.18553752167894222,1.468876558249384,A_rolling60,12,v56
BND,126,-3.021929016627414,0.10684364454443195,0.4807208581378733,0.8015873015873016,0.2793008170261066,0.2749188320669751,0.19086168114222066,1.4404087317145615,A_rolling60,12,v56
GLD,156,-4.588614001379117,0.018612002339144312,0.902645522035829,0.5705128205128205,0.35640571146204636,0.45002395435976555,0.20282248458370536,2.2188070286361152,A_rolling60,12,v56
DBC,138,-1.5226734762242211,0.030555561897673222,0.8555564674659534,0.6956521739130435,0.34710041596635244,0.3620550018449074,0.28628622314745117,1.2646609322112985,A_rolling60,12,v56
VDE,156,-7.091168119584308,-0.023189138783961054,0.8818290750714199,0.6025641025641025,0.5700438306939435,0.8789961883510348,0.3429029158334182,2.5633966576651974,A_rolling60,12,v56
POOLED,984,-3.9912416127763297,-0.026192769970519007,0.6748322438883692,0.6808943089430894,0.36480151375153186,0.4985876266022274,0.24774296454548936,2.012519820762374,A_rolling60,12,v56
VOO,84,-17.367075739949367,-0.418183659005771,0.006271257887983521,0.2976190476190476,0.5236336987569048,0.6847261759680313,0.20956801856003798,3.2673218970759503,B_expanding,12,v56
VXUS,78,-2.903552820854494,-0.39306263356896265,0.008423004824890367,0.5128205128205128,0.35862463407892875,0.27997005815023357,0.2260291267941877,1.2386459308191822,B_expanding,12,v56
VWO,150,-11.014629239569603,0.3243184141517401,0.032706094811355536,0.44666666666666666,0.561653562680535,0.5110298948079509,0.21178750351694609,2.4129369595551284,B_expanding,12,v56
VMBS,96,-0.6998134794396,0.15687737384698858,0.37262852141315506,0.9375,0.19356381799000158,0.06031250049279501,0.18553752167894222,0.3250690207944081,B_expanding,12,v56
BND,126,-1.3772489558979202,-0.12409148856392951,0.42673211343570666,0.8492063492063492,0.23274755458268045,0.1500516658828983,0.19086168114222066,0.78618015405139,B_expanding,12,v56
GLD,156,-3.9408156112736954,0.2568506898895228,0.0986819380981602,0.6282051282051282,0.31097987455627757,0.3991688735141975,0.20282248458370536,1.9680701295691874,B_expanding,12,v56
DBC,138,-0.36311690181287104,0.17982871715956336,0.3090142563549864,0.7391304347826086,0.2615367383352529,0.21089542322003418,0.28628622314745117,0.7366593505668378,B_expanding,12,v56
VDE,156,-2.2988518630110715,-0.03485325030424681,0.8451499627006717,0.4358974358974359,0.48843190708160905,0.4936887567046049,0.3429029158334182,1.4397333294897914,B_expanding,12,v56
POOLED,984,-3.6899976026549997,0.12706342098200046,0.05206910888012437,0.6067073170731707,0.37084818372566036,0.44014916807879717,0.24774296454548936,1.776636397672472,B_expanding,12,v56
