benchmark,n,r2,ic,ic_p,hit_rate,mae,std_yhat,std_ytrue,sigma_ratio,variant,version
VOO,90,-9.462578501947089,0.034004198049141864,0.8188481667300901,0.6888888888888889,0.36024004998090364,0.3400827997467871,0.14050345209057455,2.4204586768982383,A_log_transform,v57
VXUS,90,-1.5127094668028822,-0.09195373914475037,0.6217621881908566,0.7222222222222222,0.17790006304953906,0.15332655168818035,0.14675117094697657,1.0448063255562,A_log_transform,v57
VWO,156,-2.2744320145483274,0.14244440580992873,0.3497914755088713,0.6538461538461539,0.1928041022645158,0.2299352445853561,0.14911748011836,1.5419737806918952,A_log_transform,v57
VMBS,102,-0.8645953815963547,0.21035221740335083,0.16098882336396178,0.803921568627451,0.1463121850162374,0.15106331397176562,0.12987879858984758,1.163109880996189,A_log_transform,v57
BND,132,-0.6855342499406005,0.29737598680949423,0.01403207928275237,0.6363636363636364,0.14108582887971213,0.14606398421537645,0.12861369547757887,1.1356798642088601,A_log_transform,v57
GLD,162,-1.9744710375169676,0.2477232023777769,0.035087512154326095,0.6172839506172839,0.20192951887766825,0.23118746745866697,0.15995467853943457,1.44533107483737,A_log_transform,v57
DBC,150,-2.6825243212275747,0.013506378061247168,0.93395800092548,0.7066666666666667,0.2533485700151982,0.27752536030746505,0.18087763888155986,1.5343265315907342,A_log_transform,v57
VDE,162,-3.725646957985207,0.00012842930954427354,0.9992829404213266,0.5925925925925926,0.31657800679021797,0.3586918651638048,0.2134771261034729,1.6802355910953475,A_log_transform,v57
POOLED,1044,-2.764827013266745,0.09931529714231085,0.06916449700934489,0.6676245210727969,0.2241932251630841,0.2705044898724792,0.1635004646326896,1.6544570101386469,A_log_transform,v57
VOO,90,-0.6675800295632164,-0.10948754924935894,0.49408342954643725,0.4,0.15619103524033434,0.0733400003910293,0.14050345209057455,0.521980060274613,B_rank_norm_gbt,v57
VXUS,90,-0.10120904876648451,-0.031614305945721496,0.8224258697002147,0.7666666666666667,0.12775698792298418,0.028781166766615233,0.14675117094697657,0.1961222290826852,B_rank_norm_gbt,v57
VWO,156,-0.1131268690029803,0.12034102725967429,0.3082261429654329,0.6923076923076923,0.12803590979198295,0.048384072524683366,0.14911748011836,0.32446948866275876,B_rank_norm_gbt,v57
VMBS,102,-0.07468173926561006,0.056964155322128486,0.7261374609320176,0.7941176470588235,0.1109256981608902,0.03063100554193048,0.12987879858984758,0.23584300035498523,B_rank_norm_gbt,v57
BND,132,0.009876242701753024,0.23481129681445997,0.06657866194691607,0.7803030303030303,0.10454362287029961,0.046361442245432746,0.12861369547757887,0.36047049323386327,B_rank_norm_gbt,v57
GLD,162,-0.48646155283010284,0.17291520324526824,0.2568310169378433,0.6604938271604939,0.14635193285539796,0.1067475135450696,0.15995467853943457,0.6673609957507589,B_rank_norm_gbt,v57
DBC,150,-0.3316856899361411,-0.16134079390599734,0.3140255271434895,0.7066666666666667,0.16898971376211458,0.07888628354512926,0.18087763888155986,0.4361306573488868,B_rank_norm_gbt,v57
VDE,162,-0.31791581372187183,-0.06118521496735529,0.7083712843546273,0.5802469135802469,0.18970559443133087,0.09623768832660812,0.2134771261034729,0.45081030498771785,B_rank_norm_gbt,v57
POOLED,1044,-0.244004289143273,0.051717150455125746,0.39099301316503987,0.6743295019157088,0.14409279686619314,0.07859336038431664,0.1635004646326896,0.480691969658189,B_rank_norm_gbt,v57
VOO,90,-11.686624318518003,0.01793637074535951,0.9039055830754474,0.7444444444444445,0.36719665763646187,0.37860985767294747,0.14050345209057455,2.694665875034012,C_fundamental_lags,v57
VXUS,90,-1.5446905150201946,-0.028620817384862322,0.8806359597335663,0.7111111111111111,0.17952976437166954,0.16175227312179521,0.14675117094697657,1.1022213456834276,C_fundamental_lags,v57
VWO,156,-3.036609294415837,0.2149894896556084,0.16756245837051453,0.6282051282051282,0.2058126422572292,0.26118947334762666,0.14911748011836,1.7515684488519454,C_fundamental_lags,v57
VMBS,102,-1.1118028970617027,0.11457667754211173,0.41930399623350173,0.7549019607843137,0.1583469501105199,0.1470369466271812,0.12987879858984758,1.1321089217303157,C_fundamental_lags,v57
BND,132,-1.1523321781606999,0.3115004722075834,0.006349137724503368,0.6515151515151515,0.16115784302097033,0.17213425901097798,0.12861369547757887,1.3383820313365151,C_fundamental_lags,v57
GLD,162,-1.9134589245952203,0.29151618562128034,0.01879933866118849,0.6604938271604939,0.19985108238876917,0.23340528412897937,0.15995467853943457,1.4591963564944217,C_fundamental_lags,v57
DBC,150,-3.059929468330547,-0.027281212498333263,0.8661948306788694,0.7,0.26029005921196874,0.29002718217931633,0.18087763888155986,1.6034440960898901,C_fundamental_lags,v57
VDE,162,-4.260100748023377,0.008689442405099912,0.9511337617720849,0.5802469135802469,0.33008583707521133,0.38886790544457983,0.2134771261034729,1.82159050265692,C_fundamental_lags,v57
POOLED,1044,-3.245902226302956,0.10540391288756065,0.056253249072708504,0.6685823754789272,0.23336174731595866,0.29133448916098187,0.1635004646326896,1.781857255363014,C_fundamental_lags,v57
