benchmark,n,r2,ic,ic_p,hit_rate,mae,std_yhat,std_ytrue,sigma_ratio,variant,version
VOO,90,-5.586022963602976,0.09676091698563608,0.5077001495760977,0.4888888888888889,0.3036285373342476,0.3572620135287196,0.14050345209057455,2.54272765695759,ffill_median,v59
VXUS,90,-3.936933034178929,0.036720582787998515,0.8549091210879178,0.4777777777777778,0.2645335933642468,0.26748689358985706,0.14675117094697657,1.8227240836565737,ffill_median,v59
VWO,156,-2.988408080473244,0.13748478765943323,0.3289267598316761,0.6153846153846154,0.2251690235788938,0.2496304543251905,0.14911748011836,1.6740522581728825,ffill_median,v59
VMBS,102,-16.91954464720648,0.23009765282639058,0.09194732953716274,0.5392156862745098,0.32909922218798054,0.5052819868757558,0.12987879858984758,3.890411617306513,ffill_median,v59
BND,132,-14.410725070278506,0.27883205585093884,0.03460384863849949,0.4772727272727273,0.2992662473801401,0.4584415230682465,0.12861369547757887,3.5644844926189547,ffill_median,v59
GLD,162,-2.631842417317264,0.09209792805418306,0.48888965426331443,0.42592592592592593,0.24176387497986393,0.2147452860880304,0.15995467853943457,1.3425383242859505,ffill_median,v59
DBC,150,-2.585986481600236,0.08594693097470998,0.6010635024976355,0.5933333333333334,0.25691404482981756,0.28533565574132813,0.18087763888155986,1.577506525990027,ffill_median,v59
VDE,162,-2.9690955153588217,0.030226049697908857,0.8478937942501136,0.5061728395061729,0.2862081750424821,0.3332627927770883,0.2134771261034729,1.5611171035512021,ffill_median,v59
POOLED,1044,-4.673505320550338,0.10122664174479663,0.06930467870184999,0.5181992337164751,0.27145670841629993,0.34514710036763274,0.1635004646326896,2.110985440579754,ffill_median,v59
VOO,90,-5.9834006962009925,0.09788039675680124,0.5052020504445518,0.4888888888888889,0.31114911384163507,0.3695993465122094,0.14050345209057455,2.6305356986812667,iterative,v59
VXUS,90,-3.9386064248281327,0.03797176606165369,0.8501500012549532,0.4888888888888889,0.26419368085408707,0.26790452984605545,0.14675117094697657,1.8255699638870577,iterative,v59
VWO,156,-3.0863882941458076,0.13806641273253148,0.3285710611702405,0.5961538461538461,0.22976137063092525,0.25223317857094596,0.14911748011836,1.691506444252808,iterative,v59
VMBS,102,-16.917985785030424,0.23075357221615939,0.09091240705743145,0.5490196078431373,0.32915467201846516,0.5052518307816734,0.12987879858984758,3.8901794308803233,iterative,v59
BND,132,-14.506642133397873,0.28091394342900966,0.03256425774988019,0.48484848484848486,0.3019839757112573,0.4596126199048848,0.12861369547757887,3.573590030192459,iterative,v59
GLD,162,-2.5930270169829415,0.11775838636334768,0.3615958657348426,0.42592592592592593,0.23924155457074822,0.20987970989496607,0.15995467853943457,1.3121198567706989,iterative,v59
DBC,150,-2.633697787437181,0.08462420552024535,0.6066228468360388,0.6,0.2589299630097486,0.2884152905800282,0.18087763888155986,1.594532593212834,iterative,v59
VDE,162,-2.9989211712236563,0.047847680016258304,0.761294153878136,0.5308641975308642,0.2864333759471291,0.33642423891821227,0.2134771261034729,1.5759264004479179,iterative,v59
POOLED,1044,-4.728151485348301,0.11201937645865097,0.04390183181107144,0.5229885057471264,0.27304417612659687,0.34744326128808267,0.1635004646326896,2.1250291983489342,iterative,v59
VOO,90,-5.861761629523596,0.09911511709264517,0.4983188354782795,0.4888888888888889,0.3094349330693984,0.3657884378510266,0.14050345209057455,2.603412460038517,missing_indicator,v59
VXUS,90,-3.952187206136629,0.014363913240317733,0.942778072897148,0.4666666666666667,0.26516018703803734,0.26755051156656207,0.14675117094697657,1.8231575928156112,missing_indicator,v59
VWO,156,-3.026066887112573,0.11131482037584357,0.4250986709568215,0.5641025641025641,0.22713020709236295,0.24227772200602332,0.14911748011836,1.6247439388978315,missing_indicator,v59
VMBS,102,-16.98168013489226,0.2233575156487665,0.10106750269663012,0.5490196078431373,0.33148952660538133,0.5060080877917749,0.12987879858984758,3.8960022211918486,missing_indicator,v59
BND,132,-14.42395300855299,0.2753152833506389,0.036624935783405727,0.4696969696969697,0.29983863645576886,0.4590163994676465,0.12861369547757887,3.5689542840922917,missing_indicator,v59
GLD,162,-2.4501443007552672,0.15344479868352903,0.23623960161054766,0.42592592592592593,0.2367502169923753,0.2070603710744104,0.15995467853943457,1.2944939964563935,missing_indicator,v59
DBC,150,-2.6613503055892953,0.07781501400062224,0.638989316902405,0.5933333333333334,0.26047886915099083,0.2827867444704295,0.18087763888155986,1.5634146167487324,missing_indicator,v59
VDE,162,-3.0029314684954063,0.07699407672733892,0.6293171359263464,0.5123456790123457,0.2893353430662295,0.3361607209019838,0.2134771261034729,1.5746919917736097,missing_indicator,v59
POOLED,1044,-4.696809696065739,0.11303627776179206,0.042512330216652135,0.5105363984674329,0.2728296896016578,0.34378858142555685,0.1635004646326896,2.1026764798368727,missing_indicator,v59
