benchmark,target,n_features,n_obs,accuracy,balanced_accuracy,brier_score,log_loss,precision,recall,base_rate,predicted_positive_rate,ece_10,feature_set,selected_feature_set,selected_next
VOO,actionable_sell_3pct,12,90,0.8,0.6515249837767683,0.19425653419370276,0.7654090879191713,0.7272727272727273,0.34782608695652173,0.25555555555555554,0.12222222222222222,0.18375907735619645,lean_baseline,lean_baseline,True
VXUS,actionable_sell_3pct,12,90,0.7333333333333333,0.564867042707494,0.20167562266266453,0.6651950116227084,0.29411764705882354,0.29411764705882354,0.18888888888888888,0.18888888888888888,0.2274603004908438,lean_baseline,lean_baseline,True
VWO,actionable_sell_3pct,12,156,0.7115384615384616,0.5531612903225807,0.20140164509390346,0.6683493814520249,0.28125,0.2903225806451613,0.1987179487179487,0.20512820512820512,0.16680741613095415,lean_baseline,lean_baseline,True
VMBS,actionable_sell_3pct,12,102,0.7647058823529411,0.5777777777777777,0.19948905124069777,0.7194103164356651,0.2,0.3333333333333333,0.11764705882352941,0.19607843137254902,0.2290789586252445,lean_baseline,lean_baseline,True
BND,actionable_sell_3pct,12,132,0.5984848484848485,0.5785714285714285,0.3185238106415635,1.0860260928077383,0.2,0.55,0.15151515151515152,0.4166666666666667,0.36236420489902954,lean_baseline,lean_baseline,True
GLD,actionable_sell_3pct,12,162,0.6296296296296297,0.5734126984126984,0.26177498236438385,0.8755874941280819,0.29310344827586204,0.4722222222222222,0.2222222222222222,0.35802469135802467,0.24372831164014935,lean_baseline,lean_baseline,True
DBC,actionable_sell_3pct,12,150,0.6733333333333333,0.5468787371442239,0.24626003375013517,0.7687915793038212,0.3235294117647059,0.2972972972972973,0.24666666666666667,0.22666666666666666,0.2279194627696353,lean_baseline,lean_baseline,True
VDE,actionable_sell_3pct,12,162,0.6419753086419753,0.5073088455772115,0.2636595338511294,0.9597743560017086,0.3,0.1956521739130435,0.2839506172839506,0.18518518518518517,0.25066727484676293,lean_baseline,lean_baseline,True
POOLED,actionable_sell_3pct,12,1044,0.6829501915708812,0.555352798053528,0.2409051471957787,0.8260531854491797,0.28793774319066145,0.3333333333333333,0.21264367816091953,0.24616858237547892,0.22127410257086258,lean_baseline,lean_baseline,True
VOO,actionable_sell_3pct,29,90,0.7777777777777778,0.63659961064244,0.20265084516295184,1.4502568373608407,0.6153846153846154,0.34782608695652173,0.25555555555555554,0.14444444444444443,0.22247688770527824,lean_plus_extended_ops,lean_baseline,False
VXUS,actionable_sell_3pct,29,90,0.7222222222222222,0.5354552780016116,0.22963552724653782,1.2275841927200934,0.25,0.23529411764705882,0.18888888888888888,0.17777777777777778,0.23607550127587962,lean_plus_extended_ops,lean_baseline,False
VWO,actionable_sell_3pct,29,156,0.6025641025641025,0.4972903225806452,0.28773596922215855,1.1621956533248528,0.19607843137254902,0.3225806451612903,0.1987179487179487,0.3269230769230769,0.29508572568308566,lean_plus_extended_ops,lean_baseline,False
VMBS,actionable_sell_3pct,29,102,0.7352941176470589,0.4888888888888889,0.22292985114388067,1.5902867872700444,0.10526315789473684,0.16666666666666666,0.11764705882352941,0.18627450980392157,0.23355958976493774,lean_plus_extended_ops,lean_baseline,False
BND,actionable_sell_3pct,29,132,0.6136363636363636,0.4642857142857143,0.32030191842095507,1.8138100356823592,0.12195121951219512,0.25,0.15151515151515152,0.3106060606060606,0.32276732004858555,lean_plus_extended_ops,lean_baseline,False
GLD,actionable_sell_3pct,29,162,0.5987654320987654,0.503968253968254,0.3167765807694089,1.541126168642063,0.22641509433962265,0.3333333333333333,0.2222222222222222,0.3271604938271605,0.2823837584131638,lean_plus_extended_ops,lean_baseline,False
DBC,actionable_sell_3pct,29,150,0.66,0.5380291796221,0.24670293897483986,1.019835246072877,0.3055555555555556,0.2972972972972973,0.24666666666666667,0.24,0.2491231726072915,lean_plus_extended_ops,lean_baseline,False
VDE,actionable_sell_3pct,29,162,0.6111111111111112,0.4726386806596702,0.313079149982102,1.3102944999218116,0.22580645161290322,0.15217391304347827,0.2839506172839506,0.19135802469135801,0.2937742436880277,lean_plus_extended_ops,lean_baseline,False
POOLED,actionable_sell_3pct,29,1044,0.6513409961685823,0.5106201091602551,0.2757216015246393,1.3782048149960309,0.22692307692307692,0.26576576576576577,0.21264367816091953,0.24904214559386972,0.2584461587598799,lean_plus_extended_ops,lean_baseline,False
VOO,actionable_sell_3pct,20,90,0.4222222222222222,0.45489941596365996,0.4871729854019066,2.1870375128630766,0.22641509433962265,0.5217391304347826,0.25555555555555554,0.5888888888888889,0.5350613836762546,lean_plus_valuation,lean_baseline,False
VXUS,actionable_sell_3pct,20,90,0.4444444444444444,0.47703464947622887,0.45394355182329404,2.051765926764335,0.17647058823529413,0.5294117647058824,0.18888888888888888,0.5666666666666667,0.5176597640986852,lean_plus_valuation,lean_baseline,False
VWO,actionable_sell_3pct,20,156,0.34615384615384615,0.4464516129032258,0.3979549333213105,1.6186386188848412,0.1743119266055046,0.6129032258064516,0.1987179487179487,0.6987179487179487,0.4705476821151478,lean_plus_valuation,lean_baseline,False
VMBS,actionable_sell_3pct,20,102,0.3627450980392157,0.4222222222222222,0.539274663867165,3.0310366633629515,0.09230769230769231,0.5,0.11764705882352941,0.6372549019607843,0.5932309681397803,lean_plus_valuation,lean_baseline,False
BND,actionable_sell_3pct,20,132,0.3712121212121212,0.38303571428571426,0.5180764603477687,2.4440365853640524,0.10126582278481013,0.4,0.15151515151515152,0.5984848484848485,0.57202783632465,lean_plus_valuation,lean_baseline,False
GLD,actionable_sell_3pct,20,162,0.3148148148148148,0.5396825396825397,0.4555697649615107,2.1350729395659664,0.23776223776223776,0.9444444444444444,0.2222222222222222,0.8827160493827161,0.479523216591374,lean_plus_valuation,lean_baseline,False
DBC,actionable_sell_3pct,20,150,0.4666666666666667,0.4551542693135614,0.4519087491627467,1.9069279199863192,0.21333333333333335,0.43243243243243246,0.24666666666666667,0.5,0.481223862618817,lean_plus_valuation,lean_baseline,False
VDE,actionable_sell_3pct,20,162,0.5246913580246914,0.47132683658170915,0.37370426713344906,1.4442505686052016,0.25396825396825395,0.34782608695652173,0.2839506172839506,0.3888888888888889,0.34733182067912055,lean_plus_valuation,lean_baseline,False
POOLED,actionable_sell_3pct,20,1044,0.4061302681992337,0.4551851121194187,0.45239681226297346,2.041827681384344,0.18808777429467086,0.5405405405405406,0.21264367816091953,0.6111111111111112,0.48030028108767886,lean_plus_valuation,lean_baseline,False
VOO,actionable_sell_3pct,22,90,0.8,0.6515249837767683,0.19476040222275764,0.7652655301861759,0.7272727272727273,0.34782608695652173,0.25555555555555554,0.12222222222222222,0.1842364552643546,lean_plus_inflation,lean_baseline,False
VXUS,actionable_sell_3pct,22,90,0.7333333333333333,0.564867042707494,0.20227111823605234,0.6672747445223812,0.29411764705882354,0.29411764705882354,0.18888888888888888,0.18888888888888888,0.2287800642548151,lean_plus_inflation,lean_baseline,False
VWO,actionable_sell_3pct,22,156,0.717948717948718,0.5571612903225807,0.2018334360793772,0.669335323748383,0.2903225806451613,0.2903225806451613,0.1987179487179487,0.1987179487179487,0.16616535381131717,lean_plus_inflation,lean_baseline,False
VMBS,actionable_sell_3pct,22,102,0.7647058823529411,0.5777777777777777,0.20057000380870554,0.7227098194787582,0.2,0.3333333333333333,0.11764705882352941,0.19607843137254902,0.23217107032167997,lean_plus_inflation,lean_baseline,False
BND,actionable_sell_3pct,22,132,0.5909090909090909,0.5535714285714286,0.3194931667490437,1.089512662731591,0.18518518518518517,0.5,0.15151515151515152,0.4090909090909091,0.3628488767270964,lean_plus_inflation,lean_baseline,False
GLD,actionable_sell_3pct,22,162,0.6296296296296297,0.5734126984126984,0.2607926165846645,0.8730033180846328,0.29310344827586204,0.4722222222222222,0.2222222222222222,0.35802469135802467,0.2423331558855889,lean_plus_inflation,lean_baseline,False
DBC,actionable_sell_3pct,22,150,0.6733333333333333,0.5468787371442239,0.24647341751622434,0.7697999568456197,0.3235294117647059,0.2972972972972973,0.24666666666666667,0.22666666666666666,0.2278702269810187,lean_plus_inflation,lean_baseline,False
VDE,actionable_sell_3pct,22,162,0.6419753086419753,0.5073088455772115,0.2647924939199625,0.9622575001823503,0.3,0.1956521739130435,0.2839506172839506,0.18518518518518517,0.25175279966818864,lean_plus_inflation,lean_baseline,False
POOLED,actionable_sell_3pct,22,1044,0.6829501915708812,0.5537088183073585,0.24134663965346811,0.8272598222049956,0.28627450980392155,0.32882882882882886,0.21264367816091953,0.2442528735632184,0.22334752536551536,lean_plus_inflation,lean_baseline,False
VOO,actionable_sell_3pct,17,90,0.7666666666666667,0.6291369240752758,0.19878968431061353,0.8094869629798983,0.5714285714285714,0.34782608695652173,0.25555555555555554,0.15555555555555556,0.1724488659645453,lean_plus_investment,lean_baseline,False
VXUS,actionable_sell_3pct,17,90,0.7444444444444445,0.5491539081385979,0.2032806762618574,0.7656498687560351,0.2857142857142857,0.23529411764705882,0.18888888888888888,0.15555555555555556,0.2632031010291388,lean_plus_investment,lean_baseline,False
VWO,actionable_sell_3pct,17,156,0.7307692307692307,0.5651612903225807,0.20228353761021192,0.6549124413162124,0.3103448275862069,0.2903225806451613,0.1987179487179487,0.1858974358974359,0.18755713863903992,lean_plus_investment,lean_baseline,False
VMBS,actionable_sell_3pct,17,102,0.7647058823529411,0.5416666666666667,0.19960570030974722,0.9347667798831725,0.16666666666666666,0.25,0.11764705882352941,0.17647058823529413,0.22825466680123208,lean_plus_investment,lean_baseline,False
