benchmark,target,n_features,n_obs,accuracy,balanced_accuracy,brier_score,log_loss,precision,recall,base_rate,predicted_positive_rate,ece_10,feature_set,model_name,panel_structure,group_label,selected_model,selected_next
VOO,actionable_sell_3pct,12.0,90,0.8,0.6515249837767683,0.19425653419370276,0.7654090879191713,0.7272727272727273,0.34782608695652173,0.25555555555555554,0.12222222222222222,0.18375907735619645,lean_baseline,separate_logistic_balanced,separate,,pooled_shared_logistic_balanced,False
VXUS,actionable_sell_3pct,12.0,90,0.7333333333333333,0.564867042707494,0.20167562266266453,0.6651950116227084,0.29411764705882354,0.29411764705882354,0.18888888888888888,0.18888888888888888,0.2274603004908438,lean_baseline,separate_logistic_balanced,separate,,pooled_shared_logistic_balanced,False
VWO,actionable_sell_3pct,12.0,156,0.7115384615384616,0.5531612903225807,0.20140164509390346,0.6683493814520249,0.28125,0.2903225806451613,0.1987179487179487,0.20512820512820512,0.16680741613095415,lean_baseline,separate_logistic_balanced,separate,,pooled_shared_logistic_balanced,False
VMBS,actionable_sell_3pct,12.0,102,0.7647058823529411,0.5777777777777777,0.19948905124069777,0.7194103164356651,0.2,0.3333333333333333,0.11764705882352941,0.19607843137254902,0.2290789586252445,lean_baseline,separate_logistic_balanced,separate,,pooled_shared_logistic_balanced,False
BND,actionable_sell_3pct,12.0,132,0.5984848484848485,0.5785714285714285,0.3185238106415635,1.0860260928077383,0.2,0.55,0.15151515151515152,0.4166666666666667,0.36236420489902954,lean_baseline,separate_logistic_balanced,separate,,pooled_shared_logistic_balanced,False
GLD,actionable_sell_3pct,12.0,162,0.6296296296296297,0.5734126984126984,0.26177498236438385,0.8755874941280819,0.29310344827586204,0.4722222222222222,0.2222222222222222,0.35802469135802467,0.24372831164014935,lean_baseline,separate_logistic_balanced,separate,,pooled_shared_logistic_balanced,False
DBC,actionable_sell_3pct,12.0,150,0.6733333333333333,0.5468787371442239,0.24626003375013517,0.7687915793038212,0.3235294117647059,0.2972972972972973,0.24666666666666667,0.22666666666666666,0.2279194627696353,lean_baseline,separate_logistic_balanced,separate,,pooled_shared_logistic_balanced,False
VDE,actionable_sell_3pct,12.0,162,0.6419753086419753,0.5073088455772115,0.2636595338511294,0.9597743560017086,0.3,0.1956521739130435,0.2839506172839506,0.18518518518518517,0.25066727484676293,lean_baseline,separate_logistic_balanced,separate,,pooled_shared_logistic_balanced,False
POOLED,actionable_sell_3pct,12.0,1044,0.6829501915708812,0.555352798053528,0.2409051471957787,0.8260531854491797,0.28793774319066145,0.3333333333333333,0.21264367816091953,0.24616858237547892,0.22127410257086258,lean_baseline,separate_logistic_balanced,separate,,pooled_shared_logistic_balanced,False
POOLED,actionable_sell_3pct,,1292,0.6888544891640866,0.5826551061306287,0.2277645472130653,0.747120722624496,0.3392857142857143,0.3877551020408163,0.22755417956656346,0.26006191950464397,0.17706796553361204,lean_baseline,pooled_shared_logistic_balanced,shared,pooled_shared,pooled_shared_logistic_balanced,True
