snapshot_date,fold_idx,train_start_date,train_end_date,actual_occurred,actual_excess,stage1_probability,conditional_size_prediction,expected_value_prediction,feature_set,model_name
2008-11-28,0,2000-11-30,2007-11-30,0,0.0,0.375,0.048749999999999995,0.01828125,x6_reference,historical_rate__historical_positive_mean
2009-11-30,1,2000-11-30,2008-11-28,1,0.01630000000000001,0.3333333333333333,0.048749999999999995,0.016249999999999997,x6_reference,historical_rate__historical_positive_mean
2010-11-30,2,2000-11-30,2009-11-30,0,0.0,0.4,0.0406375,0.016255000000000002,x6_reference,historical_rate__historical_positive_mean
2011-11-30,3,2000-11-30,2010-11-30,1,0.12719999999999998,0.36363636363636365,0.0406375,0.014777272727272727,x6_reference,historical_rate__historical_positive_mean
2012-11-30,4,2000-11-30,2011-11-30,0,0.0,0.4166666666666667,0.05794999999999999,0.024145833333333328,x6_reference,historical_rate__historical_positive_mean
2013-11-29,5,2000-11-30,2012-11-30,1,0.65415,0.38461538461538464,0.05794999999999999,0.022288461538461535,x6_reference,historical_rate__historical_positive_mean
2014-11-28,6,2000-11-30,2013-11-29,1,0.043950000000000045,0.42857142857142855,0.15731666666666666,0.06742142857142856,x6_reference,historical_rate__historical_positive_mean
2015-11-30,7,2000-11-30,2014-11-28,1,0.04510000000000003,0.4666666666666667,0.14112142857142856,0.06585666666666666,x6_reference,historical_rate__historical_positive_mean
2016-11-30,8,2000-11-30,2015-11-30,0,0.0,0.5,0.12911875,0.064559375,x6_reference,historical_rate__historical_positive_mean
2017-11-30,9,2000-11-30,2016-11-30,1,0.34020000000000006,0.47058823529411764,0.12911875,0.060761764705882355,x6_reference,historical_rate__historical_positive_mean
2018-11-30,10,2000-11-30,2017-11-30,1,1.6112499999999998,0.5,0.15257222222222222,0.07628611111111111,x6_reference,historical_rate__historical_positive_mean
2019-11-29,11,2000-11-30,2018-11-30,1,2.25,0.5263157894736842,0.29844,0.1570736842105263,x6_reference,historical_rate__historical_positive_mean
2020-11-30,12,2000-11-30,2019-11-29,1,4.5,0.55,0.4758545454545455,0.26172,x6_reference,historical_rate__historical_positive_mean
2021-11-30,13,2000-11-30,2020-11-30,0,0.0,0.5714285714285714,0.8112,0.46354285714285715,x6_reference,historical_rate__historical_positive_mean
2022-11-30,14,2000-11-30,2021-11-30,0,0.0,0.5454545454545454,0.8112,0.44247272727272724,x6_reference,historical_rate__historical_positive_mean
2023-11-30,15,2000-11-30,2022-11-30,1,0.75,0.5217391304347826,0.8112,0.4232347826086957,x6_reference,historical_rate__historical_positive_mean
2024-11-29,16,2000-11-30,2023-11-30,1,4.5,0.5416666666666666,0.8064923076923077,0.43685,x6_reference,historical_rate__historical_positive_mean
2025-11-28,17,2000-11-30,2024-11-29,1,13.5,0.56,1.0703142857142858,0.5993760000000001,x6_reference,historical_rate__historical_positive_mean
2008-11-28,0,2000-11-30,2007-11-30,0,0.0,0.375,0.13624999999999998,0.05109374999999999,x6_reference,historical_rate__ridge_positive_excess
2009-11-30,1,2000-11-30,2008-11-28,1,0.01630000000000001,0.3333333333333333,0.052643622024318305,0.0175478740081061,x6_reference,historical_rate__ridge_positive_excess
2010-11-30,2,2000-11-30,2009-11-30,0,0.0,0.4,0.04147039219874513,0.016588156879498054,x6_reference,historical_rate__ridge_positive_excess
2011-11-30,3,2000-11-30,2010-11-30,1,0.12719999999999998,0.36363636363636365,0.04053049696118888,0.01473836253134141,x6_reference,historical_rate__ridge_positive_excess
2012-11-30,4,2000-11-30,2011-11-30,0,0.0,0.4166666666666667,0.05635696081157563,0.02348206700482318,x6_reference,historical_rate__ridge_positive_excess
2013-11-29,5,2000-11-30,2012-11-30,1,0.65415,0.38461538461538464,0.05669568024535657,0.02180603086359868,x6_reference,historical_rate__ridge_positive_excess
2014-11-28,6,2000-11-30,2013-11-29,1,0.043950000000000045,0.42857142857142855,0.16473012267001652,0.07059862400143564,x6_reference,historical_rate__ridge_positive_excess
2015-11-30,7,2000-11-30,2014-11-28,1,0.04510000000000003,0.4666666666666667,0.14230483530747398,0.06640892314348786,x6_reference,historical_rate__ridge_positive_excess
2016-11-30,8,2000-11-30,2015-11-30,0,0.0,0.5,0.13059605624369872,0.06529802812184936,x6_reference,historical_rate__ridge_positive_excess
2017-11-30,9,2000-11-30,2016-11-30,1,0.34020000000000006,0.47058823529411764,0.12570663566119106,0.0591560638405605,x6_reference,historical_rate__ridge_positive_excess
2018-11-30,10,2000-11-30,2017-11-30,1,1.6112499999999998,0.5,0.1464547504171329,0.07322737520856645,x6_reference,historical_rate__ridge_positive_excess
2019-11-29,11,2000-11-30,2018-11-30,1,2.25,0.5263157894736842,0.32081297457052793,0.1688489339844884,x6_reference,historical_rate__ridge_positive_excess
2020-11-30,12,2000-11-30,2019-11-29,1,4.5,0.55,0.5448466096638174,0.2996656353150996,x6_reference,historical_rate__ridge_positive_excess
2021-11-30,13,2000-11-30,2020-11-30,0,0.0,0.5714285714285714,0.8451320379305503,0.48293259310317155,x6_reference,historical_rate__ridge_positive_excess
2022-11-30,14,2000-11-30,2021-11-30,0,0.0,0.5454545454545454,0.7306836588289781,0.3985547229976244,x6_reference,historical_rate__ridge_positive_excess
2023-11-30,15,2000-11-30,2022-11-30,1,0.75,0.5217391304347826,0.7854351722182322,0.40979226376603417,x6_reference,historical_rate__ridge_positive_excess
2024-11-29,16,2000-11-30,2023-11-30,1,4.5,0.5416666666666666,0.9284818893643388,0.5029276900723502,x6_reference,historical_rate__ridge_positive_excess
2025-11-28,17,2000-11-30,2024-11-29,1,13.5,0.56,1.2412007329065857,0.6950724104276881,x6_reference,historical_rate__ridge_positive_excess
2008-11-28,0,2000-11-30,2007-11-30,0,0.0,1.0,0.048749999999999995,0.048749999999999995,x6_reference,logistic_l2_balanced__historical_positive_mean
2009-11-30,1,2000-11-30,2008-11-28,1,0.01630000000000001,0.6743397152121808,0.048749999999999995,0.032874061116593814,x6_reference,logistic_l2_balanced__historical_positive_mean
2010-11-30,2,2000-11-30,2009-11-30,0,0.0,0.8143690948238682,0.0406375,0.03309392409090495,x6_reference,logistic_l2_balanced__historical_positive_mean
2011-11-30,3,2000-11-30,2010-11-30,1,0.12719999999999998,0.9339679466239993,0.0406375,0.03795412243093277,x6_reference,logistic_l2_balanced__historical_positive_mean
2012-11-30,4,2000-11-30,2011-11-30,0,0.0,0.49343651706094943,0.05794999999999999,0.028594646163682014,x6_reference,logistic_l2_balanced__historical_positive_mean
2013-11-29,5,2000-11-30,2012-11-30,1,0.65415,0.5907701884597141,0.05794999999999999,0.034235132421240426,x6_reference,logistic_l2_balanced__historical_positive_mean
2014-11-28,6,2000-11-30,2013-11-29,1,0.043950000000000045,0.6099162429873893,0.15731666666666666,0.09594999029263279,x6_reference,logistic_l2_balanced__historical_positive_mean
2015-11-30,7,2000-11-30,2014-11-28,1,0.04510000000000003,0.11634015723167324,0.14112142857142856,0.016418089188758343,x6_reference,logistic_l2_balanced__historical_positive_mean
2016-11-30,8,2000-11-30,2015-11-30,0,0.0,0.3615807025115907,0.12911875,0.04668684833241845,x6_reference,logistic_l2_balanced__historical_positive_mean
