snapshot_date,snapshot_year,policy_regime,target_window_start,target_window_end,window_dividend_total,regular_baseline_dividend,special_dividend_excess_regime,special_dividend_occurred_regime,model_eligible_post_policy,snapshot_bvps
2004-11-30,2004,quantitative_annual,2004-12-01,2005-02-28,0.03,0.0,,,0,24.47
2005-11-30,2005,quantitative_annual,2005-12-01,2006-02-28,0.03,0.0,,,0,30.29
2006-11-30,2006,quantitative_annual,2006-12-01,2007-02-28,0.00875,0.0,,,0,9.12
2007-11-30,2007,quantitative_annual,2007-12-01,2008-02-29,0.145,0.0,,,0,7.47
2008-11-30,2008,quantitative_annual,2008-12-01,2009-02-28,0.0,0.0,,,0,5.86
2009-11-30,2009,quantitative_annual,2009-12-01,2010-02-28,0.1613,0.0,,,0,8.56
2010-11-30,2010,quantitative_annual,2010-12-01,2011-02-28,1.3987,0.0,,,0,9.38
2011-11-30,2011,quantitative_annual,2011-12-01,2012-02-29,0.4072,0.0,,,0,9.71
2012-11-30,2012,quantitative_annual,2012-12-01,2013-02-28,0.2845,0.0,,,0,10.08
2013-11-30,2013,quantitative_annual,2013-12-01,2014-02-28,1.0,0.0,,,0,11.85
2014-11-30,2014,quantitative_annual,2014-12-01,2015-02-28,0.6862,0.0,,,0,12.21
2015-11-30,2015,quantitative_annual,2015-12-01,2016-02-29,0.8882,0.0,,,0,13.28
2016-11-30,2016,quantitative_annual,2016-12-01,2017-02-28,0.6808,0.0,,,0,14.05
2017-11-30,2017,quantitative_annual,2017-12-01,2018-02-28,1.1247,0.0,,,0,16.6
2018-11-30,2018,regular_plus_special,2018-12-01,2019-02-28,2.514,,,,1,19.88
2019-11-30,2019,regular_plus_special,2019-12-01,2020-02-29,2.35,0.1,2.25,1.0,1,24.24
2020-11-30,2020,regular_plus_special,2020-12-01,2021-02-28,4.6,0.1,4.5,1.0,1,31.64
2021-11-30,2021,regular_plus_special,2021-12-01,2022-02-28,1.6,0.1,1.5,1.0,1,31.4
2022-11-30,2022,regular_plus_special,2022-12-01,2023-02-28,0.1,0.1,0.0,0.0,1,26.39
2023-11-30,2023,regular_plus_special,2023-12-01,2024-02-29,0.85,0.1,0.75,1.0,1,31.69
2024-11-30,2024,regular_plus_special,2024-12-01,2025-02-28,4.6,0.1,4.5,1.0,1,47.43
2025-11-30,2025,regular_plus_special,2025-12-01,2026-02-28,13.6,0.1,13.5,1.0,1,64.04
