snapshot_date,fold_idx,train_start_date,train_end_date,target_scale,scale_column,model_name,actual_scaled_target,predicted_scaled_target,actual_dollars,predicted_dollars,feature_set
2023-11-30,0,2019-11-29,2021-11-30,raw_dollars,unit_scale,historical_scaled_mean,0.75,2.75,0.75,2.75,x10_capital_generation
2024-11-29,1,2019-11-29,2023-11-30,raw_dollars,unit_scale,historical_scaled_mean,4.5,2.25,4.5,2.25,x10_capital_generation
2025-11-28,2,2019-11-29,2024-11-29,raw_dollars,unit_scale,historical_scaled_mean,13.5,2.7,13.5,2.7,x10_capital_generation
2023-11-30,0,2019-11-29,2021-11-30,raw_dollars,unit_scale,ridge_scaled,0.75,2.647857533399816,0.75,2.647857533399816,x10_capital_generation
2024-11-29,1,2019-11-29,2023-11-30,raw_dollars,unit_scale,ridge_scaled,4.5,2.370330756209043,4.5,2.370330756209043,x10_capital_generation
2025-11-28,2,2019-11-29,2024-11-29,raw_dollars,unit_scale,ridge_scaled,13.5,2.743055887806295,13.5,2.743055887806295,x10_capital_generation
2023-11-30,0,2019-11-29,2021-11-30,to_current_bvps,current_bvps,historical_scaled_mean,0.02596053997923157,0.09830016412345327,0.75,2.839891741526565,x10_capital_generation
2024-11-29,1,2019-11-29,2023-11-30,to_current_bvps,current_bvps,historical_scaled_mean,0.09706643658326143,0.08021525808739785,4.5,3.7187793649317644,x10_capital_generation
2025-11-28,2,2019-11-29,2024-11-29,to_current_bvps,current_bvps,historical_scaled_mean,0.22332506203473945,0.08358549378657057,13.5,5.052743099398191,x10_capital_generation
2023-11-30,0,2019-11-29,2021-11-30,to_current_bvps,current_bvps,ridge_scaled,0.02596053997923157,0.09504766777182934,0.75,2.74592712192815,x10_capital_generation
2024-11-29,1,2019-11-29,2023-11-30,to_current_bvps,current_bvps,ridge_scaled,0.09706643658326143,0.08409027821950787,4.5,3.898425298256385,x10_capital_generation
2025-11-28,2,2019-11-29,2024-11-29,to_current_bvps,current_bvps,ridge_scaled,0.22332506203473945,0.08435118005422866,13.5,5.099028834278123,x10_capital_generation
2023-11-30,0,2019-11-29,2021-11-30,to_persistent_bvps,persistent_bvps,historical_scaled_mean,0.014553046825883462,0.06351061537751608,0.75,3.2730576698495186,x10_capital_generation
2024-11-29,1,2019-11-29,2023-11-30,to_persistent_bvps,persistent_bvps,historical_scaled_mean,0.06414313326377365,0.05127122323960792,4.5,3.5969634291086385,x10_capital_generation
2025-11-28,2,2019-11-29,2024-11-29,to_persistent_bvps,persistent_bvps,historical_scaled_mean,0.15143764807236695,0.05384560524444106,13.5,4.800098786878847,x10_capital_generation
2023-11-30,0,2019-11-29,2021-11-30,to_persistent_bvps,persistent_bvps,ridge_scaled,0.014553046825883462,0.06127302320587589,0.75,3.1577420147287385,x10_capital_generation
2024-11-29,1,2019-11-29,2023-11-30,to_persistent_bvps,persistent_bvps,ridge_scaled,0.06414313326377365,0.05392882582690637,4.5,3.7834091331821136,x10_capital_generation
2025-11-28,2,2019-11-29,2024-11-29,to_persistent_bvps,persistent_bvps,ridge_scaled,0.15143764807236695,0.05438579302659218,13.5,4.8482541508313775,x10_capital_generation
