horizon_months,model_name,target_kind,n_obs,fold_count,n_features,target_mae,target_rmse,pb_mae,pb_rmse,mean_predicted_pb,mean_realized_pb
1,no_change_pb,pb,186,31,0,0.19257981185383782,0.2702452277071822,0.19257981185383782,0.2702452277071822,3.3073719586865833,3.31561311446987
1,drift_pb,pb,186,31,0,0.6525155582739526,0.8892768038528052,0.6525155582739526,0.8892768038528052,2.8349976163414943,3.31561311446987
1,ridge_log_pb,log_pb,186,31,16,0.18684276995921142,0.23092564782924174,0.64673560204559,0.888471111267347,2.8069771560639762,3.31561311446987
1,hist_gbt_log_pb,log_pb,186,31,16,0.11628639629861626,0.1521333902000945,0.41667505184629655,0.6121609972234219,3.0560262532868054,3.31561311446987
3,no_change_pb,pb,180,30,0,0.2909756748690006,0.38817795697451474,0.2909756748690006,0.38817795697451474,3.326834952346063,3.354819920548395
3,drift_pb,pb,180,30,0,0.6808234651961226,0.925987618848121,0.6808234651961226,0.925987618848121,2.8223525942625036,3.354819920548395
3,ridge_log_pb,log_pb,180,30,16,0.19584331189154558,0.2421649687046295,0.679198611477566,0.9281597248843719,2.795238123938671,3.354819920548395
3,hist_gbt_log_pb,log_pb,180,30,16,0.1560140421089722,0.2001972880979761,0.554381826615857,0.7836256578844739,3.0283447910011065,3.354819920548395
6,no_change_pb,pb,174,29,0,0.39542656004293525,0.5606534696266571,0.39542656004293525,0.5606534696266571,3.342909554323131,3.397617976977179
6,drift_pb,pb,174,29,0,0.7211318920028563,0.975265578152095,0.7211318920028563,0.975265578152095,2.794702848577208,3.397617976977179
6,ridge_log_pb,log_pb,174,29,16,0.20838704702636948,0.25746186343226063,0.722565591337834,0.9804023971521305,2.767161488345299,3.397617976977179
6,hist_gbt_log_pb,log_pb,174,29,16,0.19403872994543628,0.23393023123931603,0.6632370318898252,0.8876423474414562,2.8713369362788974,3.397617976977179
12,no_change_pb,pb,162,27,0,0.5370805604968311,0.7695137562910508,0.5370805604968311,0.7695137562910508,3.3408396605154524,3.4977877832755007
12,drift_pb,pb,162,27,0,0.814334332794389,1.091057657341159,0.814334332794389,1.091057657341159,2.7422008706984538,3.4977877832755007
12,ridge_log_pb,log_pb,162,27,16,0.2382489487838394,0.2935214091578572,0.8262514478448869,1.1048551592307019,2.7146759401179863,3.4977877832755007
12,hist_gbt_log_pb,log_pb,162,27,16,0.22080269265439778,0.2809646100300785,0.7803272991560446,1.0831214670526583,2.783055289560651,3.4977877832755007
