model_type,variant,benchmark,n_obs,n_features,ic,hit_rate,mae,oos_r2
elasticnet,baseline,VTI,291,14,0.05995033034130426,0.4954954954954955,0.17427002819633383,-1.52353360092214
elasticnet,baseline,VOO,180,14,0.07832429793197251,0.3888888888888889,0.18790198842511166,-1.1785337859386695
elasticnet,baseline,VFH,259,14,0.009677168364875659,0.510752688172043,0.1621487192569786,-0.9821239339139272
elasticnet,baseline,BND,221,14,0.1172007472359534,0.66,0.1381381059103635,-0.6935740967905923
elasticnet,baseline,VHT,259,14,0.16972143058418124,0.5806451612903226,0.14340340815152677,-0.6121960505666517
elasticnet,baseline,GLD,250,14,0.19473345290442312,0.6,0.17236836315883944,-0.6460493850593165
elasticnet,baseline,VNQ,251,14,0.2535731022859331,0.5944444444444444,0.16159983507741515,-0.7050273396869522
elasticnet,baseline,VXUS,175,14,-0.10054198443515652,0.6764705882352942,0.1704843452764294,-0.4413314477606636
elasticnet,plus_buyback_yield,VTI,291,15,0.09647004268737887,0.5180180180180181,0.17165212266945185,-1.5233432277779588
elasticnet,plus_buyback_yield,VOO,180,15,0.07771432530266535,0.3888888888888889,0.188450705029525,-1.1949520504972004
elasticnet,plus_buyback_yield,VFH,259,15,0.0008897473612270026,0.510752688172043,0.16610502399522636,-1.2067483093903895
elasticnet,plus_buyback_yield,BND,221,15,0.10828478234187464,0.6533333333333333,0.13974281887123705,-0.7358121509974593
elasticnet,plus_buyback_yield,VHT,259,15,0.1663658181452899,0.5806451612903226,0.14455559582031513,-0.6255405681097814
elasticnet,plus_buyback_yield,GLD,250,15,0.14805923197276558,0.5833333333333334,0.17347466160390232,-0.6347432536058191
elasticnet,plus_buyback_yield,VNQ,251,15,0.26122596334744985,0.6277777777777778,0.1563762326925227,-0.597216255370953
elasticnet,plus_buyback_yield,VXUS,175,15,-0.105192305794919,0.6666666666666666,0.171720305669597,-0.4669972673106271
elasticnet,plus_buyback_acceleration,VTI,291,15,0.059857089019858166,0.4954954954954955,0.17485055401318933,-1.5694723435010083
elasticnet,plus_buyback_acceleration,VOO,180,15,0.0803924863782171,0.3888888888888889,0.1886290199217303,-1.2039954805408102
elasticnet,plus_buyback_acceleration,VFH,259,15,0.0026076872347910894,0.510752688172043,0.16128598033438524,-0.9381330258303406
elasticnet,plus_buyback_acceleration,BND,221,15,0.09128720149303975,0.6533333333333333,0.13765798311210256,-0.6628110821617748
elasticnet,plus_buyback_acceleration,VHT,259,15,0.19620073807862337,0.6021505376344086,0.14175322769798787,-0.5791522569683853
elasticnet,plus_buyback_acceleration,GLD,250,15,0.18103498767624726,0.5777777777777777,0.17510590345708751,-0.6799841874855195
elasticnet,plus_buyback_acceleration,VNQ,251,15,0.24883053608979266,0.6,0.16444164384471374,-0.7629898854529549
elasticnet,plus_buyback_acceleration,VXUS,175,15,-0.10127743671833064,0.6764705882352942,0.17104211381971404,-0.4556869717557521
elasticnet,plus_both_buyback_features,VTI,291,16,0.10565494950059687,0.5225225225225225,0.1706738860637105,-1.4996861090640308
elasticnet,plus_both_buyback_features,VOO,180,16,0.07652297251104981,0.3888888888888889,0.18757650819030924,-1.1695134840535673
elasticnet,plus_both_buyback_features,VFH,259,16,-0.0015948301757842498,0.510752688172043,0.1647356910319909,-1.145364279981452
elasticnet,plus_both_buyback_features,BND,221,16,0.0957374472316131,0.6533333333333333,0.13760622933862499,-0.6628850415682923
elasticnet,plus_both_buyback_features,VHT,259,16,0.19587618190054273,0.6021505376344086,0.1426006563187693,-0.5873633360877901
elasticnet,plus_both_buyback_features,GLD,250,16,0.1559564103995875,0.5833333333333334,0.1758128032612981,-0.6458053196215066
elasticnet,plus_both_buyback_features,VNQ,251,16,0.2619174565499358,0.6277777777777778,0.1558932197698763,-0.5887919350383437
elasticnet,plus_both_buyback_features,VXUS,175,16,-0.10415135794796487,0.6666666666666666,0.17198204408048376,-0.4747113476176503
ridge,baseline,VTI,291,14,-0.10426653344089379,0.43243243243243246,0.20578697575942095,-3.7109996581586477
ridge,baseline,VOO,180,14,0.17364505034915734,0.42592592592592593,0.1909508835136093,-1.3760452233093696
ridge,baseline,VFH,259,14,0.12107940267333056,0.5053763440860215,0.13645439867236017,-0.43999915661364986
ridge,baseline,BND,221,14,0.09444864216187386,0.64,0.13968264319319648,-0.6682460186642201
ridge,baseline,VHT,259,14,0.11655889113194616,0.5591397849462365,0.13958765181826335,-0.5467792145833545
ridge,baseline,GLD,250,14,0.1714806012531251,0.5444444444444444,0.17461552596072064,-0.47020256831794227
ridge,baseline,VNQ,251,14,0.2076524995627437,0.5,0.1452115550047016,-0.2861599311121763
ridge,baseline,VXUS,175,14,-0.014356718367439257,0.5490196078431373,0.1823346744970339,-0.5648196400421872
ridge,plus_buyback_yield,VTI,291,15,-0.1264045328935859,0.40540540540540543,0.20861684897750743,-3.5264091461671123
ridge,plus_buyback_yield,VOO,180,15,0.21522002153057626,0.42592592592592593,0.19077475718855386,-1.4144491805873707
ridge,plus_buyback_yield,VFH,259,15,0.06368345229825305,0.489247311827957,0.14395570776387617,-0.5822845607785012
ridge,plus_buyback_yield,BND,221,15,0.0978479043513045,0.6266666666666667,0.13932909172668748,-0.6592063172688731
ridge,plus_buyback_yield,VHT,259,15,0.09815794749381086,0.5591397849462365,0.14000654849481747,-0.5540731663343004
ridge,plus_buyback_yield,GLD,250,15,0.17629762235459942,0.5555555555555556,0.17472319448918286,-0.4895832250741263
ridge,plus_buyback_yield,VNQ,251,15,0.20012551827731306,0.5055555555555555,0.14695340579075153,-0.30364585331634286
ridge,plus_buyback_yield,VXUS,175,15,-0.017896421281191514,0.5490196078431373,0.18167273337018924,-0.5652271775441045
ridge,plus_buyback_acceleration,VTI,291,15,-0.12406174817148177,0.40540540540540543,0.20590360938151117,-3.513928869222638
ridge,plus_buyback_acceleration,VOO,180,15,0.15741137690893328,0.42592592592592593,0.19123214386402734,-1.3537719483797872
ridge,plus_buyback_acceleration,VFH,259,15,0.11504645925898296,0.5,0.13615497978054955,-0.43891094017995647
ridge,plus_buyback_acceleration,BND,221,15,0.08089070625361128,0.66,0.13220649930020809,-0.4900005744343554
ridge,plus_buyback_acceleration,VHT,259,15,0.14519812204821692,0.5752688172043011,0.1390095495471455,-0.5362247607775645
ridge,plus_buyback_acceleration,GLD,250,15,0.1586118913135179,0.5666666666666667,0.1729774555233895,-0.448518836435841
ridge,plus_buyback_acceleration,VNQ,251,15,0.17331604884924431,0.5222222222222223,0.1554322494232907,-0.48339767376960285
ridge,plus_buyback_acceleration,VXUS,175,15,-0.01809998247111976,0.5490196078431373,0.17942903169455016,-0.5174059088358973
ridge,plus_both_buyback_features,VTI,291,16,-0.12328630397741452,0.40540540540540543,0.20628304837475145,-3.3849640761782567
ridge,plus_both_buyback_features,VOO,180,16,0.16267969933407642,0.42592592592592593,0.19203945856180663,-1.345589821735775
ridge,plus_both_buyback_features,VFH,259,16,0.09989603196434317,0.4838709677419355,0.14472892256310516,-0.6157036812817915
ridge,plus_both_buyback_features,BND,221,16,0.08754344637539446,0.66,0.1335261350881576,-0.49773107139831363
