model_type,variant,mean_ic,mean_hit_rate,mean_oos_r2,n_features,n_obs,obs_per_feature,baseline_ic,delta_ic_vs_baseline
bayesian_ridge,plus_both_buyback_features,0.2289404265371386,0.5475541338302249,-3.8817044364121336,16,235.75,14.734375,0.22072650125300325,0.008213925284135365
bayesian_ridge,plus_buyback_yield,0.2234616818211703,0.5402174114342047,-3.6153072294940154,15,235.75,15.716666666666667,0.22072650125300325,0.002735180568167045
bayesian_ridge,baseline,0.22072650125300325,0.5327381983501528,-4.0220139435449145,14,235.75,16.839285714285715,0.22072650125300325,0.0
bayesian_ridge,plus_buyback_acceleration,0.20845975720290275,0.5272560724861484,-4.298650553595608,15,235.75,15.716666666666667,0.22072650125300325,-0.012266744050100503
elasticnet,plus_both_buyback_features,0.0982399037461971,0.5694282185411218,-0.8467651066290791,16,235.75,14.734375,0.09782981815168584,0.00041008559451125026
elasticnet,baseline,0.09782981815168584,0.5633371583158111,-0.8477962050798642,14,235.75,16.839285714285715,0.09782981815168584,0.0
elasticnet,plus_buyback_acceleration,0.09486666115652985,0.5631086636921552,-0.8565281542120682,15,235.75,15.716666666666667,0.09782981815168584,-0.002963156995155994
elasticnet,plus_buyback_yield,0.09422720067046653,0.566176983435048,-0.8731691353825236,15,235.75,15.716666666666667,0.09782981815168584,-0.003602617481219317
gbt,plus_both_buyback_features,0.12564046476213075,0.5769486920506844,-1.1265240947719952,13,235.75,18.134615384615383,0.11949259090064157,0.006147873861489184
gbt,plus_buyback_yield,0.12114758385457958,0.5940841054527013,-1.1365824209738407,12,235.75,19.645833333333332,0.11949259090064157,0.001654992953938006
gbt,baseline,0.11949259090064157,0.5940385451865527,-1.101282983371243,11,235.75,21.431818181818183,0.11949259090064157,0.0
gbt,plus_buyback_acceleration,0.11046233776620862,0.5972271180098505,-1.0795403330503353,12,235.75,19.645833333333332,0.11949259090064157,-0.009030253134432953
ridge,baseline,0.09578022941548046,0.5195423174597747,-1.0079064263501936,14,235.75,16.839285714285715,0.09578022941548046,0.0
ridge,plus_buyback_yield,0.08837893901638497,0.514564476715805,-1.0118598283838414,15,235.75,15.716666666666667,0.09578022941548046,-0.007401290399095498
ridge,plus_buyback_acceleration,0.08603910924873814,0.5255635806584573,-0.9727699390044553,15,235.75,15.716666666666667,0.09578022941548046,-0.00974112016674232
ridge,plus_both_buyback_features,0.08289126372699028,0.5242418960706438,-0.969195566636571,16,235.75,14.734375,0.09578022941548046,-0.012888965688490184
