feature,mean_ic,delta_ic,mean_hit_rate,delta_hit_rate,n_features,obs_per_feature
investment_income_growth_yoy,0.043383514453820854,0.03723464598257505,0.5752130474877154,0.02532664068242807,12,19.645833333333332
roe_net_income_ttm,0.036874311302319926,0.030725442831074125,0.5606965551889651,0.010810148383677776,12,19.645833333333332
underwriting_income_3m,0.03655267586192591,0.03040380739068011,0.544562311362596,-0.005324095442691301,12,19.645833333333332
investment_book_yield,0.035339514120524475,0.029190645649278674,0.5645175298638296,0.014631123058542306,12,19.645833333333332
underwriting_income,0.032336005906810406,0.026187137435564604,0.5501096233804963,0.0002232165752089621,12,19.645833333333332
unearned_premium_growth_yoy,0.026848862240217215,0.020699993768971414,0.5574536633407601,0.007567256535472744,12,19.645833333333332
roe_trend,0.01617204226376531,0.010023173792519508,0.5600705045652863,0.010184097759998956,12,19.645833333333332
npw_growth_yoy,0.016110370048042198,0.009961501576796396,0.5582993786006121,0.008412971795324742,12,19.645833333333332
buyback_yield,0.014149456439014371,0.00800058796776857,0.5563685032280858,0.006482096422798511,12,19.645833333333332
buyback_acceleration,0.014093133237134538,0.007944264765888737,0.5473296161436579,-0.0025567906616293934,12,19.645833333333332
unearned_premium_to_npw_ratio,0.013904056486770695,0.0077551880155248935,0.562010853358102,0.012124446552814638,12,19.645833333333332
underwriting_income_growth_yoy,0.013370012542693207,0.007221144071447406,0.5480256751058459,-0.0018607316994414536,12,19.645833333333332
channel_mix_agency_pct,-0.009000662683587048,-0.015149531154832849,0.5555448807441217,0.005658473938834341,12,19.645833333333332
