subset_label,benchmark,n_obs,n_features,ic,hit_rate,mae,oos_r2
B_only,VTI,291,11,-0.0885833413130521,0.45045045045045046,0.18493433977665752,-2.3258437183136187
B_only,VOO,180,11,-0.15910176077473073,0.35185185185185186,0.20786565795438797,-1.6335898602976182
B_only,VFH,259,11,0.004567106570795138,0.489247311827957,0.1506852537265114,-0.8345720638763476
B_only,BND,221,11,-0.014853739141739066,0.6733333333333333,0.13955006621130925,-0.7031996036258397
B_only,VHT,259,11,0.15347617777220057,0.5913978494623656,0.13560746271529436,-0.40269347630723007
B_only,GLD,250,11,0.1126677969893835,0.6055555555555555,0.18027360192311895,-0.7052450490828357
B_only,VNQ,251,11,0.1357525505040574,0.6,0.17819144057305308,-0.9701323279630123
B_only,VXUS,175,11,-0.09473384283694836,0.6372549019607843,0.17113987732564503,-0.4636461006760795
B_plus_C__combined_ratio_ttm,VTI,291,12,-0.043927210284023445,0.47297297297297297,0.19132582822381172,-2.5045470950252953
B_plus_C__combined_ratio_ttm,VOO,180,12,-0.14616679336278826,0.3425925925925926,0.2133586975402052,-1.7826043816434414
B_plus_C__combined_ratio_ttm,VFH,259,12,0.001112631843773453,0.4946236559139785,0.14321084954639382,-0.6474621441897341
B_plus_C__combined_ratio_ttm,BND,221,12,-0.03490343757121704,0.68,0.13736530873184963,-0.6593326103065953
B_plus_C__combined_ratio_ttm,VHT,259,12,0.12284594942898658,0.5698924731182796,0.1363592015566736,-0.40987021376477517
B_plus_C__combined_ratio_ttm,GLD,250,12,0.1766647396022902,0.6055555555555555,0.17336689940334263,-0.6374306260988496
B_plus_C__combined_ratio_ttm,VNQ,251,12,0.11098848382033805,0.5944444444444444,0.18605087405900766,-1.100127544999515
B_plus_C__combined_ratio_ttm,VXUS,175,12,-0.06057281008117773,0.696078431372549,0.1660765442908881,-0.42278350836872947
B_plus_C__pif_growth_yoy,VTI,291,12,-0.08774217610442596,0.4864864864864865,0.18531945044358347,-2.1391512136923394
B_plus_C__pif_growth_yoy,VOO,180,12,-0.1384868966695084,0.4351851851851852,0.17297720062167649,-0.7919717410982001
B_plus_C__pif_growth_yoy,VFH,259,12,-0.008110993063679392,0.478494623655914,0.15286337408230524,-0.9215650274413532
B_plus_C__pif_growth_yoy,BND,221,12,0.03957506914502088,0.68,0.13112276221681257,-0.4999534802656933
B_plus_C__pif_growth_yoy,VHT,259,12,0.13476721522751742,0.6021505376344086,0.1402540905239843,-0.428165243284397
B_plus_C__pif_growth_yoy,GLD,250,12,0.15703054618748133,0.6277777777777778,0.17068156345199273,-0.5697249618230402
