subset_label,mean_ic,mean_hit_rate,mean_mae,mean_oos_r2,avg_n_obs,n_features,obs_per_feature,delta_ic_vs_B
B_plus_C__combined_ratio_ttm__pif_growth_yoy__gainshare_est__pe_ratio,0.06112435849049948,0.5708498489001336,0.16424711936962152,-0.8474257764982829,235.75,15.0,15.716666666666667,0.054975490019253684
B_plus_C__combined_ratio_ttm__pif_growth_yoy,0.04335756210000614,0.5781654947167281,0.16203159011228044,-0.8429866480695306,235.75,13.0,18.134615384615383,0.037208693628760336
B_plus_C__combined_ratio_ttm__pif_growth_yoy__gainshare_est,0.0367095869766397,0.5702483223261212,0.1662714167054865,-1.0156628557774474,235.75,14.0,16.839285714285715,0.030560718505393904
B_plus_C__combined_ratio_ttm__pif_growth_yoy__pe_ratio,0.03376475039102044,0.5798804449610901,0.16156451634477717,-0.7911044999259201,235.75,14.0,16.839285714285715,0.027615881919774644
B_plus_C__pif_growth_yoy__pe_ratio,0.032916765047930716,0.5756450805644354,0.16262701906200516,-0.7936644385455845,235.75,13.0,18.134615384615383,0.026767896576684918
B_plus_C__pif_growth_yoy__gainshare_est__pe_ratio,0.027724706443269596,0.5652972802024036,0.1671318209657106,-0.8565143286410007,235.75,14.0,16.839285714285715,0.0215758379720238
B_plus_C__pe_ratio,0.0191045248300528,0.5483668725651648,0.16902341668007254,-0.941378098462896,235.75,12.0,19.645833333333332,0.012955656358807001
B_plus_C__combined_ratio_ttm,0.015755194174522726,0.5570200157462966,0.16838927541902154,-1.020519765549617,235.75,12.0,19.645833333333332,0.009606325703276929
B_plus_C__combined_ratio_ttm__gainshare_est__pe_ratio,0.01458867303155889,0.5396346726232875,0.1692602527025432,-1.017744084223917,235.75,14.0,16.839285714285715,0.008439804560313093
B_plus_C__gainshare_est__pe_ratio,0.013946771353827846,0.5446525534072972,0.1675596070624717,-0.854194714642447,235.75,13.0,18.134615384615383,0.007797902882582048
B_plus_C__combined_ratio_ttm__pe_ratio,0.01022039739662104,0.5570161100379317,0.1697391610408332,-1.2949372542239312,235.75,13.0,18.134615384615383,0.004071528925375243
B_plus_C__pif_growth_yoy,0.009167470015484607,0.5733206498718832,0.16177643381965032,-0.8255428943813907,235.75,12.0,19.645833333333332,0.0030186015442388095
B_only,0.006148868471245798,0.5498864068052872,0.1685309625257472,-1.0048652750178226,235.75,11.0,21.431818181818183,0.0
B_plus_C__combined_ratio_ttm__gainshare_est,0.004563151307718347,0.5435418886628565,0.1703835724397212,-1.0563663945639723,235.75,13.0,18.134615384615383,-0.0015857171635274506
B_plus_C__combined_ratio_ttm__pif_growth_yoy__gainshare_est__pe_ratio__pb_ratio,0.0017275430128810467,0.529775553542157,0.18007736976952027,-1.1726861888946338,235.75,16.0,14.734375,-0.004421325458364751
B_plus_C__gainshare_est,-0.0005075710247654398,0.5481445962091124,0.16886863992552564,-0.9701719983218502,235.75,12.0,19.645833333333332,-0.006656439496011237
B_plus_C__pif_growth_yoy__gainshare_est,-0.0018198452825298958,0.5675124412837885,0.16627599108962954,-0.9294827690985601,235.75,13.0,18.134615384615383,-0.007968713753775693
B_plus_C__combined_ratio_ttm__pif_growth_yoy__gainshare_est__pb_ratio,-0.006585217943304194,0.5280369197470716,0.1833153291660227,-1.3846988827693925,235.75,15.0,15.716666666666667,-0.012734086414549992
B_plus_C__combined_ratio_ttm__pif_growth_yoy__pb_ratio,-0.011714078697963204,0.49418900874308846,0.1865942040451975,-1.359669105699702,235.75,14.0,16.839285714285715,-0.017862947169209
B_plus_C__combined_ratio_ttm__pif_growth_yoy__pe_ratio__pb_ratio,-0.013782420697028515,0.5033047373749461,0.18096196998132766,-1.1185584108479842,235.75,15.0,15.716666666666667,-0.019931289168274312
B_plus_C__combined_ratio_ttm__pe_ratio__pb_ratio,-0.020024701710023275,0.49346636009823863,0.18845407305451392,-1.7410130946668425,235.75,14.0,16.839285714285715,-0.026173570181269073
B_plus_C__pe_ratio__pb_ratio,-0.02391597484550518,0.49167723938359614,0.18843955389626335,-1.3979407053869375,235.75,13.0,18.134615384615383,-0.030064843316750977
B_plus_C__combined_ratio_ttm__pb_ratio,-0.025451043251724818,0.4896145766259618,0.19026001425918318,-1.5903703493940662,235.75,13.0,18.134615384615383,-0.031599911722970615
B_plus_C__combined_ratio_ttm__gainshare_est__pe_ratio__pb_ratio,-0.02769920663361128,0.5001134222457752,0.18625210152602162,-1.4745596065067845,235.75,15.0,15.716666666666667,-0.03384807510485707
B_plus_C__pif_growth_yoy__gainshare_est__pe_ratio__pb_ratio,-0.030549038540148447,0.5123774462318106,0.18302307819106842,-1.1847734025797991,235.75,15.0,15.716666666666667,-0.03669790701139425
B_plus_C__pif_growth_yoy__gainshare_est__pb_ratio,-0.03112507097554631,0.5224909064662385,0.18328490570393655,-1.2897486619939023,235.75,14.0,16.839285714285715,-0.03727393944679211
B_plus_C__combined_ratio_ttm__gainshare_est__pb_ratio,-0.03675360045476403,0.5036905287640582,0.18890307077682703,-1.651528380683939,235.75,14.0,16.839285714285715,-0.042902468926009824
B_plus_C__gainshare_est__pe_ratio__pb_ratio,-0.037487161291677916,0.5049467802717329,0.18456188572673826,-1.284444009051865,235.75,14.0,16.839285714285715,-0.04363602976292372
B_plus_C__pif_growth_yoy__pe_ratio__pb_ratio,-0.03861840448366909,0.4989176249304333,0.18511849619789228,-1.173463238085732,235.75,14.0,16.839285714285715,-0.044767272954914894
B_plus_C__pb_ratio,-0.04942485341697635,0.4809935124878199,0.19030269963671126,-1.384604660245115,235.75,12.0,19.645833333333332,-0.05557372188822214
B_plus_C__pif_growth_yoy__pb_ratio,-0.05032567009974353,0.49895790714813487,0.185957551927457,-1.2313451664955033,235.75,13.0,18.134615384615383,-0.05647453857098933
B_plus_C__gainshare_est__pb_ratio,-0.05775131778826506,0.49818770383286515,0.18979403138011194,-1.4804602167642142,235.75,13.0,18.134615384615383,-0.06390018625951085
