benchmark,classifier_raw_prob_actionable_sell,classifier_prob_actionable_sell,classifier_history_obs,classifier_weight,classifier_weighted_contribution,classifier_shadow_tier,is_contextual
BND,0.8890469818779185,0.23610236889072797,150,0.14002141758457742,0.033059388387156566,HIGH,False
DBC,0.854331628837734,0.471100992144701,162,0.15016461870339465,0.07074270085619995,LOW,True
GLD,0.8964584667783254,0.41955267389449447,180,0.13541762158784396,0.05681482522961275,LOW,True
VDE,0.7437916179748777,0.32157002292805686,180,0.1260734104120884,0.04054142947683358,MODERATE,True
VGT,0.5708192485309739,0.47875132972979106,186,0.0,0.0,LOW,False
VIG,0.7659727058956415,0.461142228762574,162,0.0,0.0,LOW,False
VMBS,0.77385909529291,0.24780775140932668,120,0.1382122527941673,0.034250067582140026,HIGH,True
VOO,0.5335415653419301,0.38713142933147343,108,0.0944273046821463,0.03655577742951783,MODERATE,False
VWO,0.7033465870719219,0.34544766425260015,174,0.11298961048312985,0.03903199702620831,MODERATE,False
VXUS,0.5092001709880744,0.35187193507479897,102,0.10269376375265216,0.03613505337175996,MODERATE,False
