variant,variant_label,benchmark,classifier_raw_prob_actionable_sell,classifier_prob_actionable_sell,classifier_history_obs,classifier_weight,classifier_weighted_contribution,classifier_shadow_tier,is_contextual,benchmark_specific_features,benchmark_specific_prob_actionable_sell,benchmark_specific_tier,feature_set,reporting_only
baseline_shadow,,BND,0.9255542301994258,0.26486651503535275,150,0.15358331203230535,0.04067907662558388,HIGH,False,pb_ratio|npw_per_pif_yoy|mortgage_spread_30y_10y|motor_vehicle_ins_cpi_yoy|combined_ratio_ttm|npw_growth_yoy|roe|credit_spread_hy|excess_bond_premium_proxy|real_yield_change_6m|npw_vs_npe_spread_pct|mom_6m,0.9633130527383753,HIGH,,
baseline_shadow,,DBC,0.9428735801388118,0.4880206026820468,168,0.13830527237858053,0.06749582238029951,LOW,True,combined_ratio_ttm|underwriting_margin_ttm|real_yield_change_6m|rate_adequacy_gap_yoy|baa10y_spread|commodity_equity_momentum|npw_per_pif_yoy|real_rate_10y|ppi_auto_ins_yoy|npw_growth_yoy|investment_income_growth_yoy|credit_spread_hy,0.9176738897110951,HIGH,,
baseline_shadow,,GLD,0.920024124159831,0.41925765233917106,180,0.12002114609028816,0.050319783940870895,LOW,True,mom_12m|vol_63d|yield_slope|real_yield_change_6m|real_rate_10y|credit_spread_hy|nfci|vix|combined_ratio_ttm|investment_income_growth_yoy|book_value_per_share_growth_yoy|npw_growth_yoy,0.41925765233917106,LOW,,
baseline_shadow,,VDE,0.8444327545854435,0.3658418121801909,180,0.10897738373396428,0.03986848355188955,MODERATE,True,mom_12m|vol_63d|yield_slope|real_yield_change_6m|real_rate_10y|credit_spread_hy|nfci|vix|combined_ratio_ttm|investment_income_growth_yoy|book_value_per_share_growth_yoy|npw_growth_yoy,0.3658418121801909,MODERATE,,
baseline_shadow,,VGT,0.6578430124352025,0.49161190756184836,192,0.0,0.0,LOW,False,mom_12m|vol_63d|yield_slope|real_yield_change_6m|real_rate_10y|credit_spread_hy|nfci|vix|combined_ratio_ttm|investment_income_growth_yoy|book_value_per_share_growth_yoy|npw_growth_yoy,0.49161190756184836,LOW,,
baseline_shadow,,VIG,0.859195173587547,0.536492330608839,162,0.0,0.0,LOW,False,pb_ratio|wti_return_3m|monthly_combined_ratio_delta|real_yield_change_6m|baa10y_spread|yield_curvature|npw_per_pif_yoy|vwo_vxus_spread_6m|underwriting_income_3m|combined_ratio_ttm|mom_3m|commodity_equity_momentum,0.5204984696762188,LOW,,
baseline_shadow,,VMBS,0.850107816208943,0.3076344900986665,120,0.14182206978891648,0.04362936012425082,MODERATE,True,mom_12m|vol_63d|yield_slope|real_yield_change_6m|real_rate_10y|credit_spread_hy|nfci|vix|combined_ratio_ttm|investment_income_growth_yoy|book_value_per_share_growth_yoy|npw_growth_yoy,0.3076344900986665,MODERATE,,
baseline_shadow,,VOO,0.6897503671456642,0.4953121920006894,108,0.09375,0.04643551800006463,LOW,False,mom_12m|vol_63d|yield_slope|real_yield_change_6m|real_rate_10y|credit_spread_hy|nfci|vix|combined_ratio_ttm|investment_income_growth_yoy|book_value_per_share_growth_yoy|npw_growth_yoy,0.4953121920006894,LOW,,
baseline_shadow,,VWO,0.8124235113977488,0.3770876176120076,174,0.12049561853828111,0.04543740572728568,MODERATE,False,mom_12m|vol_63d|yield_slope|real_yield_change_6m|real_rate_10y|credit_spread_hy|nfci|vix|combined_ratio_ttm|investment_income_growth_yoy|book_value_per_share_growth_yoy|npw_growth_yoy,0.3770876176120076,MODERATE,,
baseline_shadow,,VXUS,0.641227303295752,0.411748896696241,108,0.12304519743766407,0.05066372428872932,LOW,False,mom_12m|vol_63d|yield_slope|real_yield_change_6m|real_rate_10y|credit_spread_hy|nfci|vix|combined_ratio_ttm|investment_income_growth_yoy|book_value_per_share_growth_yoy|npw_growth_yoy,0.411748896696241,LOW,,
autoresearch_followon_v150,,BND,0.9255542301994258,0.26486651503535275,150,0.15358331203230535,0.04067907662558388,HIGH,False,pb_ratio|npw_per_pif_yoy|mortgage_spread_30y_10y|motor_vehicle_ins_cpi_yoy|combined_ratio_ttm|npw_growth_yoy|roe|credit_spread_hy|excess_bond_premium_proxy|real_yield_change_6m|npw_vs_npe_spread_pct|mom_6m,0.9633130527383753,HIGH,,
autoresearch_followon_v150,,DBC,0.9428735801388118,0.4880206026820468,168,0.13830527237858053,0.06749582238029951,LOW,True,combined_ratio_ttm|underwriting_margin_ttm|real_yield_change_6m|rate_adequacy_gap_yoy|baa10y_spread|commodity_equity_momentum|npw_per_pif_yoy|real_rate_10y|ppi_auto_ins_yoy|npw_growth_yoy|investment_income_growth_yoy|credit_spread_hy,0.9176738897110951,HIGH,,
autoresearch_followon_v150,,GLD,0.920024124159831,0.41925765233917106,180,0.12002114609028816,0.050319783940870895,LOW,True,mom_12m|vol_63d|yield_slope|real_yield_change_6m|real_rate_10y|credit_spread_hy|nfci|vix|combined_ratio_ttm|investment_income_growth_yoy|book_value_per_share_growth_yoy|npw_growth_yoy,0.41925765233917106,LOW,,
autoresearch_followon_v150,,VDE,0.8444327545854435,0.3658418121801909,180,0.10897738373396428,0.03986848355188955,MODERATE,True,mom_12m|vol_63d|yield_slope|real_yield_change_6m|real_rate_10y|credit_spread_hy|nfci|vix|combined_ratio_ttm|investment_income_growth_yoy|book_value_per_share_growth_yoy|npw_growth_yoy,0.3658418121801909,MODERATE,,
autoresearch_followon_v150,,VGT,0.6578430124352025,0.49161190756184836,192,0.0,0.0,LOW,False,mom_12m|vol_63d|yield_slope|real_yield_change_6m|real_rate_10y|credit_spread_hy|nfci|vix|combined_ratio_ttm|investment_income_growth_yoy|book_value_per_share_growth_yoy|npw_growth_yoy,0.49161190756184836,LOW,,
autoresearch_followon_v150,,VIG,0.859195173587547,0.536492330608839,162,0.0,0.0,LOW,False,pb_ratio|wti_return_3m|monthly_combined_ratio_delta|real_yield_change_6m|baa10y_spread|yield_curvature|npw_per_pif_yoy|vwo_vxus_spread_6m|underwriting_income_3m|combined_ratio_ttm|mom_3m|commodity_equity_momentum,0.5204984696762188,LOW,,
autoresearch_followon_v150,,VMBS,0.850107816208943,0.3076344900986665,120,0.14182206978891648,0.04362936012425082,MODERATE,True,mom_12m|vol_63d|yield_slope|real_yield_change_6m|real_rate_10y|credit_spread_hy|nfci|vix|combined_ratio_ttm|investment_income_growth_yoy|book_value_per_share_growth_yoy|npw_growth_yoy,0.3076344900986665,MODERATE,,
autoresearch_followon_v150,,VOO,0.6897503671456642,0.4953121920006894,108,0.09375,0.04643551800006463,LOW,False,mom_12m|vol_63d|yield_slope|real_yield_change_6m|real_rate_10y|credit_spread_hy|nfci|vix|combined_ratio_ttm|investment_income_growth_yoy|book_value_per_share_growth_yoy|npw_growth_yoy,0.4953121920006894,LOW,,
autoresearch_followon_v150,,VWO,0.8124235113977488,0.3770876176120076,174,0.12049561853828111,0.04543740572728568,MODERATE,False,mom_12m|vol_63d|yield_slope|real_yield_change_6m|real_rate_10y|credit_spread_hy|nfci|vix|combined_ratio_ttm|investment_income_growth_yoy|book_value_per_share_growth_yoy|npw_growth_yoy,0.3770876176120076,MODERATE,,
autoresearch_followon_v150,,VXUS,0.641227303295752,0.411748896696241,108,0.12304519743766407,0.05066372428872932,LOW,False,mom_12m|vol_63d|yield_slope|real_yield_change_6m|real_rate_10y|credit_spread_hy|nfci|vix|combined_ratio_ttm|investment_income_growth_yoy|book_value_per_share_growth_yoy|npw_growth_yoy,0.411748896696241,LOW,,
ta_minimal_replacement,TA Minimal Replacement,BND,0.9212101357901269,0.2673507487204848,150,0.15358331203230535,0.041060613462808676,HIGH,False,ta_pgr_obv_detrended|ta_pgr_natr_63d|yield_slope|real_yield_change_6m|real_rate_10y|credit_spread_hy|nfci|vix|combined_ratio_ttm|investment_income_growth_yoy|book_value_per_share_growth_yoy|npw_growth_yoy,0.2673507487204848,HIGH,ta_pgr_obv_detrended|ta_pgr_natr_63d|yield_slope|real_yield_change_6m|real_rate_10y|credit_spread_hy|nfci|vix|combined_ratio_ttm|investment_income_growth_yoy|book_value_per_share_growth_yoy|npw_growth_yoy,True
ta_minimal_replacement,TA Minimal Replacement,DBC,0.9427597460828427,0.4921567923937497,168,0.13830527237858053,0.06806787922498607,LOW,True,ta_pgr_obv_detrended|ta_pgr_natr_63d|yield_slope|real_yield_change_6m|real_rate_10y|credit_spread_hy|nfci|vix|combined_ratio_ttm|investment_income_growth_yoy|book_value_per_share_growth_yoy|npw_growth_yoy,0.4921567923937497,LOW,ta_pgr_obv_detrended|ta_pgr_natr_63d|yield_slope|real_yield_change_6m|real_rate_10y|credit_spread_hy|nfci|vix|combined_ratio_ttm|investment_income_growth_yoy|book_value_per_share_growth_yoy|npw_growth_yoy,True
