benchmark,predicted_relative_return,prediction_std,signal_to_noise,ic,hit_rate,signal,prob_outperform,confidence_tier,calibrated_prob_outperform,ci_lower,ci_upper,ci_width,ci_empirical_coverage,ci_n_calibration
VTI,0.04607909599374195,0.1239016801010017,0.3719004936509285,0.03529323125125026,0.49887387387387383,NEUTRAL,0.6450165312127787,MODERATE,0.595040421511497,-0.25390771653790084,0.3460659085253847,0.5999736250632856,0.8963963963963963,222
VOO,0.018543490555053273,0.12488875148606396,0.1484800699374635,0.08495381869324806,0.44212962962962965,OUTPERFORM,0.5590180432527603,LOW,0.6706335948060808,-0.30070726907064393,0.3377942501807505,0.6385015192513944,0.8611111111111112,108
VGT,-0.005637450224041335,0.16717088255571963,0.03372268027694548,0.13405821305645732,0.5364583333333334,NEUTRAL,0.48654914650543696,LOW,0.5560240203232805,-0.37357997947970945,0.3623050790316268,0.7358850585113362,0.9479166666666666,192
VHT,0.03498364147403013,0.12343041241459093,0.2834280530192464,0.13269544593013435,0.5638020833333334,OUTPERFORM,0.6115756367765007,MODERATE,0.6386609182701445,-0.3117756760196493,0.3817429589677096,0.6935186349873589,0.9583333333333334,192
VFH,0.06364196074588149,0.10179612726712428,0.6251903923503687,0.1994976796766355,0.5611979166666666,OUTPERFORM,0.7340769465717998,HIGH,0.623422051617722,-0.20380048659383596,0.3310844080855989,0.5348848946794349,0.90625,192
VIS,0.03970118072975555,0.12231246572411143,0.3245881807280847,0.10799162755144057,0.5152777777777778,OUTPERFORM,0.6272536131486088,MODERATE,0.6370479814734147,-0.40660204929129684,0.4860044107508079,0.8926064600421048,0.9777777777777777,180
VDE,-0.10608272760131264,0.17059179817638326,0.6218512773493863,-0.0245815797003131,0.5444444444444445,NEUTRAL,0.267019832611068,HIGH,0.6580767689556764,-0.588746103251258,0.37658064804863267,0.9653267512998907,0.9166666666666666,180
VPU,-0.0036560430048918364,0.12658942803637654,0.028881108490680922,0.23457239907750305,0.5611979166666667,NEUTRAL,0.48847970628867915,LOW,0.6455357652900507,-0.2808346108637022,0.2735225248539185,0.5543571357176207,0.8854166666666666,192
KIE,0.06616592800826718,0.08913093078702332,0.7423453050924534,0.16048545604383035,0.5773809523809524,OUTPERFORM,0.771060925524615,HIGH,0.6182389677128532,-0.1728618120344573,0.3051936680509917,0.47805548008544896,0.8154761904761905,168
VXUS,0.04134148715908379,0.11109253104411936,0.37213561317335914,0.07380891558013776,0.6157407407407407,OUTPERFORM,0.6451040590375076,MODERATE,0.7007606419647898,-0.3983486873035392,0.4810316616217068,0.879380348925246,0.9814814814814815,108
VEA,0.02502419364452569,0.10983099811046461,0.22784272268341887,0.10666545277408965,0.5966666666666667,OUTPERFORM,0.5901157439165436,LOW,0.6519620693886835,-0.4188740349792184,0.46892242226826975,0.8877964572474881,0.9866666666666667,150
VWO,0.062219111591970876,0.12014851847872146,0.5178516754077995,0.09268856971284291,0.5603448275862069,OUTPERFORM,0.697719119655069,MODERATE,0.695289828046739,-0.32812526693676314,0.45256349012070485,0.780688757057468,0.9770114942528736,174
VIG,0.0299342546077852,0.1140717920794247,0.2624159230087566,0.10080166105965382,0.5061728395061729,OUTPERFORM,0.6034996010382062,MODERATE,0.6490107531530113,-0.24310020011743383,0.30296870933300424,0.5460689094504381,0.9506172839506173,162
SCHD,0.0012072431432164897,0.22687574305003946,0.005321164470854081,-0.07341278115259664,0.5182291666666667,NEUTRAL,0.5021228274704861,LOW,0.7156059008239994,-0.6015750564776193,0.6039895427640524,1.2055645992416717,0.9270833333333334,96
BND,0.0710885158174958,0.109089543566733,0.6516528852649296,0.16661915844008254,0.6166666666666667,OUTPERFORM,0.7426874385379263,HIGH,0.7534138394742043,-0.23715352671345669,0.3793305583484483,0.616484085061905,0.96,150
BNDX,0.08996819727167912,0.10887799042592979,0.8263212511520859,0.23399126291012753,0.5961538461538461,OUTPERFORM,0.7956890592156489,HIGH,0.7192060740748838,-0.2138643898556352,0.39380078439899346,0.6076651742546286,0.9487179487179487,78
VCIT,0.0921875842323599,0.10826516443826542,0.8514981223247186,0.12378540544477343,0.5958333333333333,OUTPERFORM,0.8027536470400807,HIGH,0.7523126287835232,-0.22692076673933076,0.41129593520405056,0.6382167019433813,0.9583333333333334,120
VMBS,0.08266760919993157,0.10783758786246422,0.7665936417769806,0.16861721768566376,0.6541666666666667,OUTPERFORM,0.7783384215069564,HIGH,0.7545423710328225,-0.21836189760247252,0.3836971160023357,0.6020590136048082,0.95,120
VNQ,0.054662949865594196,0.11930335023433028,0.4581845334454371,0.22952514085419715,0.5722222222222222,OUTPERFORM,0.6765900646510589,MODERATE,0.6250159745835787,-0.24325880388800555,0.3525847036191939,0.5958435075071995,0.9055555555555556,180
GLD,-0.15079429639916725,0.12177277013760067,1.238325253082219,0.17994470103791,0.5888888888888888,UNDERPERFORM,0.10779774189247221,HIGH,0.5641350330935314,-0.6588956364881215,0.3573070436897871,1.0162026801779087,0.9388888888888889,180
DBC,-0.04652745113098628,0.15035889202924727,0.309442630914944,0.044953115561456154,0.6101190476190476,NEUTRAL,0.37849242289231394,MODERATE,0.7221825120860713,-0.3963975992758893,0.30334269701391675,0.699740296289806,0.8392857142857143,168
