as_of_date,run_date,variant,feature_anchor_date,forecast_horizon_months,mature_on_date,is_horizon_mature,probability_actionable_sell,stance,confidence_tier,benchmark_count,actual_actionable_sell,actual_basket_relative_return
2026-04-18,2026-04-18,ta_minimal_plus_vwo_pct_b,2026-03-31,6,2026-09-30,False,0.4084309259760721,NEUTRAL,LOW,10,,
2026-04-18,2026-04-18,ta_minimal_replacement,2026-03-31,6,2026-09-30,False,0.3960289426567018,NEUTRAL,MODERATE,10,,
2026-04-20,2026-04-20,ta_minimal_plus_vwo_pct_b,2026-03-31,6,2026-09-30,False,0.4075705147764442,NEUTRAL,LOW,10,,
2026-04-20,2026-04-20,ta_minimal_replacement,2026-03-31,6,2026-09-30,False,0.3952366261473678,NEUTRAL,MODERATE,10,,
2026-04-21,2026-04-21,ta_minimal_plus_vwo_pct_b,2026-03-31,6,2026-09-30,False,0.4472348201213579,NEUTRAL,LOW,10,,
2026-04-21,2026-04-21,ta_minimal_replacement,2026-03-31,6,2026-09-30,False,0.4225663059988278,NEUTRAL,LOW,10,,
2026-04-22,2026-04-22,ta_minimal_plus_vwo_pct_b,2026-03-31,6,2026-09-30,False,0.4253461345280832,NEUTRAL,LOW,10,,
2026-04-22,2026-04-22,ta_minimal_replacement,2026-03-31,6,2026-09-30,False,0.4113444315440011,NEUTRAL,LOW,10,,
2026-05-20,2026-05-20,ta_minimal_plus_vwo_pct_b,2026-04-30,6,2026-10-30,False,0.46014435524139474,NEUTRAL,LOW,10,,
2026-05-20,2026-05-20,ta_minimal_replacement,2026-04-30,6,2026-10-30,False,0.44362594821463625,NEUTRAL,LOW,10,,
