event_date,decline_pct,adj_price,pgr_3m,spx_3m,rel_3m,voo_3m,relvoo_3m,pgr_6m,spx_6m,rel_6m,voo_6m,relvoo_6m,pgr_12m,spx_12m,rel_12m,voo_12m,relvoo_12m
2000-02-11,-10.37,54.0,24.92,,,,,37.07,,,,,87.7,,,,
2000-03-10,-9.95,49.75,66.33,,,,,51.0,,,,,97.59,,,,
2000-04-20,-12.27,61.63,27.56,,,,,42.83,,,,,83.92,,,,
2000-06-09,-11.21,82.69,-9.21,,,,,33.25,,,,,63.25,,,,
2000-07-21,-19.81,63.0,39.62,,,,,37.72,,,,,103.93,,,,
2000-10-13,-11.9,74.0,13.6,,,,,27.18,,,,,85.47,,,,
2000-12-15,-11.36,97.5,0.58,,,,,35.45,,,,,51.52,,,,
2001-01-05,-13.24,89.88,8.05,,,,,50.61,,,,,61.69,,,,
2003-07-18,-9.87,199.92,10.66,6.16,4.5,,,26.13,17.22,8.91,,,18.03,14.18,3.86,,
2007-08-31,-11.14,244.08,-9.54,0.93,-10.46,,,-9.19,-8.31,-0.88,,,-8.49,-9.92,1.43,,
2008-03-14,-11.35,185.64,35.04,7.17,27.87,,,11.89,-0.65,12.55,,,-20.43,-39.65,19.22,,
2008-10-10,-21.76,156.6,11.65,0.4,11.25,,,12.87,-1.9,14.77,,,25.06,25.65,-0.6,,
2008-10-24,-9.45,147.12,3.02,-3.76,6.78,,,26.1,1.98,24.12,,,34.5,29.47,5.03,,
2008-11-07,-12.82,149.28,5.23,-5.38,10.61,,,22.91,-2.76,25.67,,,29.66,19.86,9.8,,
2009-01-23,-10.74,151.56,25.34,6.33,19.0,,,17.58,15.96,1.62,,,33.73,37.27,-3.55,,
2009-03-06,-10.8,123.84,60.66,40.17,20.49,,,61.72,52.69,9.04,,,69.43,74.61,-5.18,,
2018-11-16,-9.36,796.08,11.52,2.49,9.03,1.93,9.59,15.08,6.5,8.57,6.34,8.74,14.54,15.41,-0.87,16.28,-1.75
2020-02-28,-10.19,877.92,2.27,-0.26,2.52,0.36,1.91,28.38,19.27,9.11,19.68,8.7,23.4,35.39,-11.99,30.96,-7.57
2020-03-20,-12.54,819.36,18.77,37.09,-18.32,35.22,-16.45,42.22,48.23,-6.01,45.48,-3.25,39.89,81.4,-41.51,72.78,-32.89
2020-05-01,-8.07,914.16,18.74,17.24,1.5,16.1,2.64,20.92,18.76,2.16,16.49,4.42,38.86,55.53,-16.67,50.16,-11.3
2023-07-14,-11.02,1401.48,32.77,-4.31,37.08,-3.6,36.37,44.72,6.71,38.01,6.95,37.77,83.86,24.93,58.93,26.5,57.36
