signal,target,kind,horizon,n_obs,n_independent,ic,ic_lo90,ic_hi90,slope_per_sd,nw_t,r2,first_date,last_date
bp,abs_6m,abs,6,258,43.000000,0.047434,-0.149785,0.249333,0.000740,0.040801,0.000029,2004-09-30,2026-02-27
bp,rel_6m,rel,6,258,43.000000,-0.000484,-0.180321,0.197127,0.005484,0.315064,0.001823,2004-09-30,2026-02-27
bp,abs_12m,abs,12,252,21.000000,-0.004690,-0.295983,0.255087,-0.004382,-0.115306,0.000503,2004-09-30,2025-08-29
bp,rel_12m,rel,12,252,21.000000,-0.010912,-0.276380,0.210088,0.013283,0.386057,0.004864,2004-09-30,2025-08-29
bp,abs_24m,abs,24,240,10.000000,-0.096912,-0.469193,0.200863,-0.021977,-0.437426,0.005737,2004-09-30,2024-08-30
bp,rel_24m,rel,24,240,10.000000,-0.033183,-0.491401,0.214731,0.013227,0.275129,0.002977,2004-09-30,2024-08-30
bp,abs_36m,abs,36,228,6.333333,-0.056448,-0.406482,0.424643,0.019347,0.242056,0.002650,2004-09-30,2023-08-31
bp,rel_36m,rel,36,228,6.333333,-0.027958,-0.505215,0.313892,0.012404,0.197136,0.001902,2004-09-30,2023-08-31
ep,abs_6m,abs,6,247,41.166667,-0.247849,-0.408700,-0.055293,-0.036830,-2.780494,0.069410,2005-08-31,2026-02-27
ep,rel_6m,rel,6,247,41.166667,-0.195077,-0.368388,0.004172,-0.018249,-1.250818,0.019823,2005-08-31,2026-02-27
ep,abs_12m,abs,12,241,20.083333,-0.399366,-0.611204,-0.188337,-0.080178,-2.899959,0.163195,2005-08-31,2025-08-29
ep,rel_12m,rel,12,241,20.083333,-0.176360,-0.414358,0.044253,-0.026452,-1.189500,0.018690,2005-08-31,2025-08-29
ep,abs_24m,abs,24,229,9.541667,-0.391680,-0.644956,-0.081288,-0.117316,-2.454362,0.162977,2005-08-31,2024-08-30
ep,rel_24m,rel,24,229,9.541667,-0.042233,-0.387885,0.304371,-0.011025,-0.337401,0.002154,2005-08-31,2024-08-30
ep,abs_36m,abs,36,217,6.027778,-0.220791,-0.420710,0.093253,-0.056535,-1.290638,0.024091,2005-08-31,2023-08-31
ep,rel_36m,rel,36,217,6.027778,0.042242,-0.331526,0.332386,0.032417,1.053912,0.014561,2005-08-31,2023-08-31
bp_z60,abs_6m,abs,6,223,37.166667,-0.065319,-0.225638,0.168682,-0.011346,-0.702781,0.006726,2007-08-31,2026-02-27
bp_z60,rel_6m,rel,6,223,37.166667,-0.084568,-0.249435,0.117510,-0.004761,-0.377348,0.001419,2007-08-31,2026-02-27
bp_z60,abs_12m,abs,12,217,18.083333,-0.176890,-0.367899,0.184895,-0.038695,-1.284261,0.043307,2007-08-31,2025-08-29
bp_z60,rel_12m,rel,12,217,18.083333,-0.136271,-0.364910,0.095736,-0.015850,-0.785034,0.007620,2007-08-31,2025-08-29
bp_z60,abs_24m,abs,24,205,8.541667,-0.391544,-0.543414,-0.083919,-0.082438,-3.002930,0.154168,2007-08-31,2024-08-30
bp_z60,rel_24m,rel,24,205,8.541667,-0.285938,-0.532160,-0.002677,-0.055480,-2.031152,0.068908,2007-08-31,2024-08-30
bp_z60,abs_36m,abs,36,193,5.361111,-0.423031,-0.520343,0.179114,-0.090574,-2.868164,0.150881,2007-08-31,2023-08-31
bp_z60,rel_36m,rel,36,193,5.361111,-0.308968,-0.566174,0.294883,-0.068978,-1.390143,0.072744,2007-08-31,2023-08-31
ep_z60,abs_6m,abs,6,212,35.333333,-0.188434,-0.353521,0.000503,-0.022152,-1.749425,0.028890,2008-07-31,2026-02-27
ep_z60,rel_6m,rel,6,212,35.333333,-0.275091,-0.437372,-0.037397,-0.031439,-2.255214,0.060076,2008-07-31,2026-02-27
ep_z60,abs_12m,abs,12,206,17.166667,-0.352633,-0.537034,-0.114071,-0.053602,-2.286238,0.107445,2008-07-31,2025-08-29
