signal,target,kind,horizon,n_obs,n_independent,ic,ic_lo90,ic_hi90,slope_per_sd,nw_t,r2,first_date,last_date,period
bp,abs_6m,abs,6,124,20.666667,0.492790,0.211146,0.748490,0.047379,1.706510,0.108853,2004-09-30,2014-12-31,2004-2014
bp,rel_6m,rel,6,124,20.666667,0.265838,-0.037842,0.580613,0.020692,1.002525,0.042786,2004-09-30,2014-12-31,2004-2014
bp,abs_12m,abs,12,124,10.333333,0.550854,0.393068,0.816472,0.075756,1.897668,0.177901,2004-09-30,2014-12-31,2004-2014
bp,rel_12m,rel,12,124,10.333333,0.255603,-0.063019,0.659343,0.049342,1.378481,0.110454,2004-09-30,2014-12-31,2004-2014
bp,abs_24m,abs,24,124,5.166667,0.704900,0.371009,0.816949,0.169734,5.360832,0.431236,2004-09-30,2014-12-31,2004-2014
bp,rel_24m,rel,24,124,5.166667,0.314543,-0.334841,0.667312,0.112487,2.943291,0.351347,2004-09-30,2014-12-31,2004-2014
bp,abs_36m,abs,36,124,3.444444,0.803304,0.565894,0.882140,0.289214,8.998682,0.704441,2004-09-30,2014-12-31,2004-2014
bp,rel_36m,rel,36,124,3.444444,0.326842,-0.337083,0.584962,0.110169,2.486128,0.283751,2004-09-30,2014-12-31,2004-2014
ep,abs_6m,abs,6,113,18.833333,-0.077251,-0.332428,0.213138,-0.034280,-2.751347,0.056327,2005-08-31,2014-12-31,2004-2014
ep,rel_6m,rel,6,113,18.833333,0.171668,-0.085519,0.415169,0.006307,0.523969,0.004184,2005-08-31,2014-12-31,2004-2014
ep,abs_12m,abs,12,113,9.416667,-0.319366,-0.620767,0.026659,-0.078548,-4.129314,0.188197,2005-08-31,2014-12-31,2004-2014
ep,rel_12m,rel,12,113,9.416667,0.210310,-0.094307,0.480633,0.005957,0.289964,0.001591,2005-08-31,2014-12-31,2004-2014
ep,abs_24m,abs,24,113,4.708333,-0.209520,-0.640486,0.198386,-0.097939,-2.366876,0.133681,2005-08-31,2014-12-31,2004-2014
ep,rel_24m,rel,24,113,4.708333,0.461200,0.271652,0.713557,0.031423,1.179831,0.028169,2005-08-31,2014-12-31,2004-2014
