model,target,kind,horizon,n_test,oos_r2,oos_ic,first_test
bp,abs_6m,abs,6,192,-0.162315,-0.006819,2010-03-31
bp,rel_6m,rel,6,192,-0.071019,-0.115141,2010-03-31
bp,abs_12m,abs,12,180,-0.243848,0.072796,2010-09-30
bp,rel_12m,rel,12,180,-0.192252,-0.305481,2010-09-30
bp,abs_24m,abs,24,156,-0.502721,-0.025781,2011-09-30
bp,rel_24m,rel,24,156,-0.435186,-0.108473,2011-09-30
bp,abs_36m,abs,36,132,-0.908911,0.207797,2012-09-28
bp,rel_36m,rel,36,132,-0.243483,0.247458,2012-09-28
ep,abs_6m,abs,6,180,0.024570,0.141891,2011-03-31
ep,rel_6m,rel,6,180,0.018829,0.076552,2011-03-31
ep,abs_12m,abs,12,168,0.044051,0.200067,2011-09-30
ep,rel_12m,rel,12,168,0.001651,0.032124,2011-09-30
ep,abs_24m,abs,24,144,0.107927,0.379033,2012-09-28
ep,rel_24m,rel,24,144,-0.013897,-0.006036,2012-09-28
ep,abs_36m,abs,36,120,0.001305,-0.143114,2013-09-30
ep,rel_36m,rel,36,120,-0.004402,-0.184089,2013-09-30
bp_z60,abs_6m,abs,6,156,-1.473202,-0.015204,2013-03-29
bp_z60,rel_6m,rel,6,156,-0.149609,-0.032185,2013-03-29
bp_z60,abs_12m,abs,12,144,-0.253438,-0.066446,2013-09-30
bp_z60,rel_12m,rel,12,144,-0.201835,-0.258974,2013-09-30
bp_z60,abs_24m,abs,24,120,-0.381580,-0.114084,2014-09-30
bp_z60,rel_24m,rel,24,120,-0.235889,-0.383999,2014-09-30
bp_z60,abs_36m,abs,36,96,-0.702043,-0.410743,2015-09-30
bp_z60,rel_36m,rel,36,96,-0.271783,-0.519072,2015-09-30
ep_z60,abs_6m,abs,6,144,-0.014226,0.036271,2014-03-31
ep_z60,rel_6m,rel,6,144,0.051679,0.132851,2014-03-31
ep_z60,abs_12m,abs,12,132,0.022837,0.294532,2014-09-30
ep_z60,rel_12m,rel,12,132,0.054995,0.117723,2014-09-30
ep_z60,abs_24m,abs,24,108,0.057492,0.413301,2015-09-30
ep_z60,rel_24m,rel,24,108,-0.076557,-0.057208,2015-09-30
ep_z60,abs_36m,abs,36,84,-0.177754,-0.075529,2016-09-30
ep_z60,rel_36m,rel,36,84,-0.243453,-0.334535,2016-09-30
pb_roe_adj,abs_6m,abs,6,120,-0.350101,-0.236218,2016-03-31
pb_roe_adj,rel_6m,rel,6,120,-0.154371,-0.008584,2016-03-31
pb_roe_adj,abs_12m,abs,12,108,-0.240724,-0.335553,2016-09-30
pb_roe_adj,rel_12m,rel,12,108,-0.183224,-0.208608,2016-09-30
pb_roe_adj,abs_24m,abs,24,84,-0.251692,0.125220,2017-09-29
pb_roe_adj,rel_24m,rel,24,84,-0.504416,-0.309730,2017-09-29
pb_roe_adj,abs_36m,abs,36,60,-0.120039,0.124757,2018-09-28
pb_roe_adj,rel_36m,rel,36,60,-1.096011,-0.431731,2018-09-28
bp+ep,abs_6m,abs,6,180,-0.323462,0.085807,2011-03-31
bp+ep,rel_6m,rel,6,180,-0.162205,-0.031386,2011-03-31
bp+ep,abs_12m,abs,12,168,-0.358984,0.138876,2011-09-30
bp+ep,rel_12m,rel,12,168,-0.335122,-0.161651,2011-09-30
bp+ep,abs_24m,abs,24,144,-0.758109,0.282148,2012-09-28
bp+ep,rel_24m,rel,24,144,-0.403221,0.035696,2012-09-28
bp+ep,abs_36m,abs,36,120,-1.427285,0.313175,2013-09-30
bp+ep,rel_36m,rel,36,120,-0.153506,0.315897,2013-09-30
bp_z60+ep_z60,abs_6m,abs,6,144,-0.433786,-0.062816,2014-03-31
bp_z60+ep_z60,rel_6m,rel,6,144,-0.154792,0.007383,2014-03-31
bp_z60+ep_z60,abs_12m,abs,12,132,-0.253406,0.102216,2014-09-30
bp_z60+ep_z60,rel_12m,rel,12,132,-0.121018,-0.014365,2014-09-30
bp_z60+ep_z60,abs_24m,abs,24,108,-0.238140,0.106996,2015-09-30
bp_z60+ep_z60,rel_24m,rel,24,108,-0.192654,-0.200615,2015-09-30
bp_z60+ep_z60,abs_36m,abs,36,84,-0.540489,-0.203037,2016-09-30
bp_z60+ep_z60,rel_36m,rel,36,84,-0.244313,-0.569525,2016-09-30
pb_roe_adj+ep,abs_6m,abs,6,120,-0.445951,-0.067880,2016-03-31
pb_roe_adj+ep,rel_6m,rel,6,120,-0.171400,0.012723,2016-03-31
pb_roe_adj+ep,abs_12m,abs,12,108,-0.356208,0.103575,2016-09-30
pb_roe_adj+ep,rel_12m,rel,12,108,-0.298832,-0.114417,2016-09-30
pb_roe_adj+ep,abs_24m,abs,24,84,-0.366599,0.370031,2017-09-29
pb_roe_adj+ep,rel_24m,rel,24,84,-1.165991,-0.273950,2017-09-29
pb_roe_adj+ep,abs_36m,abs,36,60,-1.113592,-0.207724,2018-09-28
pb_roe_adj+ep,rel_36m,rel,36,60,-2.520972,-0.688302,2018-09-28
