window_start,window_end,signal,target,n_obs,ic
2005-01-01,2011-12-31,bp,abs_12m,84,0.547575
2005-01-01,2011-12-31,bp,rel_12m,84,0.300840
2005-01-01,2011-12-31,bp,abs_24m,84,0.713435
2005-01-01,2011-12-31,bp,rel_24m,84,0.407472
2005-01-01,2011-12-31,ep,abs_12m,77,-0.262527
2005-01-01,2011-12-31,ep,rel_12m,77,0.260503
2005-01-01,2011-12-31,ep,abs_24m,77,-0.198565
2005-01-01,2011-12-31,ep,rel_24m,77,0.492770
2005-01-01,2011-12-31,bp_z60,abs_12m,53,0.511611
2005-01-01,2011-12-31,bp_z60,rel_12m,53,0.085389
2005-01-01,2011-12-31,bp_z60,abs_24m,53,0.394694
2005-01-01,2011-12-31,bp_z60,rel_24m,53,-0.017336
2005-01-01,2011-12-31,ep_z60,abs_12m,42,-0.162142
2005-01-01,2011-12-31,ep_z60,rel_12m,42,-0.108500
2005-01-01,2011-12-31,ep_z60,abs_24m,42,-0.195365
2005-01-01,2011-12-31,ep_z60,rel_24m,42,0.105259
2005-01-01,2011-12-31,ep_6m,abs_12m,83,0.030645
2005-01-01,2011-12-31,ep_6m,rel_12m,83,0.176210
2005-01-01,2011-12-31,ep_6m,abs_24m,83,-0.087969
2005-01-01,2011-12-31,ep_6m,rel_24m,83,0.234394
2005-01-01,2011-12-31,ep_3m,abs_12m,84,0.205246
2005-01-01,2011-12-31,ep_3m,rel_12m,84,0.258308
2005-01-01,2011-12-31,ep_3m,abs_24m,84,0.008171
2005-01-01,2011-12-31,ep_3m,rel_24m,84,0.088752
2005-01-01,2011-12-31,ep_norm,abs_12m,41,0.387631
2005-01-01,2011-12-31,ep_norm,rel_12m,41,0.003659
2005-01-01,2011-12-31,ep_norm,abs_24m,41,0.327352
2005-01-01,2011-12-31,ep_norm,rel_24m,41,0.182230
2005-01-01,2011-12-31,roe_gap,abs_12m,41,-0.323171
2005-01-01,2011-12-31,roe_gap,rel_12m,41,-0.109930
2005-01-01,2011-12-31,roe_gap,abs_24m,41,-0.423693
2005-01-01,2011-12-31,roe_gap,rel_24m,41,0.055401
2005-01-01,2011-12-31,ep_rel_mkt,abs_12m,39,-0.192510
2005-01-01,2011-12-31,ep_rel_mkt,rel_12m,39,0.678745
2005-01-01,2011-12-31,ep_rel_mkt,abs_24m,39,-0.432389
2005-01-01,2011-12-31,ep_rel_mkt,rel_24m,39,0.603846
2006-01-01,2012-12-31,bp,abs_12m,84,0.748628
2006-01-01,2012-12-31,bp,rel_12m,84,0.268138
2006-01-01,2012-12-31,bp,abs_24m,84,0.714873
2006-01-01,2012-12-31,bp,rel_24m,84,-0.008505
2006-01-01,2012-12-31,ep,abs_12m,84,-0.454774
2006-01-01,2012-12-31,ep,rel_12m,84,0.095677
2006-01-01,2012-12-31,ep,abs_24m,84,-0.351746
2006-01-01,2012-12-31,ep,rel_24m,84,0.492032
2006-01-01,2012-12-31,bp_z60,abs_12m,65,0.277185
2006-01-01,2012-12-31,bp_z60,rel_12m,65,0.121198
2006-01-01,2012-12-31,bp_z60,abs_24m,65,0.321198
2006-01-01,2012-12-31,bp_z60,rel_24m,65,0.264117
2006-01-01,2012-12-31,ep_z60,abs_12m,54,-0.289499
2006-01-01,2012-12-31,ep_z60,rel_12m,54,-0.198247
2006-01-01,2012-12-31,ep_z60,abs_24m,54,-0.205870
2006-01-01,2012-12-31,ep_z60,rel_24m,54,0.133600
2006-01-01,2012-12-31,pb_roe_adj,abs_12m,29,-0.163547
2006-01-01,2012-12-31,pb_roe_adj,rel_12m,29,-0.258621
2006-01-01,2012-12-31,pb_roe_adj,abs_24m,29,0.422167
2006-01-01,2012-12-31,pb_roe_adj,rel_24m,29,0.446798
2006-01-01,2012-12-31,ep_6m,abs_12m,84,-0.250967
