date,period,bvps,ttm_eps,eps_6m,eps_3m,roe,price,pb,pe,bp,ep,bp_z60,ep_z60,pb_roe_adj,ep_6m,ep_3m,roe_avg60,ep_norm,roe_gap,abs_1m,rel_1m,abs_3m,rel_3m,abs_6m,rel_6m,abs_12m,rel_12m,abs_24m,rel_24m,abs_36m,rel_36m,sp500_pe,gs10,ep_rel_mkt
2004-08-31,,,,,,,,,,,,,,,,,,,,0.030248,0.021481,0.128580,0.047078,0.082199,-0.028940,0.179254,0.053175,0.166273,-0.049618,0.094110,-0.273547,,0.045000,
2004-09-30,2004-08-31,6.940000,,,,,20.807500,2.998199,,-1.098012,,,,,,,,,,0.116888,0.094808,0.027931,-0.072578,0.068698,-0.004443,0.231433,0.089839,0.167421,-0.071995,0.017060,-0.379557,,0.042800,
2004-10-29,2004-09-30,7.062500,,,,,23.387500,3.311504,,-1.197403,,,,,,,,,,-0.018557,-0.069212,-0.124893,-0.169409,-0.024015,-0.058128,0.217659,0.126479,0.027449,-0.225233,-0.152179,-0.534687,,0.041300,
2004-11-30,2004-10-31,6.017500,,,1.690000,,22.957500,3.815123,,-1.338973,,,,,,0.073614,,,,-0.070401,-0.098174,-0.046381,-0.076018,0.037329,0.013054,0.279436,0.176392,0.000359,-0.224245,-0.134709,-0.430080,,0.041000,
2004-12-31,2004-11-30,6.117500,,,1.700000,,21.210000,3.467103,,-1.243319,,,,,,0.080151,,,,-0.027484,0.007952,0.049218,0.078111,0.164249,0.168930,0.320720,0.259650,0.135205,-0.071643,-0.026932,-0.290975,,0.041900,
2005-01-31,2004-12-31,6.432500,,,2.040000,,20.635000,3.207928,,-1.165625,,,,,,0.098861,,,,0.059954,0.024179,0.100877,0.111282,0.189429,0.111360,0.242539,0.110430,0.129528,-0.118020,-0.023968,-0.218985,,0.042300,
2005-02-28,2005-01-31,6.545000,,1.905000,2.120000,,21.910000,3.347594,,-1.208242,,,,,0.086947,0.096759,,,,0.016748,0.045979,0.083710,0.089072,0.097055,0.082116,0.210551,0.108911,0.063150,-0.176675,-0.055434,-0.236206,,0.042200,
2005-03-31,2005-01-31,6.545000,,1.905000,2.120000,,22.272500,3.402979,,-1.224651,,,,,0.085531,0.095185,,,,0.024175,0.041123,0.115031,0.090819,0.162735,0.094281,0.158383,0.014261,-0.018365,-0.267300,-0.239669,-0.424706,,0.041700,
2005-04-29,2005-01-31,6.545000,,1.905000,2.120000,,22.817500,3.486249,,-1.248826,,,,,0.083489,0.092911,,,,0.042788,0.001969,0.088552,0.000078,0.241675,0.184607,0.174347,0.003759,0.012733,-0.301446,-0.108620,-0.371978,,0.045000,
2005-05-31,2005-04-30,6.797500,,2.095000,2.070000,,23.815000,3.503494,,-1.253761,,,,,0.087970,0.086920,,,,0.048068,0.047726,0.013345,-0.006956,0.242106,0.163339,0.132204,0.028671,-0.044029,-0.330970,-0.077990,-0.311866,,0.043400,
2005-06-30,2005-05-31,6.967500,,2.180000,2.070000,,24.980000,3.585217,,-1.276819,,,,,0.087270,0.082866,,,,-0.002304,-0.049617,0.047704,0.003462,0.156471,0.090721,0.029910,-0.068055,-0.041090,-0.324008,-0.162610,-0.313439,,0.041400,
2005-07-29,2005-06-30,7.070000,,2.035000,2.000000,,24.922500,3.525106,,-1.259911,,,,,0.081653,0.080249,,,,-0.032419,-0.005065,0.153123,0.184528,0.053110,-0.000930,-0.015992,-0.065536,-0.172735,-0.371452,-0.173317,-0.259238,,0.040000,
2005-08-31,2005-07-31,7.200000,1.965000,2.025000,1.980000,,24.127500,3.351042,12.278626,-1.209271,0.081442,,,,0.083929,0.082064,,,,0.082427,0.058145,0.228761,0.170295,0.113496,0.026796,-0.012981,-0.102793,-0.085144,-0.326722,-0.173915,-0.310993,,0.041800,
2005-09-30,2005-08-31,7.300000,1.922500,1.850000,1.630000,0.270014,26.192500,3.588014,13.624187,-1.277599,0.073399,,,,0.070631,0.062232,,,,0.103115,0.131448,0.108767,0.087258,-0.007041,-0.082170,-0.064011,-0.161834,-0.214372,-0.469396,-0.318897,-0.376402,,0.042600,
2005-10-31,2005-09-30,7.370000,1.915000,1.775000,1.550000,0.265373,29.037500,3.939959,15.163185,-1.371170,0.065949,,,,0.061128,0.053379,,,,0.043219,-0.019298,-0.100013,-0.185458,-0.067328,-0.180848,-0.190210,-0.351712,-0.369839,-0.661166,-0.617445,-0.469236,,0.042000,
2005-11-30,2005-10-31,7.372500,1.845000,1.595000,1.210000,0.275579,30.320000,4.112581,16.433604,-1.414051,0.060851,,,,0.052606,0.039908,,,,-0.037568,-0.024892,-0.115265,-0.143499,-0.109902,-0.134668,-0.279077,-0.400638,-0.414144,-0.606472,-0.609441,-0.315170,,0.044600,
2005-12-30,2005-11-30,7.572500,1.835000,1.490000,1.350000,0.268079,29.195000,3.855398,15.910082,-1.349474,0.062853,,,,0.051036,0.046241,,,,-0.105665,-0.141268,-0.115807,-0.169428,-0.126560,-0.158776,-0.185515,-0.331293,-0.347651,-0.550625,-0.635791,-0.339392,,0.045400,
2006-01-31,2005-12-31,7.740000,1.767500,1.500000,1.450000,0.249427,26.267500,3.393734,14.861386,-1.221931,0.067288,,,,0.057105,0.055201,,,,0.027967,0.022661,0.032686,0.004610,-0.069102,-0.064606,-0.113011,-0.228451,-0.266507,-0.329416,-0.678262,-0.294627,,0.044700,
2006-02-28,2006-01-31,7.902500,1.777500,1.530000,1.850000,0.246063,27.012500,3.418222,15.196906,-1.229121,0.065803,,,,0.056640,0.068487,,,,-0.038110,-0.050821,0.005363,0.008831,-0.126477,-0.129589,-0.147401,-0.285587,-0.265985,-0.345118,-0.755143,-0.254989,,0.044200,
2006-03-31,2006-02-28,8.025000,1.780000,1.710000,2.070000,0.243128,26.065000,3.247975,14.643258,-1.178032,0.068291,,,,0.065605,0.079417,,,,0.040139,0.030622,-0.013442,0.008503,-0.059660,-0.081813,-0.176748,-0.281561,-0.398053,-0.438966,-0.570647,-0.163923,,0.045700,
2006-04-28,2006-03-31,8.060000,1.810000,1.845000,2.240000,0.245299,27.132500,3.366315,14.990331,-1.213819,0.066710,,,,0.068000,0.082558,,,,0.000645,0.026882,-0.101788,-0.069216,-0.122883,-0.170864,-0.161615,-0.305205,-0.282967,-0.375737,-0.470021,-0.120146,,0.047200,
2006-05-31,2006-04-30,8.215000,1.827500,2.060000,2.270000,0.243464,27.150000,3.304930,14.856361,-1.195415,0.067311,,,,0.075875,0.083610,,,,-0.054226,-0.049000,-0.131840,-0.138420,-0.169174,-0.265970,-0.176233,-0.359641,-0.210194,-0.340537,-0.428241,-0.168782,,0.049900,
2006-06-30,2006-05-31,8.240000,1.827500,2.165000,2.260000,0.240342,25.710000,3.120146,14.068399,-1.137880,0.071081,,,,0.084208,0.087904,,,,-0.048207,-0.047098,-0.046218,-0.090316,-0.058954,-0.172517,-0.071000,-0.255953,-0.192521,-0.245384,-0.443318,-0.189771,,0.051100,
2006-07-31,2006-06-30,8.280000,1.825000,2.150000,2.060000,0.237785,24.500000,2.958937,13.424658,-1.084830,0.074490,,,,0.087755,0.084082,,,,-0.029408,-0.042322,-0.021095,-0.101648,-0.043909,-0.163845,-0.156743,-0.305916,-0.157325,-0.193703,-0.360501,-0.185401,,0.051100,
2006-08-31,2006-07-31,8.490000,1.832500,2.135000,2.000000,0.233588,23.790000,2.802120,12.982265,-1.030376,0.077028,,,,0.089744,0.084069,,,,0.031397,-0.000896,-0.037334,-0.127550,-0.020924,-0.155998,-0.072163,-0.223929,-0.160934,-0.208200,-0.265272,-0.123321,,0.050900,
2006-09-29,2006-08-31,8.660000,1.920000,2.130000,2.000000,0.240602,24.540000,2.833718,12.781250,-1.041590,0.078240,,,,0.086797,0.081500,,,,-0.023084,-0.058430,-0.012737,-0.082201,-0.103885,-0.196613,-0.150361,-0.307562,-0.254886,-0.214568,-0.316087,-0.159520,,0.048800,
2006-10-31,2006-09-30,8.810000,1.967500,2.090000,2.120000,0.243201,23.980000,2.721907,12.188056,-1.001333,0.082048,,,,0.087156,0.088407,,,,-0.045647,-0.068224,-0.022814,-0.062197,-0.038732,-0.134341,-0.179628,-0.309454,-0.427235,-0.117524,-0.312805,-0.107378,,0.047200,
2006-11-30,2006-10-31,8.980000,2.040000,2.020000,2.040000,0.249503,22.910000,2.551225,11.230392,-0.936574,0.089044,,,,0.088171,0.089044,,,,0.055994,0.044453,0.016410,-0.028448,-0.007059,-0.093671,-0.135068,-0.205835,-0.330365,0.085467,-0.229743,-0.054554,,0.047300,
2006-12-29,2006-11-30,9.120000,2.112500,2.060000,2.120000,0.253108,24.220000,2.655702,11.465089,-0.976709,0.087221,,,,0.085054,0.087531,,,,-0.033161,-0.038425,-0.091149,-0.114412,-0.012046,-0.083436,-0.162137,-0.219332,-0.450276,-0.008099,-0.203705,-0.058530,,0.046000,
2007-01-31,2006-12-31,9.150000,2.145000,2.140000,2.160000,0.253996,23.430000,2.560656,10.923077,-0.940263,0.091549,,,,0.091336,0.092190,,,,-0.006423,-0.034475,-0.015918,-0.072144,-0.112834,-0.142071,-0.153496,-0.100965,-0.565251,-0.066176,-0.244878,-0.047368,,0.045600,
2007-02-28,2007-01-31,9.290000,2.137500,2.140000,2.240000,0.248655,23.280000,2.505920,10.891228,-0.918656,0.091817,,,,0.091924,0.096220,,,,-0.051565,-0.041512,-0.023469,-0.065223,-0.016894,-0.037886,-0.118584,-0.059531,-0.607742,0.030597,-0.204655,-0.012913,,0.047600,
2007-03-30,2007-02-28,9.420000,2.105000,2.080000,2.040000,0.241330,21.820000,2.316348,10.365796,-0.839992,0.096471,,,,0.095325,0.093492,,,,0.055273,0.006977,0.092306,0.034111,-0.033273,-0.107814,-0.221304,-0.157405,-0.393899,0.117637,-0.023336,0.089633,,0.047200,
2007-04-30,2007-03-31,9.410000,2.085000,2.080000,2.000000,0.238695,23.060000,2.450584,11.059952,-0.896327,0.090416,,,,0.090199,0.086730,,,,-0.013974,-0.027554,-0.096916,-0.069927,-0.140897,-0.175114,-0.121353,-0.070532,-0.308407,0.185059,-0.036936,0.099386,,0.045600,
2007-05-31,2007-04-30,9.570000,2.070000,2.120000,2.000000,0.232780,22.740000,2.376176,10.985507,-0.865492,0.091029,,,,0.093228,0.087951,,,,0.051007,0.054688,-0.027770,-0.002709,-0.128009,-0.112164,-0.033961,0.019104,-0.252008,0.190859,-0.048165,0.183848,,0.046900,
2007-06-29,2007-05-31,9.650000,2.020000,1.980000,1.920000,0.225824,23.930000,2.479793,11.846535,-0.908175,0.084413,,,,0.082741,0.080234,,,,-0.133949,-0.097061,-0.125579,-0.141925,-0.150091,-0.135896,-0.121520,0.010569,-0.372318,0.066182,-0.104290,0.138078,,0.047500,
2007-07-31,2007-06-30,9.600000,1.960000,1.780000,1.560000,0.219239,20.930000,2.180208,10.678571,-0.779420,0.093645,,,,0.085045,0.074534,,,,0.055172,0.039664,-0.043981,-0.105186,-0.040662,0.041106,-0.000582,0.112213,-0.203759,0.120515,0.037326,0.221242,,0.051000,
2007-08-31,2007-07-31,7.550000,1.940000,1.740000,1.480000,0.241895,20.340000,2.694040,10.484536,-0.991042,0.095379,0.808410,,,0.085546,0.072763,,,,-0.046801,-0.084529,-0.100239,-0.109455,-0.096379,-0.009625,-0.088771,0.015729,-0.193109,0.100608,-0.004694,0.228538,,0.050000,
2007-09-28,2007-07-31,7.550000,1.940000,1.740000,1.480000,0.241895,19.410000,2.570861,10.005155,-0.944241,0.099948,1.057725,,,0.089645,0.076249,,,,-0.052351,-0.060322,-0.024512,0.006029,-0.188032,-0.049591,-0.104525,0.092994,-0.165726,0.148042,0.111971,0.304496,,0.046700,
2007-10-31,2007-09-30,7.650000,1.860000,1.640000,1.720000,0.226002,18.420000,2.407843,9.903226,-0.878731,0.100977,1.392508,,,0.089034,0.093377,,,,-0.001086,0.035395,0.003318,0.146293,0.019544,0.104582,-0.247607,0.191930,-0.133177,0.202076,0.155851,0.319443,,0.045200,
2007-11-30,2007-10-31,7.630000,1.800000,1.480000,1.480000,0.216737,18.400000,2.411533,10.222222,-0.880263,0.097826,1.332902,,,0.080435,0.080435,,,,0.028925,0.030956,0.003859,0.099830,0.094048,0.131268,-0.195297,0.291302,-0.094675,0.151281,0.132540,0.246886,,0.045300,
2007-12-31,2007-11-30,7.470000,1.760000,1.540000,1.600000,0.212176,18.940000,2.535475,10.761364,-0.930381,0.092925,1.013362,,,0.081309,0.084477,,,,-0.024521,0.079942,-0.163520,-0.055620,0.028570,0.146466,-0.288140,0.211233,-0.043789,0.169344,0.111696,0.164386,,0.041500,
2008-01-31,2007-12-31,7.260000,1.670000,1.560000,1.400000,0.203534,18.340000,2.526171,10.982036,-0.926705,0.091058,1.009024,,,0.085060,0.076336,,,,-0.000545,-0.011067,0.016225,-0.041711,0.040080,0.071107,-0.411755,0.034789,-0.091383,0.053597,0.145689,0.080151,21.460000,0.041000,0.669930
2008-02-29,2008-01-31,7.380000,1.660000,1.580000,1.680000,0.199160,18.330000,2.483740,11.042169,-0.909765,0.090562,1.078889,,,0.086197,0.091653,,,,-0.138453,-0.124494,0.037478,-0.000294,0.007609,0.025354,-0.460124,0.108154,-0.057036,0.064644,0.184652,0.092254,21.740000,0.037400,0.677432
2008-03-31,2008-02-29,7.150000,1.600000,1.500000,1.400000,0.193120,15.960000,2.232168,9.975000,-0.802973,0.100251,1.626067,,,0.093985,0.087719,,,,0.155224,0.093851,0.192090,0.202086,0.083507,0.142585,-0.172595,0.275043,0.197969,0.247039,0.344414,0.240907,21.810000,0.037400,0.782287
2008-04-30,2008-03-31,7.010000,1.530000,1.420000,1.440000,0.186358,18.640000,2.659058,12.183007,-0.977972,0.082082,0.618916,,,0.076180,0.077253,,,,0.073418,0.062082,0.023855,0.112818,-0.418968,0.043294,-0.187054,0.255591,0.084417,0.169918,0.239189,0.156056,23.880000,0.035100,0.672999
2008-05-30,2008-04-30,7.250000,1.500000,1.520000,1.360000,0.178359,20.060000,2.766897,13.373333,-1.017726,0.074776,0.385794,,,0.075773,0.067797,,,,-0.036552,0.046153,-0.082580,-0.006084,-0.289345,0.160034,-0.218047,0.171755,-0.014204,0.164744,0.149226,0.098874,25.810000,0.036800,0.657499
2008-06-30,2008-05-31,7.410000,1.510000,1.480000,1.560000,0.177022,19.340000,2.609987,12.807947,-0.959345,0.078077,0.712308,,,0.076525,0.080662,,,,-0.013011,0.004583,-0.108583,-0.059501,-0.316710,0.064768,-0.250797,0.055613,0.017231,0.127509,0.137359,0.051602,26.110000,0.038800,0.712253
2008-07-31,2008-06-30,7.120000,1.460000,1.360000,1.280000,0.174641,19.090000,2.681180,13.075342,-0.986257,0.076480,0.547823,-0.474626,,0.071241,0.067051,,,,-0.033017,-0.056820,-0.291005,-0.025470,-0.451835,-0.036318,-0.203177,0.008302,0.037908,0.109028,0.106625,-0.013773,25.370000,0.041000,0.662839
