date,predicted,realized,prob_sell,live_hold_fraction,shadow_hold_fraction,live_sell_pct,shadow_sell_pct,live_recommendation_mode,shadow_recommendation_mode,would_change,disagreement_label,live_policy_return,shadow_policy_return,shadow_minus_live,shadow_beat_live,monitor_month_number,cumulative_shadow_minus_live,expanding_shadow_minus_live_mean,expanding_agreement_rate,cumulative_disagreement_months,selected_variant,selected_gate_style,selected_threshold,selected_promotion_eligible
2010-10-29,-0.005994901748442733,-0.03827185633315544,0.06464389276193883,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,-0.01913592816657772,-0.01913592816657772,0.0,False,1,0.0,0.0,1.0,0,gemini_veto_0.50,veto_regression_sell,0.5,True
2010-11-30,-0.0033313827876563645,-0.014407016125752183,0.0686327782277942,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,-0.0072035080628760914,-0.0072035080628760914,0.0,False,2,0.0,0.0,1.0,0,gemini_veto_0.50,veto_regression_sell,0.5,True
2010-12-31,-0.004633650004887829,0.0014268098072486935,0.041468535854201974,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,0.0007134049036243467,0.0007134049036243467,0.0,False,3,0.0,0.0,1.0,0,gemini_veto_0.50,veto_regression_sell,0.5,True
2011-01-31,0.0014012979532062415,-0.034174089909221904,0.03891728327286616,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,-0.017087044954610952,-0.017087044954610952,0.0,False,4,0.0,0.0,1.0,0,gemini_veto_0.50,veto_regression_sell,0.5,True
2011-02-28,0.009354110181569626,-0.03878275804120561,0.030286693895834126,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,-0.019391379020602804,-0.019391379020602804,0.0,False,5,0.0,0.0,1.0,0,gemini_veto_0.50,veto_regression_sell,0.5,True
2011-03-31,-0.0007139962132278795,-0.01936889747077084,0.02041083174798486,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,-0.00968444873538542,-0.00968444873538542,0.0,False,6,0.0,0.0,1.0,0,gemini_veto_0.50,veto_regression_sell,0.5,True
2011-04-29,-0.03355256132893225,-0.02293314048962615,0.21876031167438398,0.0,0.5,1.0,0.5,ACTIONABLE,DEFER-TO-TAX-DEFAULT,True,veto_sell_to_defer,-0.0,-0.011466570244813075,-0.011466570244813075,False,7,-0.011466570244813075,-0.001638081463544725,0.8571428571428571,1,gemini_veto_0.50,veto_regression_sell,0.5,True
2011-05-31,-0.03474870511760918,-0.027205684252808945,0.23494183122364767,0.0,0.5,1.0,0.5,ACTIONABLE,DEFER-TO-TAX-DEFAULT,True,veto_sell_to_defer,-0.0,-0.013602842126404472,-0.013602842126404472,False,8,-0.02506941237121755,-0.0031336765464021936,0.75,2,gemini_veto_0.50,veto_regression_sell,0.5,True
2011-06-30,-0.034262026509401786,0.0012051462460519538,0.2800628135152306,0.0,0.5,1.0,0.5,ACTIONABLE,DEFER-TO-TAX-DEFAULT,True,veto_sell_to_defer,0.0,0.0006025731230259769,0.0006025731230259769,True,9,-0.024466839248191572,-0.0027185376942435078,0.6666666666666666,3,gemini_veto_0.50,veto_regression_sell,0.5,True
2011-07-29,-0.032513921410061,0.03560570898450101,0.27147281079648933,0.0,0.5,1.0,0.5,ACTIONABLE,DEFER-TO-TAX-DEFAULT,True,veto_sell_to_defer,0.0,0.017802854492250504,0.017802854492250504,True,10,-0.006663984755941068,-0.0006663984755941064,0.6,4,gemini_veto_0.50,veto_regression_sell,0.5,True
2011-08-31,-0.020113849134337974,0.04319671916152122,0.17663075359556368,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,0.02159835958076061,0.02159835958076061,0.0,False,11,-0.006663984755941068,-0.0006058167959946422,0.6363636363636364,4,gemini_veto_0.50,veto_regression_sell,0.5,True
2011-09-30,-0.013793047981457173,0.05855433521106319,0.11815914004022954,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,0.029277167605531593,0.029277167605531593,0.0,False,12,-0.006663984755941068,-0.0005553320629950887,0.6666666666666666,4,gemini_veto_0.50,veto_regression_sell,0.5,True
2011-10-31,-0.06348754949871752,0.06700458165668571,0.23363682775036876,0.0,0.5,1.0,0.5,ACTIONABLE,DEFER-TO-TAX-DEFAULT,True,veto_sell_to_defer,0.0,0.03350229082834286,0.03350229082834286,True,13,0.02683830607240179,0.0020644850824924456,0.6153846153846154,5,gemini_veto_0.50,veto_regression_sell,0.5,True
2011-11-30,-0.05926110473804433,0.12408082546643974,0.22069436504535705,0.0,0.5,1.0,0.5,ACTIONABLE,DEFER-TO-TAX-DEFAULT,True,veto_sell_to_defer,0.0,0.06204041273321987,0.06204041273321987,True,14,0.08887871880562166,0.0063484799146872615,0.5714285714285714,6,gemini_veto_0.50,veto_regression_sell,0.5,True
2011-12-30,-0.06308254316952931,0.04327243229390446,0.20994379566115856,0.0,0.5,1.0,0.5,ACTIONABLE,DEFER-TO-TAX-DEFAULT,True,veto_sell_to_defer,0.0,0.02163621614695223,0.02163621614695223,True,15,0.11051493495257389,0.007367662330171593,0.5333333333333333,7,gemini_veto_0.50,veto_regression_sell,0.5,True
2012-01-31,-0.06568760267934397,0.005136050611166058,0.32874522840394566,0.0,0.5,1.0,0.5,ACTIONABLE,DEFER-TO-TAX-DEFAULT,True,veto_sell_to_defer,0.0,0.002568025305583029,0.002568025305583029,True,16,0.11308296025815692,0.007067685016134808,0.5,8,gemini_veto_0.50,veto_regression_sell,0.5,True
2012-02-29,-0.0667723862147496,-0.007903849010026704,0.3996687370964486,0.0,0.5,1.0,0.5,ACTIONABLE,DEFER-TO-TAX-DEFAULT,True,veto_sell_to_defer,-0.0,-0.003951924505013352,-0.003951924505013352,False,17,0.10913103575314358,0.006419472691361387,0.47058823529411764,9,gemini_veto_0.50,veto_regression_sell,0.5,True
2012-03-30,-0.07483981664126393,-0.05586370934828936,0.38388688248026986,0.0,0.5,1.0,0.5,ACTIONABLE,DEFER-TO-TAX-DEFAULT,True,veto_sell_to_defer,-0.0,-0.02793185467414468,-0.02793185467414468,False,18,0.0811991810789989,0.004511065615499938,0.4444444444444444,10,gemini_veto_0.50,veto_regression_sell,0.5,True
2012-04-30,0.002971890757885404,0.024815373771021654,0.3185445549662872,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,0.012407686885510827,0.012407686885510827,0.0,False,19,0.0811991810789989,0.004273641109420994,0.47368421052631576,10,gemini_veto_0.50,veto_regression_sell,0.5,True
2012-05-31,0.0017353551615358724,-0.03464546955545981,0.2616312588865509,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,-0.017322734777729904,-0.017322734777729904,0.0,False,20,0.0811991810789989,0.0040599590539499445,0.5,10,gemini_veto_0.50,veto_regression_sell,0.5,True
2012-06-29,0.006251204901640265,-0.013464935795279935,0.23031294542917385,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,-0.006732467897639967,-0.006732467897639967,0.0,False,21,0.0811991810789989,0.0038666276704285183,0.5238095238095238,10,gemini_veto_0.50,veto_regression_sell,0.5,True
2012-07-31,0.008262662170264234,0.06697379387352102,0.20483339856620067,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,0.03348689693676051,0.03348689693676051,0.0,False,22,0.0811991810789989,0.003690871867227222,0.5454545454545454,10,gemini_veto_0.50,veto_regression_sell,0.5,True
