fold,train_start,train_end,train_obs,test_date,y_true,path_b_prob,path_a_prob,path_a_available_benchmarks,path_a_weight_sum
1,2011-02-28,2016-01-29,60,2016-10-31,0,0.35859306498284327,0.3479530109046311,6,1.0
1,2011-02-28,2016-01-29,60,2016-11-30,0,0.3664069765359787,0.3557006380908877,6,1.0
1,2011-02-28,2016-01-29,60,2016-12-30,0,0.3630315060653142,0.3414726949091231,6,1.0
1,2011-02-28,2016-01-29,60,2017-01-31,0,0.46218718893686433,0.4530471185576887,6,1.0
1,2011-02-28,2016-01-29,60,2017-02-28,0,0.46611646786172944,0.4664246928406105,6,1.0
1,2011-02-28,2016-01-29,60,2017-03-31,0,0.4765806450739154,0.47996974611686144,6,1.0
2,2011-08-31,2016-07-29,60,2017-04-28,0,0.27452863356771523,0.28454097498009395,6,1.0
2,2011-08-31,2016-07-29,60,2017-05-31,0,0.3920955852069371,0.3979251380753652,6,1.0
2,2011-08-31,2016-07-29,60,2017-06-30,0,0.30299294888548756,0.32372114974893934,6,1.0
2,2011-08-31,2016-07-29,60,2017-07-31,0,0.2872958332313369,0.31113226543856265,6,1.0
2,2011-08-31,2016-07-29,60,2017-08-31,0,0.17798765489071297,0.2036786863676558,6,1.0
2,2011-08-31,2016-07-29,60,2017-09-29,0,0.1913290796361205,0.22840330998549832,6,1.0
3,2012-02-29,2017-01-31,60,2017-10-31,0,0.12396041349360166,0.14666838696379822,6,1.0
3,2012-02-29,2017-01-31,60,2017-11-30,0,0.09174832484912805,0.11243653267259543,6,1.0
3,2012-02-29,2017-01-31,60,2017-12-29,0,0.0959406864918655,0.11877724682882165,6,1.0
3,2012-02-29,2017-01-31,60,2018-01-31,0,0.07036016513480141,0.08838793782032253,6,1.0
3,2012-02-29,2017-01-31,60,2018-02-28,0,0.06299051090433995,0.07901690787086661,6,1.0
3,2012-02-29,2017-01-31,60,2018-03-30,0,0.03640910945736127,0.05163553682360476,6,1.0
4,2012-08-31,2017-07-31,60,2018-04-30,0,0.029150398181061285,0.10980694760466897,6,1.0
4,2012-08-31,2017-07-31,60,2018-05-31,0,0.03905573500392526,0.09450486771752402,6,1.0
4,2012-08-31,2017-07-31,60,2018-06-29,0,0.03048008559030249,0.07536738287341911,6,1.0
4,2012-08-31,2017-07-31,60,2018-07-31,0,0.04155592770032629,0.07603971520184966,6,1.0
4,2012-08-31,2017-07-31,60,2018-08-31,0,0.03324630346917821,0.06806411186614596,6,1.0
4,2012-08-31,2017-07-31,60,2018-09-28,0,0.034086991232336904,0.07256623237217069,6,1.0
5,2013-02-28,2018-01-31,60,2018-10-31,0,0.0048801189746732416,0.04202117495090872,6,1.0
5,2013-02-28,2018-01-31,60,2018-11-30,0,0.002468899437201341,0.042542893186006785,6,1.0
5,2013-02-28,2018-01-31,60,2018-12-31,0,0.005115040378094939,0.03493280238887922,6,1.0
5,2013-02-28,2018-01-31,60,2019-01-31,0,0.008675562115931245,0.04030468782772323,6,1.0
5,2013-02-28,2018-01-31,60,2019-02-28,0,0.024721124202931676,0.051276169488494346,6,1.0
5,2013-02-28,2018-01-31,60,2019-03-29,0,0.009465218436871915,0.05373468135155209,6,1.0
6,2013-08-30,2018-07-31,60,2019-04-30,1,0.03284673575990269,0.05217454651744326,6,1.0
6,2013-08-30,2018-07-31,60,2019-05-31,1,0.038740841794137997,0.07567593841050285,6,1.0
6,2013-08-30,2018-07-31,60,2019-06-28,1,0.01986168553831926,0.1299275950857948,6,1.0
6,2013-08-30,2018-07-31,60,2019-07-31,1,0.03208603482100729,0.14837044469171815,6,1.0
6,2013-08-30,2018-07-31,60,2019-08-30,1,0.016196640767777864,0.21461290497039107,6,1.0
6,2013-08-30,2018-07-31,60,2019-09-30,0,0.011924525314082668,0.22324012058874917,6,1.0
7,2014-02-28,2019-01-31,60,2019-10-31,0,0.014586773017766229,0.1998563477940575,6,1.0
7,2014-02-28,2019-01-31,60,2019-11-29,0,0.021510114102729433,0.18166217936032605,6,1.0
7,2014-02-28,2019-01-31,60,2019-12-31,0,0.05250690199816782,0.1477441442079674,6,1.0
7,2014-02-28,2019-01-31,60,2020-01-31,0,0.041969167127041296,0.15186488568425752,6,1.0
7,2014-02-28,2019-01-31,60,2020-02-28,0,0.024986313731785673,0.16529501646573752,6,1.0
7,2014-02-28,2019-01-31,60,2020-03-31,1,0.01723006541720552,0.16948123301117135,6,1.0
