model_family,benchmark,model_type,experiment_mode,feature,replaced_feature,n_features,n_obs,ic,hit_rate,mae,oos_r2,nw_ic,nw_p_value,brier_score,accuracy,balanced_accuracy,precision,recall,base_rate,predicted_positive_rate,feature_group,family,baseline_ic,baseline_oos_r2,baseline_hit_rate,baseline_balanced_accuracy,baseline_brier_score,delta_ic,delta_oos_r2,delta_hit_rate,delta_balanced_accuracy,delta_brier_score
regression,VOO,ridge,baseline,__baseline__,,12,108.0,-0.0593710404222279,0.4629629629629629,0.1783600679748803,-0.7688266844464584,-0.0593710404222279,0.7037497599319523,,,,,,,,,,-0.0593710404222279,-0.7688266844464584,0.4629629629629629,,,0.0,0.0,0.0,,
regression,VOO,gbt,baseline,__baseline__,,12,108.0,0.0587771550991637,0.5925925925925926,0.1670674487643612,-1.3400112957786954,0.0587771550991637,0.7116239436977317,,,,,,,,,,0.0587771550991637,-1.3400112957786954,0.5925925925925926,,,0.0,0.0,0.0,,
classification,VOO,ridge,baseline,__baseline__,,12,108.0,,,,,,,0.3170162019691636,0.6203703703703703,0.5630136986301371,0.7162162162162162,0.726027397260274,0.6759259259259259,0.6851851851851852,,,,,,0.5630136986301371,0.3170162019691636,,,,0.0,0.0
regression,VOO,ridge,add_feature,ta_ratio_roc_6m_voo,,13,108.0,-0.0532357788638334,0.4259259259259259,0.2098977793872548,-3.112028436065728,-0.0532357788638334,0.7616752569885046,,,,,,,,ratio_momentum,momentum,-0.0593710404222279,-0.7688266844464584,0.4629629629629629,,,0.0061352615583945,-2.3432017516192696,-0.037037037037037035,,
regression,VOO,gbt,add_feature,ta_ratio_roc_6m_voo,,13,108.0,-0.0900014290641155,0.4629629629629629,0.249564102833998,-5.422573661007835,-0.0900014290641155,0.5455269956231753,,,,,,,,ratio_momentum,momentum,0.0587771550991637,-1.3400112957786954,0.5925925925925926,,,-0.14877858416327921,-4.08256236522914,-0.12962962962962965,,
classification,VOO,ridge,add_feature,ta_ratio_roc_6m_voo,,13,108.0,,,,,,,0.3741137463299057,0.5648148148148148,0.5293542074363992,0.696969696969697,0.6301369863013698,0.6759259259259259,0.6111111111111112,ratio_momentum,momentum,,,,0.5630136986301371,0.3170162019691636,,,,-0.0336594911937379,0.0570975443607421
regression,VOO,ridge,replace_mom_12m,ta_ratio_roc_6m_voo,mom_12m,12,108.0,-0.0208827536273304,0.4907407407407407,0.2039354659790805,-3.0554910244379485,-0.0208827536273304,0.9038820997847452,,,,,,,,ratio_momentum,momentum,-0.0593710404222279,-0.7688266844464584,0.4629629629629629,,,0.0384882867948975,-2.28666433999149,0.02777777777777779,,
regression,VOO,gbt,replace_mom_12m,ta_ratio_roc_6m_voo,mom_12m,12,108.0,-0.0590905626610662,0.5,0.2515826142721267,-5.775097171792927,-0.0590905626610662,0.7050210900661952,,,,,,,,ratio_momentum,momentum,0.0587771550991637,-1.3400112957786954,0.5925925925925926,,,-0.1178677177602299,-4.435085876014232,-0.09259259259259256,,
classification,VOO,ridge,replace_mom_12m,ta_ratio_roc_6m_voo,mom_12m,12,108.0,,,,,,,0.3530297306737001,0.5925925925925926,0.5424657534246575,0.704225352112676,0.684931506849315,0.6759259259259259,0.6574074074074074,ratio_momentum,momentum,,,,0.5630136986301371,0.3170162019691636,,,,-0.020547945205479534,0.0360135287045365
regression,VOO,ridge,replace_vol_63d,ta_ratio_roc_6m_voo,vol_63d,12,108.0,-0.0988024807796736,0.4537037037037037,0.2216748576986656,-3.794164060311165,-0.0988024807796736,0.5657483613643939,,,,,,,,ratio_momentum,momentum,-0.0593710404222279,-0.7688266844464584,0.4629629629629629,,,-0.0394314403574457,-3.0253373758647064,-0.00925925925925919,,
regression,VOO,gbt,replace_vol_63d,ta_ratio_roc_6m_voo,vol_63d,12,108.0,0.0112417889699042,0.5555555555555556,0.2428241609303191,-5.594467873407685,0.0112417889699042,0.9507260138691072,,,,,,,,ratio_momentum,momentum,0.0587771550991637,-1.3400112957786954,0.5925925925925926,,,-0.0475353661292595,-4.254456577628989,-0.03703703703703698,,
classification,VOO,ridge,replace_vol_63d,ta_ratio_roc_6m_voo,vol_63d,12,108.0,,,,,,,0.3273178463185913,0.6296296296296297,0.5698630136986301,0.72,0.7397260273972602,0.6759259259259259,0.6944444444444444,ratio_momentum,momentum,,,,0.5630136986301371,0.3170162019691636,,,,0.006849315068493067,0.010301644349427708
regression,VOO,ridge,replace_vix,ta_ratio_roc_6m_voo,vix,12,108.0,-0.0537788066725732,0.4537037037037037,0.2079782026979333,-3.1049725321033383,-0.0537788066725732,0.7586547639436237,,,,,,,,ratio_momentum,momentum,-0.0593710404222279,-0.7688266844464584,0.4629629629629629,,,0.0055922337496547014,-2.33614584765688,-0.00925925925925919,,
regression,VOO,gbt,replace_vix,ta_ratio_roc_6m_voo,vix,12,108.0,-0.0121468482513796,0.4722222222222222,0.2517870745408706,-5.643955130197904,-0.0121468482513796,0.9408296593647344,,,,,,,,ratio_momentum,momentum,0.0587771550991637,-1.3400112957786954,0.5925925925925926,,,-0.0709240033505433,-4.303943834419209,-0.12037037037037035,,
classification,VOO,ridge,replace_vix,ta_ratio_roc_6m_voo,vix,12,108.0,,,,,,,0.3424243142594136,0.5925925925925926,0.5796477495107633,0.7377049180327869,0.6164383561643836,0.6759259259259259,0.5648148148148148,ratio_momentum,momentum,,,,0.5630136986301371,0.3170162019691636,,,,0.016634050880626194,0.02540811229025003
regression,VOO,ridge,add_feature,ta_ratio_ema_gap_12m_voo,,13,108.0,-0.1459887393180713,0.4074074074074074,0.176267103592286,-0.6768024820764813,-0.1459887393180713,0.3877352400621419,,,,,,,,ratio_trend,trend,-0.0593710404222279,-0.7688266844464584,0.4629629629629629,,,-0.08661769889584339,0.0920242023699771,-0.055555555555555525,,
regression,VOO,gbt,add_feature,ta_ratio_ema_gap_12m_voo,,13,108.0,0.0528172284806531,0.4444444444444444,0.2497842642750259,-4.220982758376935,0.0528172284806531,0.7432961346552435,,,,,,,,ratio_trend,trend,0.0587771550991637,-1.3400112957786954,0.5925925925925926,,,-0.005959926618510601,-2.8809714625982394,-0.14814814814814814,,
