model_family,model_type,feature,experiment_mode,feature_group,family,n_benchmarks,mean_delta_ic,mean_delta_oos_r2,mean_delta_balanced_accuracy,mean_delta_brier_score,mean_delta_score,positive_benchmark_count
classification,ridge,__baseline__,baseline,,,8,,,0.0,0.0,0.0,0
classification,ridge,ta_bnd_macd_hist_norm,add_feature,benchmark_regime,momentum,8,,,-0.017920774695384653,0.011997652232457919,-0.014959213463921286,1
classification,ridge,ta_bnd_macd_hist_norm,replace_mom_12m,benchmark_regime,momentum,8,,,0.008899704695224005,-0.0208963751520995,0.014898039923661753,7
classification,ridge,ta_bnd_macd_hist_norm,replace_vix,benchmark_regime,momentum,8,,,0.0016157971862216444,-0.0057771558069926975,0.003696476496607171,6
classification,ridge,ta_bnd_macd_hist_norm,replace_vol_63d,benchmark_regime,momentum,8,,,0.0012530419022706157,-0.018170776763677125,0.00971190933297387,6
classification,ridge,ta_dbc_roc_6m,add_feature,benchmark_regime,momentum,8,,,-0.02493782942329425,0.022747483102434737,-0.02384265626286449,2
classification,ridge,ta_dbc_roc_6m,replace_mom_12m,benchmark_regime,momentum,8,,,0.0014215026818419144,-0.0023679376520962456,0.00189472016696908,6
classification,ridge,ta_dbc_roc_6m,replace_vix,benchmark_regime,momentum,8,,,-0.015401240242825055,0.006486725667888195,-0.010943982955356625,3
classification,ridge,ta_dbc_roc_6m,replace_vol_63d,benchmark_regime,momentum,8,,,-0.0061945601547218135,0.0021868041775567407,-0.004190682166139277,4
classification,ridge,ta_gld_roc_6m,add_feature,benchmark_regime,momentum,8,,,-0.03286760828790201,0.035521423017193327,-0.03419451565254767,3
classification,ridge,ta_gld_roc_6m,replace_mom_12m,benchmark_regime,momentum,8,,,-0.018230369101040554,0.010323627079655433,-0.014276998090347994,4
classification,ridge,ta_gld_roc_6m,replace_vix,benchmark_regime,momentum,8,,,-0.01579653607919241,0.013916969265548123,-0.014856752672370266,6
classification,ridge,ta_gld_roc_6m,replace_vol_63d,benchmark_regime,momentum,8,,,-0.006422978989219057,0.009530355971409842,-0.00797666748031445,5
classification,ridge,ta_peer_ratio_ema_gap_12m,add_feature,peer_relative,trend,8,,,-0.025481171287610252,0.03874193219635305,-0.03211155174198165,2
classification,ridge,ta_peer_ratio_ema_gap_12m,replace_mom_12m,peer_relative,trend,8,,,-0.011180898332447828,0.004964541251222858,-0.008072719791835343,3
classification,ridge,ta_peer_ratio_ema_gap_12m,replace_vix,peer_relative,trend,8,,,-0.003567251123875355,0.021385765792875513,-0.012476508458375434,4
classification,ridge,ta_peer_ratio_ema_gap_12m,replace_vol_63d,peer_relative,trend,8,,,-0.0019416444750112657,0.0032805135322344706,-0.002611079003622868,4
classification,ridge,ta_peer_ratio_roc_6m,add_feature,peer_relative,momentum,8,,,-0.02092124011065285,0.04470187696402403,-0.032811558537338435,1
classification,ridge,ta_peer_ratio_roc_6m,replace_mom_12m,peer_relative,momentum,8,,,-0.02078407777056282,0.008829944431637229,-0.014807011101100024,4
classification,ridge,ta_peer_ratio_roc_6m,replace_vix,peer_relative,momentum,8,,,-0.008648510998044735,0.025056008623571043,-0.016852259810807887,2
classification,ridge,ta_peer_ratio_roc_6m,replace_vol_63d,peer_relative,momentum,8,,,-0.013795248402517703,0.025924554037896185,-0.019859901220206942,2
classification,ridge,ta_peer_ratio_rsi_6m,add_feature,peer_relative,momentum,8,,,-0.01806929453264918,0.041124084417257636,-0.02959668947495341,2
classification,ridge,ta_peer_ratio_rsi_6m,replace_mom_12m,peer_relative,momentum,8,,,-0.01581514765152838,0.0010156292443489513,-0.008415388447938666,5
classification,ridge,ta_peer_ratio_rsi_6m,replace_vix,peer_relative,momentum,8,,,-0.007507551048691906,0.02162113049859896,-0.014564340773645433,4
classification,ridge,ta_peer_ratio_rsi_6m,replace_vol_63d,peer_relative,momentum,8,,,-0.007102365190462062,0.021652825300125262,-0.014377595245293662,3
classification,ridge,ta_pgr_adx_63d,add_feature,pgr_trend_strength,regime,8,,,-0.017623245091291977,0.03429746270414519,-0.02596035389771858,1
classification,ridge,ta_pgr_adx_63d,replace_mom_12m,pgr_trend_strength,regime,8,,,-0.020463911193151288,0.013095215656565618,-0.01677956342485845,4
