model_family,model_type,feature,experiment_mode,feature_group,family,n_benchmarks,mean_delta_ic,mean_delta_oos_r2,mean_delta_balanced_accuracy,mean_delta_brier_score,mean_delta_score,positive_benchmark_count,slice_type,slice_label
classification,ridge,ta_pgr_obv_detrended,replace_mom_12m,pgr_volume,volume,8,,,0.0376821852616901,-0.0292470200873387,0.0334646026745144,8.0,all_benchmarks,all
classification,ridge,ta_pgr_natr_63d,replace_vol_63d,pgr_volatility,volatility,8,,,0.0263412357867358,-0.0316465138961575,0.0289938748414466,8.0,all_benchmarks,all
classification,ridge,ta_ratio_bb_pct_b_6m_vwo,replace_vol_63d,ratio_bollinger,volatility,8,,,0.0147373690032656,-0.0292427216680533,0.0219900453356594,8.0,all_benchmarks,all
classification,ridge,ta_ratio_bb_width_6m_vde,replace_vix,ratio_bollinger,volatility,8,,,0.0387559693552479,-0.0132712361968019,0.0260136027760249,7.0,all_benchmarks,all
classification,ridge,ta_ratio_bb_width_6m_voo,replace_vix,ratio_bollinger,volatility,8,,,0.0311475061552233,-0.011710557993088,0.0214290320741556,7.0,all_benchmarks,all
classification,ridge,ta_ratio_bb_width_6m_vxus,replace_vol_63d,ratio_bollinger,volatility,8,,,0.0300887545507781,-0.0110458541570974,0.0205673043539378,7.0,all_benchmarks,all
classification,ridge,ta_pgr_natr_63d,replace_vol_63d,,,2,,,0.03604323308270675,-0.020498577797560702,,,benchmark_family,defensive_rates
classification,ridge,ta_pgr_natr_63d,replace_vol_63d,,,4,,,0.013272299609949351,-0.03231346364946255,,,benchmark_family,equity
classification,ridge,ta_pgr_natr_63d,replace_vol_63d,,,2,,,0.042777110844337746,-0.041460550488143996,,,benchmark_family,real_assets
classification,ridge,ta_pgr_obv_detrended,replace_mom_12m,,,2,,,0.05895989974937341,-0.03167839863745115,,,benchmark_family,defensive_rates
classification,ridge,ta_pgr_obv_detrended,replace_mom_12m,,,4,,,0.03658820216129858,-0.021759815355821648,,,benchmark_family,equity
classification,ridge,ta_pgr_obv_detrended,replace_mom_12m,,,2,,,0.018592436974789947,-0.04179005100026025,,,benchmark_family,real_assets
classification,ridge,ta_ratio_bb_pct_b_6m_vwo,replace_vol_63d,,,2,,,-0.0185959690893901,-0.00440987527319125,,,benchmark_family,defensive_rates
classification,ridge,ta_ratio_bb_pct_b_6m_vwo,replace_vol_63d,,,4,,,0.032672782575235926,-0.042914703508169096,,,benchmark_family,equity
classification,ridge,ta_ratio_bb_pct_b_6m_vwo,replace_vol_63d,,,2,,,0.01219987995198085,-0.02673160438268365,,,benchmark_family,real_assets
classification,ridge,ta_ratio_bb_width_6m_vde,replace_vix,,,2,,,-0.035262635756056704,0.00968067574752415,,,benchmark_family,defensive_rates
classification,ridge,ta_ratio_bb_width_6m_vde,replace_vix,,,4,,,0.08045488123838428,-0.026577347712383927,,,benchmark_family,equity
classification,ridge,ta_ratio_bb_width_6m_vde,replace_vix,,,2,,,0.029376750700280098,-0.009610925109964152,,,benchmark_family,real_assets
classification,ridge,ta_ratio_bb_width_6m_voo,replace_vix,,,2,,,0.04710996240601505,-0.06722966991002355,,,benchmark_family,defensive_rates
classification,ridge,ta_ratio_bb_width_6m_voo,replace_vix,,,4,,,0.009733428466382749,0.0334730849039254,,,benchmark_family,equity
classification,ridge,ta_ratio_bb_width_6m_voo,replace_vix,,,2,,,0.058013205282112804,-0.0465587318701793,,,benchmark_family,real_assets
classification,ridge,ta_ratio_bb_width_6m_vxus,replace_vol_63d,,,2,,,0.007651942355889698,0.004714355115322949,,,benchmark_family,defensive_rates
classification,ridge,ta_ratio_bb_width_6m_vxus,replace_vol_63d,,,4,,,0.04750675000844533,-0.0212886532336319,,,benchmark_family,equity
classification,ridge,ta_ratio_bb_width_6m_vxus,replace_vol_63d,,,2,,,0.0176895758303321,-0.0063204652764489505,,,benchmark_family,real_assets
