benchmark,variant,feature_columns,feature_swaps,n_features,notes,n_obs,brier_score,accuracy,balanced_accuracy,precision,recall,base_rate,predicted_positive_rate,baseline_balanced_accuracy,baseline_brier_score,baseline_accuracy,baseline_precision,baseline_recall,delta_balanced_accuracy,delta_brier_score,delta_accuracy,delta_precision,delta_recall,improved_vs_baseline
VOO,lean_baseline,mom_12m|vol_63d|yield_slope|real_yield_change_6m|real_rate_10y|credit_spread_hy|nfci|vix|combined_ratio_ttm|investment_income_growth_yoy|book_value_per_share_growth_yoy|npw_growth_yoy,{},12,Existing lean shadow-classifier baseline.,108.0,0.2840073864042659,0.6296296296296297,0.5921052631578947,0.4,0.5,0.2962962962962963,0.37037037037037035,0.5921052631578947,0.2840073864042659,0.6296296296296297,0.4,0.5,0.0,0.0,0.0,0.0,0.0,False
VOO,ta_obv_replaces_mom12,ta_pgr_obv_detrended|vol_63d|yield_slope|real_yield_change_6m|real_rate_10y|credit_spread_hy|nfci|vix|combined_ratio_ttm|investment_income_growth_yoy|book_value_per_share_growth_yoy|npw_growth_yoy,"{""mom_12m"": ""ta_pgr_obv_detrended""}",12,Single-feature replacement from the strongest v164 survivor.,108.0,0.277650546538237,0.6111111111111112,0.5699013157894737,0.375,0.46875,0.2962962962962963,0.37037037037037035,0.5921052631578947,0.2840073864042659,0.6296296296296297,0.4,0.5,-0.022203947368421018,-0.006356839866028918,-0.01851851851851849,-0.025000000000000022,-0.03125,True
VOO,ta_natr_replaces_vol63,mom_12m|ta_pgr_natr_63d|yield_slope|real_yield_change_6m|real_rate_10y|credit_spread_hy|nfci|vix|combined_ratio_ttm|investment_income_growth_yoy|book_value_per_share_growth_yoy|npw_growth_yoy,"{""vol_63d"": ""ta_pgr_natr_63d""}",12,Single volatility replacement from the v164 survivor set.,108.0,0.24033975637867475,0.7037037037037037,0.6356907894736843,0.5,0.46875,0.2962962962962963,0.2777777777777778,0.5921052631578947,0.2840073864042659,0.6296296296296297,0.4,0.5,0.0435855263157896,-0.04366763002559118,0.07407407407407407,0.09999999999999998,-0.03125,True
VOO,ta_minimal_replacement,ta_pgr_obv_detrended|ta_pgr_natr_63d|yield_slope|real_yield_change_6m|real_rate_10y|credit_spread_hy|nfci|vix|combined_ratio_ttm|investment_income_growth_yoy|book_value_per_share_growth_yoy|npw_growth_yoy,"{""mom_12m"": ""ta_pgr_obv_detrended"", ""vol_63d"": ""ta_pgr_natr_63d""}",12,Minimal two-swap TA replacement candidate.,108.0,0.24518360090322308,0.7129629629629629,0.6332236842105263,0.5185185185185185,0.4375,0.2962962962962963,0.25,0.5921052631578947,0.2840073864042659,0.6296296296296297,0.4,0.5,0.04111842105263164,-0.038823785501042846,0.08333333333333326,0.11851851851851847,-0.0625,True
VOO,ta_minimal_plus_vwo_pct_b,ta_pgr_obv_detrended|ta_pgr_natr_63d|yield_slope|real_yield_change_6m|real_rate_10y|credit_spread_hy|nfci|ta_ratio_bb_pct_b_6m_vwo|combined_ratio_ttm|investment_income_growth_yoy|book_value_per_share_growth_yoy|npw_growth_yoy,"{""mom_12m"": ""ta_pgr_obv_detrended"", ""vix"": ""ta_ratio_bb_pct_b_6m_vwo"", ""vol_63d"": ""ta_pgr_natr_63d""}",12,Minimal candidate plus one representative ratio Bollinger feature.,108.0,0.23500243273659718,0.7407407407407407,0.6620065789473684,0.5769230769230769,0.46875,0.2962962962962963,0.24074074074074073,0.5921052631578947,0.2840073864042659,0.6296296296296297,0.4,0.5,0.06990131578947367,-0.049004953667668744,0.11111111111111105,0.17692307692307685,-0.03125,True
VXUS,lean_baseline,mom_12m|vol_63d|yield_slope|real_yield_change_6m|real_rate_10y|credit_spread_hy|nfci|vix|combined_ratio_ttm|investment_income_growth_yoy|book_value_per_share_growth_yoy|npw_growth_yoy,{},12,Existing lean shadow-classifier baseline.,108.0,0.3427949165904523,0.5462962962962963,0.43839285714285714,0.18181818181818182,0.21428571428571427,0.25925925925925924,0.3055555555555556,0.43839285714285714,0.3427949165904523,0.5462962962962963,0.18181818181818182,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,False
VXUS,ta_obv_replaces_mom12,ta_pgr_obv_detrended|vol_63d|yield_slope|real_yield_change_6m|real_rate_10y|credit_spread_hy|nfci|vix|combined_ratio_ttm|investment_income_growth_yoy|book_value_per_share_growth_yoy|npw_growth_yoy,"{""mom_12m"": ""ta_pgr_obv_detrended""}",12,Single-feature replacement from the strongest v164 survivor.,108.0,0.3183152954874191,0.5833333333333334,0.475,0.22580645161290322,0.25,0.25925925925925924,0.28703703703703703,0.43839285714285714,0.3427949165904523,0.5462962962962963,0.18181818181818182,0.21428571428571427,0.03660714285714284,-0.0244796211030332,0.03703703703703709,0.043988269794721396,0.035714285714285726,True
VXUS,ta_natr_replaces_vol63,mom_12m|ta_pgr_natr_63d|yield_slope|real_yield_change_6m|real_rate_10y|credit_spread_hy|nfci|vix|combined_ratio_ttm|investment_income_growth_yoy|book_value_per_share_growth_yoy|npw_growth_yoy,"{""vol_63d"": ""ta_pgr_natr_63d""}",12,Single volatility replacement from the v164 survivor set.,108.0,0.2430464152364278,0.6851851851851852,0.5669642857142857,0.375,0.32142857142857145,0.25925925925925924,0.2222222222222222,0.43839285714285714,0.3427949165904523,0.5462962962962963,0.18181818181818182,0.21428571428571427,0.12857142857142856,-0.0997485013540245,0.13888888888888895,0.19318181818181818,0.10714285714285718,True
VXUS,ta_minimal_replacement,ta_pgr_obv_detrended|ta_pgr_natr_63d|yield_slope|real_yield_change_6m|real_rate_10y|credit_spread_hy|nfci|vix|combined_ratio_ttm|investment_income_growth_yoy|book_value_per_share_growth_yoy|npw_growth_yoy,"{""mom_12m"": ""ta_pgr_obv_detrended"", ""vol_63d"": ""ta_pgr_natr_63d""}",12,Minimal two-swap TA replacement candidate.,108.0,0.2340334949831884,0.7129629629629629,0.5741071428571429,0.42105263157894735,0.2857142857142857,0.25925925925925924,0.17592592592592593,0.43839285714285714,0.3427949165904523,0.5462962962962963,0.18181818181818182,0.21428571428571427,0.1357142857142858,-0.1087614216072639,0.16666666666666663,0.23923444976076552,0.07142857142857142,True
VXUS,ta_minimal_plus_vwo_pct_b,ta_pgr_obv_detrended|ta_pgr_natr_63d|yield_slope|real_yield_change_6m|real_rate_10y|credit_spread_hy|nfci|ta_ratio_bb_pct_b_6m_vwo|combined_ratio_ttm|investment_income_growth_yoy|book_value_per_share_growth_yoy|npw_growth_yoy,"{""mom_12m"": ""ta_pgr_obv_detrended"", ""vix"": ""ta_ratio_bb_pct_b_6m_vwo"", ""vol_63d"": ""ta_pgr_natr_63d""}",12,Minimal candidate plus one representative ratio Bollinger feature.,108.0,0.19811690565449708,0.7314814814814815,0.5633928571428571,0.46153846153846156,0.21428571428571427,0.25925925925925924,0.12037037037037036,0.43839285714285714,0.3427949165904523,0.5462962962962963,0.18181818181818182,0.21428571428571427,0.125,-0.14467801093595523,0.18518518518518523,0.27972027972027974,0.0,True
