alpha,r2,ic,hit_rate,mae,sigma_ratio,version
0.05,-0.34863582708566443,0.15794357451137675,0.7001915708812261,0.15556812313184598,0.0342566466690411,v38
0.1,-0.3102294149472484,0.15794357451137675,0.7001915708812261,0.1533983009194015,0.0685132933380822,v38
0.15,-0.27537839252731633,0.15794357451137675,0.7001915708812261,0.15132680866177992,0.10276994000712332,v38
0.2,-0.24408275982586813,0.15794357451137675,0.7001915708812261,0.14944816592837995,0.1370265866761644,v38
0.25,-0.21634251684290406,0.15794357451137675,0.7001915708812261,0.14778716847170542,0.1712832333452055,v38
0.3,-0.19215766357842368,0.15794357451137675,0.7001915708812261,0.14626480760773206,0.20553988001424664,v38
0.4,-0.15445412620491505,0.15794357451137675,0.7001915708812261,0.14400330556669952,0.2740531733523288,v38
0.5,-0.13097214770534205,0.15794357451137675,0.7001915708812261,0.14234627975935757,0.342566466690411,v38
0.75,-0.13448652152987894,0.15794357451137675,0.7001915708812261,0.14107528338830383,0.5138497000356165,v38
1.0,-0.22688563831651432,0.15794357451137675,0.7001915708812261,0.1443352707502894,0.685132933380822,v38
