benchmark,grid,n,r2,ic,ic_p,hit_rate,mae,std_yhat,std_ytrue,sigma_ratio
VOO,"current_logspace(-4,4)",90,-9.925057042367987,0.03306581059390048,0.8233100503963291,0.7,0.3655114679934886,0.34696216798312207,0.14050345209057455,2.469420948884981
VXUS,"current_logspace(-4,4)",90,-1.5649853770647972,-0.08864468864468865,0.6352660303004217,0.7333333333333333,0.1786794744130068,0.1573256398144003,0.14675117094697657,1.0720571345304253
VWO,"current_logspace(-4,4)",156,-2.4220477163967082,0.16223230231859775,0.2876239055830801,0.6602564102564102,0.1945058176285983,0.2384203243922396,0.14911748011836,1.5988757602596062
VMBS,"current_logspace(-4,4)",102,-0.7984017916444335,0.21092897410814754,0.15623056640332456,0.8137254901960784,0.1445224150578582,0.14715581009308226,0.12987879858984758,1.133024109329767
BND,"current_logspace(-4,4)",132,-0.6571235686880323,0.3078949977302729,0.008700522272592312,0.6439393939393939,0.1412094066991812,0.14410715692444512,0.12861369547757887,1.1204650981323152
GLD,"current_logspace(-4,4)",162,-1.8912147382318154,0.25243698143137994,0.032448665866495904,0.6296296296296297,0.2010331056871375,0.22893010384778584,0.15995467853943457,1.431218554769227
DBC,"current_logspace(-4,4)",150,-2.7464925516910657,0.01033823725498911,0.9492347653942098,0.7066666666666667,0.2545801367254388,0.27955462821981386,0.18087763888155986,1.545545540888382
VDE,"current_logspace(-4,4)",162,-3.9073765068721924,-0.0052825374244419325,0.9704477716950237,0.5987654320987654,0.3278943050758267,0.36837412408629555,0.2134771261034729,1.725590609214702
POOLED,"current_logspace(-4,4)",1044,-2.8557273226516573,0.102208256750943,0.06101642670007191,0.6752873563218391,0.2266037178536929,0.2744751238586882,0.1635004646326896,1.6787421642825766
VOO,"extended_logspace(0,6)",90,-9.716619466878392,0.03882783882783882,0.7917984643408446,0.7,0.3638502433928447,0.34270738160135367,0.14050345209057455,2.4391385158311256
VXUS,"extended_logspace(0,6)",90,-1.5331291905570898,-0.08117051487838003,0.6642299237628705,0.7333333333333333,0.17795555208208091,0.15617181611507266,0.14675117094697657,1.0641946848349164
VWO,"extended_logspace(0,6)",156,-2.368955367533644,0.15475968453161795,0.30907440406799985,0.6602564102564102,0.1945224994972769,0.2352249310676212,0.14911748011836,1.5774470630868664
VMBS,"extended_logspace(0,6)",102,-0.753116578791313,0.21573527998145334,0.1461381223790664,0.8235294117647058,0.1427810167314167,0.1441684880160787,0.12987879858984758,1.110023264623485
BND,"extended_logspace(0,6)",132,-0.6101449852494338,0.31407282954088894,0.007406279544742154,0.6515151515151515,0.13950994433932667,0.14210136495700068,0.12861369547757887,1.1048696208388873
GLD,"extended_logspace(0,6)",162,-1.8858325424087554,0.2567471255121295,0.030508585864705087,0.6358024691358025,0.19899491910147488,0.2286475614481846,0.15995467853943457,1.4294521644255298
DBC,"extended_logspace(0,6)",150,-2.768580763832574,0.004193964176185608,0.979397790072709,0.7066666666666667,0.2565229656647905,0.2801858860424063,0.18087763888155986,1.549035512487391
VDE,"extended_logspace(0,6)",162,-3.8133638847480977,-0.0006534370364725126,0.9963232273105207,0.5864197530864198,0.32247208090114177,0.36287811761323097,0.2134771261034729,1.6998454318583203
POOLED,"extended_logspace(0,6)",1044,-2.806186679414967,0.10216425961075712,0.06126586054772072,0.6762452107279694,0.2251370754059929,0.2721801004374247,0.1635004646326896,1.6647053636751936
VOO,"aggressive_logspace(2,6)",90,-0.7241926379716732,-0.10853191752068156,0.46013377766942537,0.6,0.15413399776745387,0.10533527392762854,0.14050345209057455,0.7496988320238915
VXUS,"aggressive_logspace(2,6)",90,-0.09131013681558331,0.08301436391324031,0.537622207051216,0.7444444444444445,0.12629101438996757,0.04838832001308477,0.14675117094697657,0.32973038443807856
VWO,"aggressive_logspace(2,6)",156,-0.12004606198310053,0.21462597398492197,0.05807198839956074,0.6410256410256411,0.12774629525109388,0.07559647816463719,0.14911748011836,0.5069591982417722
VMBS,"aggressive_logspace(2,6)",102,-0.07978194844794295,0.16837337645814837,0.226885921301339,0.7941176470588235,0.1110378359672031,0.05086504886173135,0.12987879858984758,0.3916347349528639
BND,"aggressive_logspace(2,6)",132,-0.0076299531462589165,0.2972351071989481,0.003174484628459594,0.7803030303030303,0.10533446009145027,0.06051085961526734,0.12861369547757887,0.4704853506508267
GLD,"aggressive_logspace(2,6)",162,-0.5229654855893724,0.1809964138585104,0.2149134888275091,0.6481481481481481,0.1482142047198706,0.12734661962826221,0.15995467853943457,0.7961418871337778
DBC,"aggressive_logspace(2,6)",150,-0.28190858803309093,0.0607511444953109,0.6964173829698953,0.7066666666666667,0.16155422454070836,0.10700591203390791,0.18087763888155986,0.5915928176394223
VDE,"aggressive_logspace(2,6)",162,-0.57939902249794,-0.007405149309657178,0.9612621084391444,0.5740740740740741,0.2048930003570888,0.14357605064417966,0.2134771261034729,0.6725594131082129
POOLED,"aggressive_logspace(2,6)",1044,-0.31434524355746807,0.11232038565623625,0.04249238834177209,0.6791187739463601,0.14543408243068812,0.10404770534068852,0.1635004646326896,0.6363755942494469
