benchmark,n,r2,ic,ic_p,hit_rate,mae,std_yhat,std_ytrue,sigma_ratio,variant
VOO,90,-0.8259428715052199,0.10736304893608264,0.5424090481721676,0.5888888888888889,0.1494050415258866,0.14332982222065516,0.14050345209057455,1.0201160191299685,A_ridge7
VXUS,90,-0.01911977457501912,0.1713874140840433,0.30005768432303304,0.8,0.12021790189460485,0.07741167564307806,0.14675117094697657,0.5275029503583865,A_ridge7
VWO,156,-0.12878309931137055,0.253120703007697,0.022603046694772127,0.6666666666666666,0.13124385257960577,0.09718778936081052,0.14911748011836,0.6517531632352491,A_ridge7
VMBS,102,-0.20761806816959538,0.34581088034560165,0.019874792257805852,0.7549019607843137,0.11703103725328702,0.10115247798278582,0.12987879858984758,0.7788220947609901,A_ridge7
BND,132,-0.1674861115341586,0.394833370727304,0.0011598547221964041,0.7424242424242424,0.1113430339988438,0.09840511742399648,0.12861369547757887,0.7651216074508284,A_ridge7
GLD,162,-1.4116042163343758,0.2620113158923508,0.03252054629886025,0.5740740740740741,0.17752596859619182,0.1972152744025708,0.15995467853943457,1.2329447078595464,A_ridge7
DBC,150,-0.6621398384373605,0.16342948575492244,0.2682561491036615,0.7266666666666667,0.1757235096766622,0.19021546632828445,0.18087763888155986,1.0516251069201488,A_ridge7
VDE,162,-0.5284296673403235,0.043063335407960646,0.7240419033116714,0.6358024691358025,0.21529874598969465,0.1848070629632853,0.2134771261034729,0.8656996013414049,A_ridge7
POOLED,1044,-0.5169544143242322,0.22755455890573242,4.293793273254678e-06,0.6791187739463601,0.15456961916892561,0.15406363343110857,0.1635004646326896,0.9422825419928851,A_ridge7
VOO,90,-0.23665896705778722,0.09635826538834016,0.5810419667857722,0.6444444444444445,0.12219032808180143,0.07490339304994163,0.14050345209057455,0.5331071367673991,B_gbt7
VXUS,90,-0.3749830546555246,0.004832289922517796,0.9712078271301682,0.7444444444444445,0.1353887841500042,0.08203125743769264,0.14675117094697657,0.5589819618361463,B_gbt7
VWO,156,-0.6796452472916754,-0.06974948580470994,0.5116411482895997,0.6538461538461539,0.1529682485215354,0.10590848669411568,0.14911748011836,0.7102352226583512,B_gbt7
VMBS,102,-0.5563212640451269,-0.18013560398635037,0.1675018273580225,0.7549019607843137,0.13774917415513235,0.07684045065468233,0.12987879858984758,0.591631979114171,B_gbt7
BND,132,-0.4388532749179521,0.11170003933664205,0.39010161426655215,0.7348484848484849,0.1283623029508335,0.10778864566242742,0.12861369547757887,0.8380806201250794,B_gbt7
GLD,162,-1.495591019430968,-0.08555054604545605,0.5441104730021973,0.5432098765432098,0.18998832302214325,0.1715486509824753,0.15995467853943457,1.0724828592005353,B_gbt7
DBC,150,-0.7982241843795608,-0.13646437611469367,0.2999281573042504,0.7133333333333334,0.1950259729475836,0.1460891668003051,0.18087763888155986,0.8076684752390286,B_gbt7
VDE,162,-0.9421301941836298,-0.038290248008138204,0.7742574935895233,0.5308641975308642,0.2374643436848828,0.19005130381071492,0.2134771261034729,0.8902654222476116,B_gbt7
POOLED,1044,-0.7573098548187727,-0.03369756088838418,0.5196283645709938,0.6532567049808429,0.16910022468604533,0.13793203727381792,0.1635004646326896,0.8436186256943539,B_gbt7
VOO,90,-0.5227572041610511,0.05387496398732354,0.7702042008713703,0.43333333333333335,0.14437798142232602,0.09461915653405628,0.14050345209057455,0.6734294077917795,C_shared7_ridge
VXUS,90,0.09829110458543677,0.36833353912005595,0.01952353586611373,0.8222222222222222,0.11273136224059171,0.08067636824994812,0.14675117094697657,0.5497494004943764,C_shared7_ridge
VWO,156,-0.3053992721983594,0.2770590001738553,0.008063820185441136,0.6346153846153846,0.13933108426294447,0.1035395612951807,0.14911748011836,0.6943489201467028,C_shared7_ridge
VMBS,102,-0.26856780236085065,0.24949251064455388,0.14540304072076315,0.8431372549019608,0.12026615777004747,0.10959289837348539,0.12987879858984758,0.843808993949626,C_shared7_ridge
BND,132,-0.16809890283153472,0.397280501740124,0.0029826681538634237,0.7727272727272727,0.11331537443385949,0.09985760797860628,0.12861369547757887,0.7764150435753119,C_shared7_ridge
GLD,162,-1.2487530444629984,0.2768893574441721,0.028089916595424452,0.6358024691358025,0.1752193310491651,0.19489301885513347,0.15995467853943457,1.2184264982726676,C_shared7_ridge
DBC,150,-0.3291998682768851,-0.07601582292546337,0.6081417127504499,0.6733333333333333,0.1709266255456708,0.12303245226843167,0.18087763888155986,0.6801971378507119,C_shared7_ridge
VDE,162,-0.30025995260320126,-0.03811810133495916,0.7784029238603168,0.6172839506172839,0.1971388191307483,0.12622480362996277,0.2134771261034729,0.5912802272257558,C_shared7_ridge
POOLED,1044,-0.37488390027649476,0.1977456422187783,0.0001893344608207449,0.6743295019157088,0.15139969516618085,0.13154863000531006,0.1635004646326896,0.8045764903533416,C_shared7_ridge
