benchmark,n,r2,ic,ic_p,hit_rate,mae,std_yhat,std_ytrue,sigma_ratio,variant
VOO,90,-2.19043611831285,0.14107914557352758,0.4381138452236713,0.6777777777777778,0.18976567396229002,0.22458733496080555,0.14050345209057455,1.5984470959192298,A_2comp_per_block
VXUS,90,-0.15572302058650256,0.3476067004156892,0.023187368834473924,0.7333333333333333,0.12415064160560108,0.11349871043992844,0.14675117094697657,0.7734092321548648,A_2comp_per_block
VWO,156,-0.4926330589603618,0.17050149357525562,0.13207885426249835,0.5576923076923077,0.15104321387298247,0.12537296125230063,0.14911748011836,0.8407663618831777,A_2comp_per_block
VMBS,102,-0.46129636175628597,0.02012428541540619,0.881193351827613,0.803921568627451,0.1328197166481221,0.08832728724945792,0.12987879858984758,0.6800747174170606,A_2comp_per_block
BND,132,-0.3670507694427583,0.1064006303058131,0.3543774106290606,0.7045454545454546,0.12367014624187983,0.09127084660901455,0.12861369547757887,0.7096510699743149,A_2comp_per_block
GLD,162,-0.9662647404211082,0.16077797112739764,0.2388559970388781,0.5617283950617284,0.17186252099529906,0.16403036929836812,0.15995467853943457,1.0254802847665925,A_2comp_per_block
DBC,150,-0.29944559728654374,0.2790257344770879,0.032363999383348795,0.76,0.17009588159671832,0.170663363891727,0.18087763888155986,0.9435293657469664,A_2comp_per_block
VDE,162,-0.9063442479735939,0.04135847160653776,0.7138282426890825,0.5679012345679012,0.2515334145427683,0.21994722050509355,0.2134771261034729,1.0303081389548245,A_2comp_per_block
POOLED,1044,-0.6586586982183014,0.1533535823527175,0.0019722730083970917,0.657088122605364,0.16838295398851216,0.16435995078287485,0.1635004646326896,1.005256781086929,A_2comp_per_block
VOO,90,-2.7304423629016807,-0.1918014569699963,0.17752617320031025,0.4666666666666667,0.21847586506694847,0.21204348939672624,0.14050345209057455,1.5091692498774614,B_1comp_per_block
VXUS,90,-0.5577728937676261,-0.15303123842449684,0.32441747003234506,0.6,0.1565916945119614,0.08201946069568229,0.14675117094697657,0.5589015758199106,B_1comp_per_block
VWO,156,-0.7328013881377542,-0.04262616364527192,0.7313904825147098,0.5192307692307693,0.16680742002565074,0.12004324436622411,0.14911748011836,0.8050246307202977,B_1comp_per_block
VMBS,102,-0.6989350211639953,-0.06592555314926124,0.7121214017432892,0.7647058823529411,0.13821152799635125,0.10516659393847598,0.12987879858984758,0.809728724628784,B_1comp_per_block
BND,132,-0.7334161769568912,-0.0134513939254799,0.928979536534904,0.7196969696969697,0.13590984964668512,0.11155596778123353,0.12861369547757887,0.8673723849314399,B_1comp_per_block
GLD,162,-1.2547954558944077,0.018644830861421952,0.9075265101092167,0.6419753086419753,0.18192323094130186,0.17979808197881428,0.15995467853943457,1.124056411607164,B_1comp_per_block
DBC,150,-0.27393356832747284,0.14979687986132717,0.28605233747790765,0.6866666666666666,0.1709825260771199,0.11228313996272755,0.18087763888155986,0.6207684966313136,B_1comp_per_block
VDE,162,-0.5136391064500003,-0.1798871233387104,0.18785170741235618,0.5740740740740741,0.21635670778018928,0.1323101516984404,0.2134771261034729,0.6197860825347131,B_1comp_per_block
POOLED,1044,-0.7261217967694586,-0.03664476669994397,0.5023768547787818,0.6226053639846744,0.17431460045933259,0.1398869013851375,0.1635004646326896,0.8555749471379123,B_1comp_per_block
