benchmark,n,r2,ic,ic_p,hit_rate,mae,std_yhat,std_ytrue,sigma_ratio,variant
VOO,90,-10.136131817525559,0.036440712845207224,0.8009718921611388,0.6888888888888889,0.3674661562941039,0.34676979824525206,0.14050345209057455,2.4680518028959844,A
VXUS,90,-1.5183961132666597,-0.07387743342799521,0.6927903058463943,0.7444444444444445,0.17760499384492187,0.15599639740639357,0.14675117094697657,1.0629993369031272,A
VWO,156,-2.3845457962065915,0.15391569597445906,0.3070124991329018,0.6474358974358975,0.1941453566478609,0.23513468041652305,0.14911748011836,1.5768418312185,A
VMBS,102,-0.7181295429794297,0.18049657621387497,0.22972698661392868,0.8529411764705882,0.140873535228084,0.1366140632567063,0.12987879858984758,1.0518580764527121,A
BND,132,-0.5935852465721498,0.2864291192937235,0.00952831564441737,0.6666666666666666,0.13837271575479632,0.13536159191980118,0.12861369547757887,1.0524663910570757,A
GLD,162,-1.8800801433254342,0.22918986509277253,0.07624211572994924,0.5925925925925926,0.19943759815692305,0.22599724236189642,0.15995467853943457,1.4128829767625708,A
DBC,150,-2.917204711044139,-0.006963865060669363,0.965122770415489,0.7,0.26199076205302474,0.2876087488229592,0.18087763888155986,1.5900735469644633,A
VDE,162,-3.787073665039161,0.02255416259150588,0.8764643074747553,0.6049382716049383,0.32078648359417145,0.3659376884050858,0.2134771261034729,1.7141775097146235,A
POOLED,1044,-2.847855604364528,0.09408772610029627,0.08627686065293794,0.6743295019157088,0.22562480246562003,0.2734719794129648,0.1635004646326896,1.6726067416831545,A
VOO,90,-10.286811225569082,0.024521545869860478,0.8609046144575027,0.6777777777777778,0.3749424463726865,0.35614109304242525,0.14050345209057455,2.5347497712215743,B
VXUS,90,-1.649573018754357,-0.10255587109519694,0.5647657714792658,0.6888888888888889,0.1846078909044377,0.16366005418887847,0.14675117094697657,1.1152214536537588,B
VWO,156,-2.4849780307686298,0.1288615637495851,0.3787283464878265,0.6410256410256411,0.2004308090653364,0.23822034910588763,0.14911748011836,1.5975347016111283,B
VMBS,102,-0.8150680620139485,0.15933752141633353,0.2834214036113497,0.8235294117647058,0.14512502852859369,0.14000574677652494,0.12987879858984758,1.0779722964535412,B
BND,132,-0.668288201952508,0.2577314208491388,0.017840160491641405,0.6363636363636364,0.14129660087974194,0.13689125089245932,0.12861369547757887,1.0643598287425267,B
GLD,162,-1.8889473559039338,0.2313689294217435,0.07399522405158893,0.5925925925925926,0.1985830699109424,0.22504927556320597,0.15995467853943457,1.4069565055436828,B
DBC,150,-2.9347143921824475,-0.022502333437041645,0.8860791405174704,0.7,0.26408972360026906,0.28768300956585724,0.18087763888155986,1.5904841048607141,B
VDE,162,-3.7771450988750654,0.018351278153892186,0.898528905671591,0.5987654320987654,0.3196607816995684,0.36570091165925045,0.2134771261034729,1.7130683663129056,B
POOLED,1044,-2.891761247800534,0.08179343606328099,0.12879380689839953,0.6599616858237548,0.22859157403842842,0.2751392154945642,0.1635004646326896,1.6828038752836303,B
VOO,90,-10.145060161903539,0.0369346009795448,0.7950462823508473,0.6888888888888889,0.3677808323987659,0.34715934353535793,0.14050345209057455,2.4708242991180325,C
VXUS,90,-1.4434541344234,-0.06064123142774828,0.7397465003771515,0.7222222222222222,0.17520159601384075,0.15443938231730786,0.14675117094697657,1.0523894379903052,C
VWO,156,-2.3033946177171165,0.15717469298730857,0.29474745937775054,0.6410256410256411,0.19265867274481055,0.2322111107596547,0.14911748011836,1.5572360166986474,C
VMBS,102,-0.6691303874625063,0.17821216730468023,0.2355071882032342,0.8431372549019608,0.13978662871433092,0.13459126086615594,0.12987879858984758,1.036283537632575,C
BND,132,-0.5901282814853528,0.2783259328056435,0.010939741731371678,0.6742424242424242,0.1388265640848983,0.13478336925185921,0.12861369547757887,1.0479705816038534,C
GLD,162,-1.8189278973279666,0.23060964405322898,0.07583442396701112,0.5987654320987654,0.19753960360986011,0.22201175210647908,0.15995467853943457,1.3879666048764259,C
DBC,150,-2.846493355260919,-0.0006666962976132273,0.9966607898732803,0.6933333333333334,0.26004887266883203,0.2854961090019285,0.18087763888155986,1.5783936077851706,C
VDE,162,-3.734409284872287,0.021069463320730324,0.8843726760985754,0.6049382716049383,0.31951834474656055,0.36390646209508987,0.2134771261034729,1.7046625497417625,C
POOLED,1044,-2.7954053997196264,0.0952044119049807,0.08181783775210787,0.671455938697318,0.2244034795282168,0.2715588160508793,0.1635004646326896,1.6609054699688293,C
