benchmark,n,r2,ic,ic_p,hit_rate,mae,std_yhat,std_ytrue,sigma_ratio,variant,version
VOO,90,-7.444944717668079,-0.05170185619623822,0.7428334991081447,0.6555555555555556,0.32115779176408743,0.2885740963711935,0.14050345209057455,2.0538576958604993,A_pgr_vs_peers_6m,v51
VXUS,90,-1.513629699370083,-0.12030291805572703,0.5374022608201854,0.7333333333333333,0.17860909567684208,0.15242535422868483,0.14675117094697657,1.038665335650088,A_pgr_vs_peers_6m,v51
VWO,156,-1.89863323314158,0.15694710056740052,0.2787353226026306,0.7115384615384616,0.18426809789965767,0.21610640693900912,0.14911748011836,1.4492359096162135,A_pgr_vs_peers_6m,v51
VMBS,102,-0.6416442011650585,0.21541862924156494,0.12390626766372767,0.7843137254901961,0.14077634145616771,0.13239326409133267,0.12987879858984758,1.0193600920919024,A_pgr_vs_peers_6m,v51
BND,132,-0.5613392749020414,0.2621665196996655,0.011392708987770549,0.5984848484848485,0.1360737959573435,0.12882117022584305,0.12861369547757887,1.0016131621713673,A_pgr_vs_peers_6m,v51
GLD,162,-2.0242397786604847,0.2275104048910397,0.050635168168708986,0.6234567901234568,0.20863008516415546,0.22049092333700268,0.15995467853943457,1.3784587318753778,A_pgr_vs_peers_6m,v51
DBC,150,-3.7407562868745785,-0.04773367705231344,0.7770380777143457,0.7266666666666667,0.27859911963776923,0.3160841026613383,0.18087763888155986,1.7475023701979697,A_pgr_vs_peers_6m,v51
VDE,162,-4.709071333039091,-0.01792788482572425,0.9020612050032163,0.6111111111111112,0.3552835504360785,0.4036393478627761,0.2134771261034729,1.890784999921402,A_pgr_vs_peers_6m,v51
POOLED,1044,-3.016620311371703,0.07677490416622439,0.16328587691805047,0.6743295019157088,0.22910885818949425,0.2778559456447358,0.1635004646326896,1.6994199146097255,A_pgr_vs_peers_6m,v51
VOO,90,-14.027212577509863,0.03551878832777709,0.8028391869628331,0.7,0.41668800453610455,0.4296651238772926,0.14050345209057455,3.058039624537567,B_two_stage_sector,v51
VXUS,90,-2.0361039614163623,0.05828703132073918,0.7435618514160688,0.7333333333333333,0.19323060149934967,0.19572250742268155,0.14675117094697657,1.3337032076793383,B_two_stage_sector,v51
VWO,156,-5.074321465981212,0.15790488533451344,0.2785866121986602,0.5769230769230769,0.2666903600685463,0.3283159441048416,0.14911748011836,2.2017267448742106,B_two_stage_sector,v51
VMBS,102,-0.7463394304485116,0.23066310057619127,0.118422558816807,0.7549019607843137,0.13456051122846602,0.1350113024303421,0.12987879858984758,1.0395176418031304,B_two_stage_sector,v51
BND,132,-3.2644265059671183,0.2230750366547875,0.06059198397853265,0.7045454545454546,0.18122812087483742,0.2395148543284538,0.12861369547757887,1.8622811003063686,B_two_stage_sector,v51
GLD,162,-1.5017255116324524,0.24123399396805636,0.05683360598890292,0.6790123456790124,0.1837565517047743,0.22378395168822293,0.15995467853943457,1.3990459905994694,B_two_stage_sector,v51
DBC,150,-3.2815824279632606,-0.07834837103871284,0.6398339281394795,0.6933333333333334,0.2714774538196204,0.29443458003791406,0.18087763888155986,1.6278108331053138,B_two_stage_sector,v51
VDE,162,-5.539127626864205,-0.007653540062182366,0.9588209890630356,0.6234567901234568,0.3531410877780394,0.4544777125950099,0.2134771261034729,2.1289293185196967,B_two_stage_sector,v51
POOLED,1044,-4.128805869154968,0.07995283278782467,0.1442367104800411,0.6743295019157088,0.2508071747929359,0.3258678952892106,0.1635004646326896,1.9930701482793092,B_two_stage_sector,v51
