benchmark,n,r2,ic,ic_p,hit_rate,mae,std_yhat,std_ytrue,sigma_ratio,variant,version
VOO,90,-4.467877199661294,-0.12148824957813723,0.4332226059254172,0.7,0.2633527658314725,0.2155847723700468,0.14050345209057455,1.534373491628317,A_default_ard,v53
VXUS,90,-1.320134522750386,-0.08253693871671398,0.6629825221450947,0.7333333333333333,0.17115225074335727,0.1407718375833751,0.14675117094697657,0.9592552936714769,A_default_ard,v53
VWO,156,-2.7545019068753014,0.12098749822193422,0.40315045862460674,0.6474358974358975,0.21034841728263123,0.24735987305237828,0.14911748011836,1.6588254633597594,A_default_ard,v53
VMBS,102,-1.2947686785435795,0.14766667986044751,0.3299350430283602,0.7647058823529411,0.1625684210799985,0.15884529476064554,0.12987879858984758,1.2230271336453695,A_default_ard,v53
BND,132,-1.037455817405045,0.18366527004534236,0.09914834172421645,0.5757575757575758,0.1578751784638734,0.15681672638225022,0.12861369547757887,1.2192848187741248,A_default_ard,v53
GLD,162,-2.5701827258020065,0.09478788699914333,0.4171586526135706,0.4567901234567901,0.23539320692267604,0.24484883454913084,0.15995467853943457,1.5307388116738756,A_default_ard,v53
DBC,150,-2.202543814526471,-0.005719365305124672,0.972889492092083,0.6466666666666666,0.23904664796956468,0.24639280759859702,0.18087763888155986,1.3622071203612793,A_default_ard,v53
VDE,162,-3.182446729165717,0.018661766594548667,0.895665220090789,0.5802469135802469,0.30759384431033493,0.32780038355033214,0.2134771261034729,1.5355293072075857,A_default_ard,v53
POOLED,1044,-2.4125447638290374,0.05672389300448106,0.2889267418061141,0.6216475095785441,0.2233354469256693,0.24911829813501934,0.1635004646326896,1.5236549859027841,A_default_ard,v53
VOO,90,-3.11983889145492,0.2954521134296415,0.02591610354105854,0.6777777777777778,0.22871353020347618,0.253716960191877,0.14050345209057455,1.8057702954395751,C_ard_extended,v53
VXUS,90,-1.4887477855385463,-0.09147631394822404,0.6139705026646668,0.6555555555555556,0.18075926177786603,0.15007774970775253,0.14675117094697657,1.022668158211684,C_ard_extended,v53
VWO,156,-3.025008079552971,0.07644260403660444,0.569920575454009,0.5833333333333334,0.21649141689542717,0.24117797441793073,0.14911748011836,1.617368897506174,C_ard_extended,v53
VMBS,102,-0.5166865502877316,0.41434314762144403,0.00038793632973859794,0.7549019607843137,0.12878374935476553,0.15364248303348793,0.12987879858984758,1.1829681572485529,C_ard_extended,v53
BND,132,-0.6310245357885427,0.43950786056049207,3.242389021998026e-05,0.6666666666666666,0.13455673807647034,0.1531423397469366,0.12861369547757887,1.1907156479586096,C_ard_extended,v53
GLD,162,-2.400002915861615,0.17708990475061426,0.15381110852152322,0.4691358024691358,0.23096166192732284,0.21738378603843403,0.15995467853943457,1.3590336214194643,C_ard_extended,v53
DBC,150,-1.358235321293403,0.06249344415307347,0.6634309473722059,0.6933333333333334,0.2154231899246656,0.21561223318301706,0.18087763888155986,1.1920336561016351,C_ard_extended,v53
VDE,162,-2.575879784049402,-0.08493693556376938,0.566439907334188,0.5123456790123457,0.29500375102531573,0.29576769235430833,0.2134771261034729,1.385477206635005,C_ard_extended,v53
POOLED,1044,-1.9665073568912814,0.11408801189188279,0.03439870558676129,0.6120689655172413,0.20981084249168094,0.23643604513894567,0.1635004646326896,1.4460879097200658,C_ard_extended,v53
VOO,90,-2.8458582356880515,-0.0947853644482858,0.5436999855728006,0.7,0.22828742548518796,0.17618581657344667,0.14050345209057455,1.2539607671694055,B_ard_gbt,v53
VXUS,90,-0.8773153050541809,-0.04595629090011113,0.8020868649703462,0.7555555555555555,0.15587607522472377,0.11668580006687704,0.14675117094697657,0.795126875744231,B_ard_gbt,v53
VWO,156,-1.841910464948881,0.1341625705299426,0.348757058201835,0.6538461538461539,0.18369808197104837,0.20499765144823043,0.14911748011836,1.3747392410703043,B_ard_gbt,v53
VMBS,102,-0.818010843542919,0.15536807821273277,0.3085578545255423,0.7843137254901961,0.14496543945481405,0.13419797223325258,0.12987879858984758,1.0332554172836539,B_ard_gbt,v53
BND,132,-0.7006679014072905,0.1972418902913077,0.06902418429816434,0.6060606060606061,0.14551048140715309,0.13456119884074785,0.12861369547757887,1.0462431573953632,B_ard_gbt,v53
GLD,162,-1.959324342210064,0.07389483756514964,0.5217588783736926,0.4567901234567901,0.2148616201414338,0.2116691620904509,0.15995467853943457,1.32330710188178,B_ard_gbt,v53
DBC,150,-1.5640871486461414,-0.007955909151517846,0.9614088528356464,0.6733333333333333,0.21638715253298368,0.21008336401503144,0.18087763888155986,1.1614667535139362,B_ard_gbt,v53
VDE,162,-2.2824651503235867,0.03517692901528591,0.8061874637813393,0.5864197530864198,0.27428607598691557,0.28018187957411644,0.2134771261034729,1.312467919576131,B_ard_gbt,v53
POOLED,1044,-1.681663122151123,0.06670801680728719,0.20851007654128748,0.6350574712643678,0.20012018570330556,0.2111450684277678,0.1635004646326896,1.2914034764495241,B_ard_gbt,v53
