benchmark,n,r2,ic,ic_p,hit_rate,mae,std_yhat,std_ytrue,sigma_ratio,variant,version
VOO,90,-12.915264511092985,-0.15918837716590523,0.42060159849521794,0.6333333333333333,0.4129814504058586,0.4361347962815921,0.14050345209057455,3.104085983598758,A_rank_transform,v55
VXUS,90,-4.388710443333321,-0.05420422274354858,0.7502146832173403,0.5444444444444444,0.27448991305706727,0.29027863656635094,0.14675117094697657,1.9780328476645208,A_rank_transform,v55
VWO,156,-4.715432567863674,0.12292835580281644,0.3539972376943511,0.5384615384615384,0.2579774829369955,0.32365151369071654,0.14911748011836,2.170446505894698,A_rank_transform,v55
VMBS,102,-6.327366862679014,0.2523423673035493,0.08196408205549886,0.6176470588235294,0.29464670559838796,0.35967854419089224,0.12987879858984758,2.7693399392055027,A_rank_transform,v55
BND,132,-5.171647531807187,0.281670519115276,0.023865645595177072,0.5151515151515151,0.2622916919124016,0.31728862232854,0.12861369547757887,2.466989391373586,A_rank_transform,v55
GLD,162,-5.169479864858533,0.2699287711290912,0.02030389222232012,0.5370370370370371,0.2790679741083709,0.3561355476053461,0.15995467853943457,2.2264778427068386,A_rank_transform,v55
DBC,150,-6.9796675246768265,-0.00433263700608916,0.978635741637203,0.5933333333333334,0.36822863772149544,0.4617983480169019,0.18087763888155986,2.553098054974563,A_rank_transform,v55
VDE,162,-7.695433714528388,-0.0029200026532648564,0.9842328039933774,0.5802469135802469,0.43779325846073436,0.5267867793259088,0.2134771261034729,2.4676497615513804,A_rank_transform,v55
POOLED,1044,-6.385985852227067,0.08420206857215833,0.12099704431858331,0.5660919540229885,0.32390727268939323,0.41222935433010693,0.1635004646326896,2.5212732896887897,A_rank_transform,v55
VOO,90,-12.725788233745329,-0.15918837716590523,0.42060159849521794,0.6333333333333333,0.4115909892368756,0.43613479628159246,0.14050345209057455,3.1040859835987606,B_percentile_transform,v55
VXUS,90,-4.366957879770022,-0.05420422274354858,0.7502146832173403,0.5444444444444444,0.27504546861262297,0.2902786365663511,0.14675117094697657,1.978032847664522,B_percentile_transform,v55
VWO,156,-4.745447341978064,0.12292835580281644,0.3539972376943511,0.532051282051282,0.25958975243555116,0.3236515136907164,0.14911748011836,2.1704465058946965,B_percentile_transform,v55
VMBS,102,-6.347003561319252,0.2523423673035493,0.08196408205549886,0.6078431372549019,0.29553759408745217,0.3596785441908908,0.12987879858984758,2.7693399392054916,B_percentile_transform,v55
BND,132,-5.256846356537706,0.281670519115276,0.023865645595177072,0.5151515151515151,0.2648185020629654,0.3172886223285404,0.12861369547757887,2.466989391373589,B_percentile_transform,v55
GLD,162,-5.268783092361924,0.2699287711290912,0.02030389222232012,0.5308641975308642,0.28225727451989363,0.3561355476053467,0.15995467853943457,2.226477842706842,B_percentile_transform,v55
DBC,150,-6.95391304465972,-0.00433263700608916,0.978635741637203,0.5933333333333334,0.3672099902220326,0.4617983480169001,0.18087763888155986,2.553098054974553,B_percentile_transform,v55
VDE,162,-7.631624293791651,-0.0029200026532648564,0.9842328039933774,0.5679012345679012,0.4351768229609032,0.526786779325909,0.2134771261034729,2.4676497615513813,B_percentile_transform,v55
POOLED,1044,-6.377255941821591,0.08420206857215833,0.12099704431858331,0.5613026819923371,0.3244252699050061,0.4122293543301067,0.1635004646326896,2.5212732896887884,B_percentile_transform,v55
