benchmark,variant,min_history,ridge_alpha,mean_intercept,mean_slope,n,r2,ic,ic_p,hit_rate,mae,std_yhat,std_ytrue,sigma_ratio,version
VOO,A_ridge8_prior24,24.0,8.0,0.03645672252746649,0.1389994649720331,90,-0.13416490150755678,-0.12011443514865536,0.3402611993355829,0.6777777777777778,0.12679613526194145,0.021431314320846783,0.14050345209057455,0.15253229726363762,v71
VXUS,A_ridge8_prior24,24.0,8.0,0.03666666666666666,0.14458147875832034,90,-0.24235714925168916,0.044803885253323454,0.7931158012432484,0.7666666666666667,0.14008887252013805,0.010245549529877118,0.14675117094697657,0.06981579406667215,v71
VWO,A_ridge8_prior24,24.0,8.0,0.0423076923076923,0.08951059849352035,156,-0.18042669709737913,0.17717171186398015,0.1681515293322344,0.6666666666666666,0.13491317396173408,0.027648038771038833,0.14911748011836,0.18541111846239336,v71
VMBS,A_ridge8_prior24,24.0,8.0,0.03823529411764705,0.1298073242108182,102,-0.5302615858400967,0.07913622800836029,0.6792597983226908,0.803921568627451,0.13033207926003063,0.010597417830390882,0.12987879858984758,0.0815946709197483,v71
BND,A_ridge8_prior24,24.0,8.0,0.0400434992260011,0.10786777330169832,132,-0.26322812615636937,0.30572962593854514,0.02659358189268069,0.7575757575757576,0.11719875062554065,0.016059511073723404,0.12861369547757887,0.12486625949196092,v71
GLD,A_ridge8_prior24,24.0,8.0,0.04219261572003651,0.10361371770056324,162,-0.2562312405389402,0.06906533100184742,0.6386137273246727,0.7160493827160493,0.140744116604889,0.06692007613580273,0.15995467853943457,0.41836898268220724,v71
DBC,A_ridge8_prior24,24.0,8.0,0.041999999999999996,0.0969781717907452,150,-0.2056543729622704,0.05153473487710565,0.7173885770193106,0.7266666666666667,0.1649173220313651,0.03571263875658332,0.18087763888155986,0.19744087205808922,v71
VDE,A_ridge8_prior24,24.0,8.0,0.03758669612692305,0.09359452235208156,162,-0.05399059883906676,0.19459453356493103,0.1696572169955178,0.6358024691358025,0.17166513885229687,0.04573215528898937,0.2134771261034729,0.21422508408148086,v71
POOLED,A_ridge8_prior24,,,,,1044,-0.1530481597552884,0.13149745104551666,0.018628353017432785,0.7126436781609196,0.14289091062670597,0.038149148958314005,0.1635004646326896,0.23332746511771454,v71
VOO,B_ridge16_prior24,24.0,16.0,0.036478254020854424,0.1362241403212031,90,-0.13461975600887843,-0.12011443514865536,0.3402611993355829,0.6777777777777778,0.12682549869407453,0.021392520392203,0.14050345209057455,0.1522561906764573,v71
VXUS,B_ridge16_prior24,24.0,16.0,0.03666666666666666,0.13902722522486302,90,-0.24674274620706416,0.04426060830555212,0.7956979907536407,0.7666666666666667,0.1402577167980035,0.009865938796137282,0.14675117094697657,0.06722902946854166,v71
VWO,B_ridge16_prior24,24.0,16.0,0.0423076923076923,0.0834396542614084,156,-0.1851351864758406,0.17673217398272056,0.1693190860135806,0.6666666666666666,0.13517003237966912,0.027438567938389117,0.14911748011836,0.18400638152287793,v71
VMBS,B_ridge16_prior24,24.0,16.0,0.03823529411764705,0.12394133473572651,102,-0.5404633592634376,0.07866086737101029,0.6814143146330282,0.803921568627451,0.13078445106935258,0.01015716652008509,0.12987879858984758,0.07820496209054908,v71
BND,B_ridge16_prior24,24.0,16.0,0.04004295137312806,0.09969932963726147,132,-0.27545564873211226,0.30613139371676934,0.02661867293981249,0.7575757575757576,0.11766558952615859,0.015469034954475306,0.12861369547757887,0.12027517673786157,v71
GLD,B_ridge16_prior24,24.0,16.0,0.04219296135606156,0.09067488437899587,162,-0.2593919802710938,0.07093955213453745,0.6287355326732875,0.7160493827160493,0.1409569634831186,0.06652750966463185,0.15995467853943457,0.4159147470527436,v71
DBC,B_ridge16_prior24,24.0,16.0,0.041999999999999996,0.0890949757578476,150,-0.21513808100869358,0.0475452242321881,0.7391890245684177,0.7266666666666667,0.16552035746354615,0.03528135916289266,0.18087763888155986,0.19505649996899385,v71
VDE,B_ridge16_prior24,24.0,16.0,0.03758763207957546,0.08493655920367923,162,-0.05994955809066904,0.1922461102475144,0.17050549382969896,0.6358024691358025,0.17236526432731408,0.04494214175903594,0.2134771261034729,0.21052439003348947,v71
POOLED,B_ridge16_prior24,,,,,1044,-0.15915164490243994,0.12966215228301523,0.020529291383640253,0.7126436781609196,0.14327791264067463,0.03778691012839637,0.1635004646326896,0.23111194340203367,v71
