benchmark,target,n_features,n_obs,accuracy,balanced_accuracy,brier_score,log_loss,precision,recall,base_rate,predicted_positive_rate,ece_10,feature_set,scope,n_obs_target,n_classes,class_0_share,class_1_share,positive_rate,recommended_target,recommended_next
VOO,benchmark_underperform_0pct,12,90,0.7111111111111111,0.5799278846153846,0.22709502673611853,0.8076217625973647,0.5,0.2692307692307692,0.28888888888888886,0.15555555555555556,0.24449558029271734,lean_baseline,benchmark_panel,1611,2,0.6468032278088144,0.3531967721911856,0.3531967721911856,actionable_sell_3pct,False
VXUS,benchmark_underperform_0pct,12,90,0.7111111111111111,0.5631469979296067,0.21519307348842473,0.7138080160033677,0.35294117647058826,0.2857142857142857,0.23333333333333334,0.18888888888888888,0.23320882388489828,lean_baseline,benchmark_panel,1611,2,0.6468032278088144,0.3531967721911856,0.3531967721911856,actionable_sell_3pct,False
VWO,benchmark_underperform_0pct,12,156,0.6410256410256411,0.49122807017543857,0.2458046007145675,0.7860067480460072,0.25,0.16666666666666666,0.2692307692307692,0.1794871794871795,0.24830290280156558,lean_baseline,benchmark_panel,1611,2,0.6468032278088144,0.3531967721911856,0.3531967721911856,actionable_sell_3pct,False
VMBS,benchmark_underperform_0pct,12,102,0.696078431372549,0.5970017636684303,0.22744748057398367,0.7161519370412863,0.32142857142857145,0.42857142857142855,0.20588235294117646,0.27450980392156865,0.20023367665732206,lean_baseline,benchmark_panel,1611,2,0.6468032278088144,0.3531967721911856,0.3531967721911856,actionable_sell_3pct,False
BND,benchmark_underperform_0pct,12,132,0.6212121212121212,0.6086374288583863,0.2666048457318176,0.8247478289317713,0.3090909090909091,0.5862068965517241,0.2196969696969697,0.4166666666666667,0.24734888740186406,lean_baseline,benchmark_panel,1611,2,0.6468032278088144,0.3531967721911856,0.3531967721911856,actionable_sell_3pct,False
GLD,benchmark_underperform_0pct,12,162,0.5925925925925926,0.5974512743628186,0.27678522175469383,0.9409443797520791,0.3684210526315789,0.6086956521739131,0.2839506172839506,0.4691358024691358,0.24062922040547266,lean_baseline,benchmark_panel,1611,2,0.6468032278088144,0.3531967721911856,0.3531967721911856,actionable_sell_3pct,False
DBC,benchmark_underperform_0pct,12,150,0.68,0.5896173640635489,0.24091335375843972,0.7889082387336803,0.41025641025641024,0.3902439024390244,0.2733333333333333,0.26,0.2120772146405243,lean_baseline,benchmark_panel,1611,2,0.6468032278088144,0.3531967721911856,0.3531967721911856,actionable_sell_3pct,False
VDE,benchmark_underperform_0pct,12,162,0.6111111111111112,0.5064655172413793,0.29798154008851907,1.0448239878887065,0.38095238095238093,0.13793103448275862,0.35802469135802467,0.12962962962962962,0.2568872811241974,lean_baseline,benchmark_panel,1611,2,0.6468032278088144,0.3531967721911856,0.3531967721911856,actionable_sell_3pct,False
POOLED,benchmark_underperform_0pct,12,1044,0.6494252873563219,0.5541141586360268,0.2545901799513353,0.844339707983053,0.35251798561151076,0.34507042253521125,0.2720306513409962,0.2662835249042146,0.2093366337717832,lean_baseline,benchmark_panel,1611,2,0.6468032278088144,0.3531967721911856,0.3531967721911856,actionable_sell_3pct,False
VOO,actionable_sell_3pct,12,90,0.8,0.6515249837767683,0.19425653419370276,0.7654090879191713,0.7272727272727273,0.34782608695652173,0.25555555555555554,0.12222222222222222,0.18375907735619645,lean_baseline,benchmark_panel,1611,2,0.7057728119180633,0.2942271880819367,0.2942271880819367,actionable_sell_3pct,True
VXUS,actionable_sell_3pct,12,90,0.7333333333333333,0.564867042707494,0.20167562266266453,0.6651950116227084,0.29411764705882354,0.29411764705882354,0.18888888888888888,0.18888888888888888,0.2274603004908438,lean_baseline,benchmark_panel,1611,2,0.7057728119180633,0.2942271880819367,0.2942271880819367,actionable_sell_3pct,True
VWO,actionable_sell_3pct,12,156,0.7115384615384616,0.5531612903225807,0.20140164509390346,0.6683493814520249,0.28125,0.2903225806451613,0.1987179487179487,0.20512820512820512,0.16680741613095415,lean_baseline,benchmark_panel,1611,2,0.7057728119180633,0.2942271880819367,0.2942271880819367,actionable_sell_3pct,True
VMBS,actionable_sell_3pct,12,102,0.7647058823529411,0.5777777777777777,0.19948905124069777,0.7194103164356651,0.2,0.3333333333333333,0.11764705882352941,0.19607843137254902,0.2290789586252445,lean_baseline,benchmark_panel,1611,2,0.7057728119180633,0.2942271880819367,0.2942271880819367,actionable_sell_3pct,True
