ex_date,amount,source,policy_regime
1999-03-10,0.065,av,quantitative_annual
1999-06-09,0.065,av,quantitative_annual
1999-09-08,0.065,av,quantitative_annual
1999-12-08,0.065,av,quantitative_annual
2000-03-08,0.065,av,quantitative_annual
2000-06-07,0.065,av,quantitative_annual
2000-09-06,0.07,av,quantitative_annual
2000-12-06,0.07,av,quantitative_annual
2001-03-07,0.07,av,quantitative_annual
2001-06-06,0.07,av,quantitative_annual
2001-09-17,0.07,av,quantitative_annual
2001-12-12,0.07,av,quantitative_annual
2002-03-06,0.07,av,quantitative_annual
2002-06-12,0.0233,av,quantitative_annual
2002-09-11,0.025,av,quantitative_annual
2002-12-11,0.025,av,quantitative_annual
2003-03-12,0.025,av,quantitative_annual
2003-06-11,0.025,av,quantitative_annual
2003-09-10,0.025,av,quantitative_annual
2003-12-10,0.025,av,quantitative_annual
2004-03-10,0.025,av,quantitative_annual
2004-06-09,0.025,av,quantitative_annual
2004-09-08,0.03,av,quantitative_annual
2004-12-08,0.03,av,quantitative_annual
2005-03-09,0.03,av,quantitative_annual
2005-06-08,0.03,av,quantitative_annual
2005-09-07,0.03,av,quantitative_annual
2005-12-07,0.03,av,quantitative_annual
2006-03-08,0.03,av,quantitative_annual
2006-06-07,0.0075,av,quantitative_annual
2006-09-06,0.00875,av,quantitative_annual
2006-12-06,0.00875,av,quantitative_annual
2007-08-29,2.0,av,quantitative_annual
2008-01-17,0.145,av,quantitative_annual
2010-01-25,0.1613,av,quantitative_annual
2010-12-16,1.0,av,quantitative_annual
2011-01-25,0.3987,av,quantitative_annual
2012-01-24,0.4072,av,quantitative_annual
2012-11-19,1.0,av,quantitative_annual
2013-01-23,0.2845,av,quantitative_annual
2014-01-27,1.0,av,quantitative_annual
2015-02-02,0.6862,av,quantitative_annual
2016-02-01,0.8882,av,quantitative_annual
2017-02-01,0.6808,av,quantitative_annual
2018-02-01,1.1247,av,quantitative_annual
2019-02-01,2.514,av,regular_plus_special
2019-04-04,0.1,av,regular_plus_special
2019-07-03,0.1,av,regular_plus_special
2019-10-04,0.1,av,regular_plus_special
2020-01-07,2.35,av,regular_plus_special
2020-04-06,0.1,av,regular_plus_special
2020-07-06,0.1,av,regular_plus_special
2020-10-06,0.1,av,regular_plus_special
2021-01-07,4.6,av,regular_plus_special
2021-04-06,0.1,av,regular_plus_special
2021-07-06,0.1,av,regular_plus_special
2021-10-06,0.1,av,regular_plus_special
2021-12-17,1.5,av,regular_plus_special
2022-01-06,0.1,av,regular_plus_special
2022-04-06,0.1,av,regular_plus_special
2022-07-06,0.1,av,regular_plus_special
2022-10-06,0.1,av,regular_plus_special
2023-01-05,0.1,av,regular_plus_special
2023-04-05,0.1,av,regular_plus_special
2023-07-06,0.1,av,regular_plus_special
2023-10-04,0.1,av,regular_plus_special
2024-01-18,0.85,av,regular_plus_special
2024-04-03,0.1,av,regular_plus_special
2024-07-03,0.1,av,regular_plus_special
2024-10-03,0.1,av,regular_plus_special
2025-01-10,4.6,av,regular_plus_special
2025-04-03,0.1,av,regular_plus_special
2025-07-03,0.1,av,regular_plus_special
2025-10-02,0.1,av,regular_plus_special
2026-01-02,13.6,av,regular_plus_special
2026-04-02,0.1,av,regular_plus_special
