snapshot_date,fold_idx,train_start_date,train_end_date,actual_occurred,actual_excess,stage1_probability,conditional_size_prediction,expected_value_prediction,feature_set,model_name
2023-11-30,0,2019-11-29,2022-11-30,1,0.75,0.75,2.75,2.0625,x10_capital_generation,historical_rate__historical_positive_mean
2024-11-29,1,2019-11-29,2023-11-30,1,4.5,0.8,2.25,1.8,x10_capital_generation,historical_rate__historical_positive_mean
2025-11-28,2,2019-11-29,2024-11-29,1,13.5,0.8333333333333334,2.7,2.2500000000000004,x10_capital_generation,historical_rate__historical_positive_mean
2023-11-30,0,2019-11-29,2022-11-30,1,0.75,0.75,2.647857533399816,1.985893150049862,x10_capital_generation,historical_rate__ridge_positive_excess
2024-11-29,1,2019-11-29,2023-11-30,1,4.5,0.8,2.370330756209043,1.8962646049672345,x10_capital_generation,historical_rate__ridge_positive_excess
2025-11-28,2,2019-11-29,2024-11-29,1,13.5,0.8333333333333334,2.743055887806295,2.285879906505246,x10_capital_generation,historical_rate__ridge_positive_excess
2023-11-30,0,2019-11-29,2022-11-30,1,0.75,0.5921021731268775,2.75,1.6282809760989132,x10_capital_generation,logistic_l2_balanced__historical_positive_mean
2024-11-29,1,2019-11-29,2023-11-30,1,4.5,0.9993890094372418,2.25,2.248625271233794,x10_capital_generation,logistic_l2_balanced__historical_positive_mean
2025-11-28,2,2019-11-29,2024-11-29,1,13.5,0.9731941607913439,2.7,2.6276242341366287,x10_capital_generation,logistic_l2_balanced__historical_positive_mean
2023-11-30,0,2019-11-29,2022-11-30,1,0.75,0.5921021731268775,2.647857533399816,1.5678021996564047,x10_capital_generation,logistic_l2_balanced__ridge_positive_excess
2024-11-29,1,2019-11-29,2023-11-30,1,4.5,0.9993890094372418,2.370330756209043,2.3688825064863837,x10_capital_generation,logistic_l2_balanced__ridge_positive_excess
2025-11-28,2,2019-11-29,2024-11-29,1,13.5,0.9731941607913439,2.743055887806295,2.6695259727374023,x10_capital_generation,logistic_l2_balanced__ridge_positive_excess
2023-11-30,0,2019-11-29,2022-11-30,1,0.75,0.75,2.75,2.0625,persistent_capital_generation,historical_rate__historical_positive_mean
2024-11-29,1,2019-11-29,2023-11-30,1,4.5,0.8,2.25,1.8,persistent_capital_generation,historical_rate__historical_positive_mean
2025-11-28,2,2019-11-29,2024-11-29,1,13.5,0.8333333333333334,2.7,2.2500000000000004,persistent_capital_generation,historical_rate__historical_positive_mean
2023-11-30,0,2019-11-29,2022-11-30,1,0.75,0.75,2.6444621328813276,1.9833465996609956,persistent_capital_generation,historical_rate__ridge_positive_excess
2024-11-29,1,2019-11-29,2023-11-30,1,4.5,0.8,2.3670380732481275,1.8936304585985022,persistent_capital_generation,historical_rate__ridge_positive_excess
2025-11-28,2,2019-11-29,2024-11-29,1,13.5,0.8333333333333334,2.7407402466888895,2.2839502055740746,persistent_capital_generation,historical_rate__ridge_positive_excess
2023-11-30,0,2019-11-29,2022-11-30,1,0.75,0.38131519518360046,2.75,1.0486167867549012,persistent_capital_generation,logistic_l2_balanced__historical_positive_mean
2024-11-29,1,2019-11-29,2023-11-30,1,4.5,0.9985620748311661,2.25,2.246764668370124,persistent_capital_generation,logistic_l2_balanced__historical_positive_mean
2025-11-28,2,2019-11-29,2024-11-29,1,13.5,0.9766823448170436,2.7,2.637042331006018,persistent_capital_generation,logistic_l2_balanced__historical_positive_mean
2023-11-30,0,2019-11-29,2022-11-30,1,0.75,0.38131519518360046,2.6444621328813276,1.0083735943552838,persistent_capital_generation,logistic_l2_balanced__ridge_positive_excess
2024-11-29,1,2019-11-29,2023-11-30,1,4.5,0.9985620748311661,2.3670380732481275,2.363634449627016,persistent_capital_generation,logistic_l2_balanced__ridge_positive_excess
2025-11-28,2,2019-11-29,2024-11-29,1,13.5,0.9766823448170436,2.7407402466888895,2.676832610670547,persistent_capital_generation,logistic_l2_balanced__ridge_positive_excess
