horizon_months,model_name,target_kind,n_obs,fold_count,n_features,target_mae,target_rmse,growth_mae,growth_rmse,future_bvps_mae,future_bvps_rmse,directional_hit_rate,spearman_ic,mean_predicted_growth,mean_realized_growth
1,no_change_bvps,growth,186,31,0,0.027655717312199384,0.03744088856513846,0.027655717312199384,0.03744088856513846,0.7169892473118279,1.339712695889265,0.23118279569892472,,0.0,0.01025736812076767
1,drift_bvps_growth,growth,186,31,0,0.02446260994736661,0.03620025899628411,0.02446260994736661,0.03620025899628411,0.6335633252702939,1.318444989827775,0.7365591397849462,0.10480805333347037,0.007512235833596132,0.01025736812076767
1,no_change_bvps,log_growth,186,31,0,0.02769196507839273,0.0382347868950745,0.027655717312199384,0.03744088856513846,0.7169892473118279,1.339712695889265,0.23118279569892472,,0.0,0.01025736812076767
1,drift_bvps_growth,log_growth,186,31,0,0.024511751207551506,0.037198180322621115,0.024462609947366612,0.03620025899628411,0.6335633252702939,1.318444989827775,0.7365591397849462,0.10480805333347037,0.007512235833596132,0.01025736812076767
1,ridge_bvps_growth,growth,186,31,21,0.024303354229076393,0.03607131806258632,0.024303354229076393,0.03607131806258632,0.6285026509771566,1.31459567291404,0.7365591397849462,0.14210239219726886,0.007712333456241601,0.01025736812076767
1,ridge_log_bvps_growth,log_growth,186,31,21,0.02498046276639805,0.03746754589004019,0.024925919259175956,0.03648852025791418,0.6370059765085814,1.3157904784874477,0.7365591397849462,0.13913907006886134,0.006120823947245983,0.01025736812076767
1,hist_gbt_bvps_growth,growth,186,31,21,0.027155348022485218,0.03814816389723382,0.027155348022485218,0.03814816389723382,0.7047028841435625,1.3659880500860286,0.6612903225806451,0.08734057294428113,0.006660986251588553,0.01025736812076767
1,hist_gbt_log_bvps_growth,log_growth,186,31,21,0.028857650438421596,0.04070600709254707,0.028771968578212306,0.03988180332852299,0.7275743857245321,1.3780684391508444,0.6559139784946236,0.07604369864763189,0.00467363937390308,0.01025736812076767
3,no_change_bvps,growth,180,30,0,0.05701149619330045,0.07008349114438345,0.05701149619330045,0.07008349114438345,1.4812222222222216,2.3166899279407724,0.2611111111111111,,0.0,0.03157247261993348
3,drift_bvps_growth,growth,180,30,0,0.04968221187884684,0.06445030247481066,0.04968221187884684,0.06445030247481066,1.309216244070035,2.2242961992419583,0.6944444444444444,0.06902093714351107,0.02334952117199692,0.03157247261993348
3,no_change_bvps,log_growth,180,30,0,0.05573930949272304,0.06801975478808185,0.05701149619330046,0.07008349114438345,1.4812222222222216,2.3166899279407724,0.2611111111111111,,0.0,0.03157247261993348
3,drift_bvps_growth,log_growth,180,30,0,0.04849622580747242,0.06325980129622732,0.04968221187884684,0.06445030247481068,1.309216244070035,2.2242961992419583,0.6944444444444444,0.06902093714351107,0.02334952117199692,0.03157247261993348
3,ridge_bvps_growth,growth,180,30,21,0.05725514136157284,0.08608363926362468,0.05725514136157284,0.08608363926362468,1.5888798730176152,3.0412146312688053,0.6944444444444444,0.17311242791056947,0.037197842770799974,0.03157247261993348
3,ridge_log_bvps_growth,log_growth,180,30,21,0.05882223729923132,0.08652836276708675,0.0629784725604981,0.10026119585799684,1.730621145641781,3.5232744639167213,0.6944444444444444,0.1753830752919948,0.03607794248654239,0.03157247261993348
3,hist_gbt_bvps_growth,growth,180,30,21,0.05329182315949999,0.06906860091275362,0.05329182315949999,0.06906860091275362,1.3536512401431668,2.2261694589145185,0.6333333333333333,0.16901373673984912,0.02665134088425195,0.03157247261993348
3,hist_gbt_log_bvps_growth,log_growth,180,30,21,0.05629861162243513,0.07147246291653629,0.05766404158981323,0.07289795331611298,1.4012938681312295,2.228041838229279,0.6055555555555555,0.15044577844028412,0.025241323867829794,0.03157247261993348
6,no_change_bvps,growth,174,29,0,0.08964536687417704,0.11501963718604402,0.08964536687417704,0.11501963718604402,2.2597126436781605,3.5286963989357414,0.2413793103448276,,0.0,0.06741529437479797
6,drift_bvps_growth,growth,174,29,0,0.07850921843848621,0.09919760558478664,0.07850921843848621,0.09919760558478664,2.0103656562385113,3.0514569272374468,0.7471264367816092,-0.01383983114035503,0.04691827362663246,0.06741529437479797
6,no_change_bvps,log_growth,174,29,0,0.08460982524272344,0.10628259728691203,0.08964536687417704,0.11501963718604402,2.2597126436781605,3.5286963989357414,0.2413793103448276,,0.0,0.06741529437479797
6,drift_bvps_growth,log_growth,174,29,0,0.07358215619834908,0.09249625783668285,0.07850921843848621,0.09919760558478664,2.0103656562385113,3.0514569272374468,0.7471264367816092,-0.01383983114035503,0.04691827362663246,0.06741529437479797
6,ridge_bvps_growth,growth,174,29,21,0.1529967705533795,0.4363924011016109,0.1529967705533795,0.4363924011016109,5.01105420868742,17.386185014083168,0.7471264367816092,0.08150915458868419,0.13078898220243687,0.06741529437479797
6,ridge_log_bvps_growth,log_growth,174,29,21,0.14790728349362808,0.4084482825845858,0.3780879489534169,1.619998009227938,13.89447380624063,65.23049881345662,0.7471264367816092,0.07895099518779009,0.34373758658134146,0.06741529437479797
6,hist_gbt_bvps_growth,growth,174,29,21,0.0888204187151493,0.11341199755458392,0.0888204187151493,0.11341199755458392,2.122688833781393,3.182736078760018,0.7471264367816092,0.03424963737386074,0.07327733036506238,0.06741529437479797
6,hist_gbt_log_bvps_growth,log_growth,174,29,21,0.09140879488124218,0.12313660822223829,0.09903799580517379,0.13564509415244522,2.1965709786075123,3.203600954649386,0.7471264367816092,0.04771881947357664,0.07477452270872663,0.06741529437479797
12,no_change_bvps,growth,162,27,0,0.16508761112511494,0.2042087997300397,0.16508761112511494,0.2042087997300397,4.017839506172839,5.900167658216309,0.08641975308641975,,0.0,0.14586954781138134
