snapshot_date,fold_idx,train_start_date,train_end_date,actual_occurred,actual_excess,stage1_probability,conditional_size_prediction,expected_value_prediction,stage1_model_name,stage2_model_name,model_name
2008-11-28,0,2000-11-30,2007-11-30,0,0.0,0.375,0.048749999999999995,0.01828125,historical_rate,historical_positive_mean,historical_rate__historical_positive_mean
2009-11-30,1,2000-11-30,2008-11-28,1,0.01630000000000001,0.3333333333333333,0.048749999999999995,0.016249999999999997,historical_rate,historical_positive_mean,historical_rate__historical_positive_mean
2010-11-30,2,2000-11-30,2009-11-30,0,0.0,0.4,0.0406375,0.016255000000000002,historical_rate,historical_positive_mean,historical_rate__historical_positive_mean
2011-11-30,3,2000-11-30,2010-11-30,1,0.12719999999999998,0.36363636363636365,0.0406375,0.014777272727272727,historical_rate,historical_positive_mean,historical_rate__historical_positive_mean
2012-11-30,4,2000-11-30,2011-11-30,0,0.0,0.4166666666666667,0.05794999999999999,0.024145833333333328,historical_rate,historical_positive_mean,historical_rate__historical_positive_mean
2013-11-29,5,2000-11-30,2012-11-30,1,0.65415,0.38461538461538464,0.05794999999999999,0.022288461538461535,historical_rate,historical_positive_mean,historical_rate__historical_positive_mean
2014-11-28,6,2000-11-30,2013-11-29,1,0.043950000000000045,0.42857142857142855,0.15731666666666666,0.06742142857142856,historical_rate,historical_positive_mean,historical_rate__historical_positive_mean
2015-11-30,7,2000-11-30,2014-11-28,1,0.04510000000000003,0.4666666666666667,0.14112142857142856,0.06585666666666666,historical_rate,historical_positive_mean,historical_rate__historical_positive_mean
2016-11-30,8,2000-11-30,2015-11-30,0,0.0,0.5,0.12911875,0.064559375,historical_rate,historical_positive_mean,historical_rate__historical_positive_mean
2017-11-30,9,2000-11-30,2016-11-30,1,0.34020000000000006,0.47058823529411764,0.12911875,0.060761764705882355,historical_rate,historical_positive_mean,historical_rate__historical_positive_mean
2018-11-30,10,2000-11-30,2017-11-30,1,1.6112499999999998,0.5,0.15257222222222222,0.07628611111111111,historical_rate,historical_positive_mean,historical_rate__historical_positive_mean
2019-11-29,11,2000-11-30,2018-11-30,1,2.25,0.5263157894736842,0.29844,0.1570736842105263,historical_rate,historical_positive_mean,historical_rate__historical_positive_mean
2020-11-30,12,2000-11-30,2019-11-29,1,4.5,0.55,0.4758545454545455,0.26172,historical_rate,historical_positive_mean,historical_rate__historical_positive_mean
2021-11-30,13,2000-11-30,2020-11-30,0,0.0,0.5714285714285714,0.8112,0.46354285714285715,historical_rate,historical_positive_mean,historical_rate__historical_positive_mean
2022-11-30,14,2000-11-30,2021-11-30,0,0.0,0.5454545454545454,0.8112,0.44247272727272724,historical_rate,historical_positive_mean,historical_rate__historical_positive_mean
2023-11-30,15,2000-11-30,2022-11-30,1,0.75,0.5217391304347826,0.8112,0.4232347826086957,historical_rate,historical_positive_mean,historical_rate__historical_positive_mean
2024-11-29,16,2000-11-30,2023-11-30,1,4.5,0.5416666666666666,0.8064923076923077,0.43685,historical_rate,historical_positive_mean,historical_rate__historical_positive_mean
2025-11-28,17,2000-11-30,2024-11-29,1,13.5,0.56,1.0703142857142858,0.5993760000000001,historical_rate,historical_positive_mean,historical_rate__historical_positive_mean
2008-11-28,0,2000-11-30,2007-11-30,0,0.0,0.375,0.13624999999999998,0.05109374999999999,historical_rate,ridge_positive_excess,historical_rate__ridge_positive_excess
2009-11-30,1,2000-11-30,2008-11-28,1,0.01630000000000001,0.3333333333333333,0.0539510400991995,0.0179836800330665,historical_rate,ridge_positive_excess,historical_rate__ridge_positive_excess
2010-11-30,2,2000-11-30,2009-11-30,0,0.0,0.4,0.0423217063515571,0.01692868254062284,historical_rate,ridge_positive_excess,historical_rate__ridge_positive_excess
