feature,fold_count,selected_count,mean_abs_coefficient,selection_rate,horizon_months,model_name,feature_block
dividend_season_flag,31,31,0.0005231780401765646,1.0,1,ridge_bridge,bvps_lags
current_bvps,31,31,0.000404081375630002,1.0,1,ridge_bridge,bvps_lags
month_of_year,31,31,0.0003621263919917217,1.0,1,ridge_bridge,bvps_lags
bvps_yoy_dollar_change,31,31,0.0002979382190597242,1.0,1,ridge_bridge,bvps_lags
bvps_growth_6m,31,31,0.0002484146493745773,1.0,1,ridge_bridge,bvps_lags
bvps_growth_ytd,31,31,0.00021447947745588378,1.0,1,ridge_bridge,bvps_lags
bvps_growth_3m,31,31,0.00019825172832625682,1.0,1,ridge_bridge,bvps_lags
bvps_growth_1m,31,31,0.0001932637736065222,1.0,1,ridge_bridge,bvps_lags
q4_flag,31,31,0.0001292475994172984,1.0,1,ridge_bridge,bvps_lags
month_of_year,31,31,0.010338950026290912,1.0,1,elastic_net_bridge,bvps_lags
dividend_season_flag,31,29,0.008622901668108833,0.9354838709677419,1,elastic_net_bridge,bvps_lags
current_bvps,31,28,0.0077533889753080235,0.9032258064516129,1,elastic_net_bridge,bvps_lags
bvps_growth_3m,31,22,0.0017369539673514557,0.7096774193548387,1,elastic_net_bridge,bvps_lags
bvps_yoy_dollar_change,31,20,0.004061891543690376,0.6451612903225806,1,elastic_net_bridge,bvps_lags
bvps_growth_1m,31,19,0.0025751289525963394,0.6129032258064516,1,elastic_net_bridge,bvps_lags
bvps_growth_6m,31,18,0.004661486507530449,0.5806451612903226,1,elastic_net_bridge,bvps_lags
q4_flag,31,17,0.002331870908169013,0.5483870967741935,1,elastic_net_bridge,bvps_lags
bvps_growth_ytd,31,14,0.0033957240726616173,0.45161290322580644,1,elastic_net_bridge,bvps_lags
pgr_premium_to_surplus,31,31,0.0004113482925443039,1.0,1,ridge_bridge,accounting_core
monthly_combined_ratio_delta,31,31,0.00039125268027932547,1.0,1,ridge_bridge,accounting_core
realized_gain_to_net_income_ratio,31,31,0.0002687186628894524,1.0,1,ridge_bridge,accounting_core
buyback_yield,31,31,0.00025900275654754947,1.0,1,ridge_bridge,accounting_core
pif_growth_yoy,31,31,0.000220380645279039,1.0,1,ridge_bridge,accounting_core
underwriting_margin_ttm,31,31,0.00017457224260407976,1.0,1,ridge_bridge,accounting_core
combined_ratio_ttm,31,31,0.0001679290261518183,1.0,1,ridge_bridge,accounting_core
unrealized_gain_pct_equity,31,31,0.00016763480715144995,1.0,1,ridge_bridge,accounting_core
underwriting_income_growth_yoy,31,31,0.00016733721495080898,1.0,1,ridge_bridge,accounting_core
npw_growth_yoy,31,31,0.0001067810864555265,1.0,1,ridge_bridge,accounting_core
investment_book_yield,31,21,0.00018526204779398226,0.6774193548387096,1,ridge_bridge,accounting_core
pgr_premium_to_surplus,31,29,0.009208024944781172,0.9354838709677419,1,elastic_net_bridge,accounting_core
monthly_combined_ratio_delta,31,28,0.005412845293862034,0.9032258064516129,1,elastic_net_bridge,accounting_core
realized_gain_to_net_income_ratio,31,22,0.0031990725565891887,0.7096774193548387,1,elastic_net_bridge,accounting_core
pif_growth_yoy,31,22,0.0028391072288041683,0.7096774193548387,1,elastic_net_bridge,accounting_core
underwriting_income_growth_yoy,31,19,0.0018415628594670912,0.6129032258064516,1,elastic_net_bridge,accounting_core
unrealized_gain_pct_equity,31,16,0.0013795206847604666,0.5161290322580645,1,elastic_net_bridge,accounting_core
buyback_yield,31,15,0.0034782493907396456,0.4838709677419355,1,elastic_net_bridge,accounting_core
investment_book_yield,31,15,0.0022176397527563295,0.4838709677419355,1,elastic_net_bridge,accounting_core
npw_growth_yoy,31,14,0.0014804425492982096,0.45161290322580644,1,elastic_net_bridge,accounting_core
combined_ratio_ttm,31,11,0.0014149017060107276,0.3548387096774194,1,elastic_net_bridge,accounting_core
underwriting_margin_ttm,31,10,0.00315215427839133,0.3225806451612903,1,elastic_net_bridge,accounting_core
premium_to_surplus_x_cr_delta,31,31,0.0003740116271329089,1.0,1,ridge_bridge,logical_interactions
unrealized_gain_x_real_rate,31,31,0.00024242153244859304,1.0,1,ridge_bridge,logical_interactions
buyback_yield_x_pb_ratio,31,31,0.00015877091459524342,1.0,1,ridge_bridge,logical_interactions
premium_growth_x_underwriting_margin,31,31,0.00013700445637573828,1.0,1,ridge_bridge,logical_interactions
buyback_yield_x_bvps_growth_3m,31,31,0.00011571577719977288,1.0,1,ridge_bridge,logical_interactions
investment_yield_x_bvps,31,21,0.00038957004557299606,0.6774193548387096,1,ridge_bridge,logical_interactions
premium_to_surplus_x_cr_delta,31,31,0.005649767151904458,1.0,1,elastic_net_bridge,logical_interactions
unrealized_gain_x_real_rate,31,23,0.004634466313165107,0.7419354838709677,1,elastic_net_bridge,logical_interactions
investment_yield_x_bvps,31,20,0.006180080136044129,0.6451612903225806,1,elastic_net_bridge,logical_interactions
