benchmark,model_mean_ic,model_mean_hit_rate,model_mean_oos_r2,model_mean_mae,ensemble_ic,ensemble_hit_rate,ensemble_oos_r2,ensemble_mae,family,model_mean_ic_rank,model_mean_hit_rate_rank,model_mean_oos_r2_rank,ensemble_ic_rank,ensemble_hit_rate_rank,ensemble_oos_r2_rank,composite_score,n_obs,corr_to_pgr,beta_to_pgr,downside_corr_to_pgr,diversification_score,corr_bucket,recommendation_role,recommendation_bucket,is_live_production_benchmark,selected_for_recommendation,selected_for_forecast
BNDX,0.23399126291012753,0.5961538461538461,-0.639260853717702,0.15541608505177076,0.30188798543228923,0.6025641025641025,-0.30167120558212956,0.13829705249092888,fixed_income,2.0,6.0,1.0,1.0,8.0,3.0,3.5,153,0.10725801403128123,0.021950096280596527,-0.20674390485956362,0.4934712808179861,diversifying,diversification_candidate,fixed_income,True,False,False
BND,0.16661915844008254,0.6166666666666667,-0.7840422549192279,0.14194897816532218,0.17145473132139208,0.6466666666666666,-0.3981170248697248,0.1312559079313721,fixed_income,7.0,2.0,6.0,8.0,2.0,8.0,5.5,227,0.0388477974172566,0.007811386448709014,-0.25027699878827575,0.5239448207222015,diversifying,diversification_candidate,fixed_income,True,True,True
VPU,0.23457239907750305,0.5611979166666667,-0.6537262939055453,0.14915260921930448,0.2530247131269837,0.578125,-0.40030970560492385,0.13839390303841068,sector,1.0,12.0,3.0,2.0,11.0,9.0,6.333333333333333,265,0.30714281464950616,0.1641204662447306,0.002148416210706091,0.3921777524410669,diversifying,diversification_candidate,sector_context,True,False,False
VMBS,0.16861721768566376,0.6541666666666667,-1.5857470534357396,0.15572912703846,0.16912285575387176,0.675,-0.4964649484451158,0.14158769582956837,fixed_income,6.0,1.0,11.0,9.0,1.0,14.0,7.0,195,0.0047604651799004645,0.0010239538031073731,-0.26945627058610716,0.5387522777749509,diversifying,diversification_candidate,fixed_income,True,True,True
VEA,0.10666545277408965,0.5966666666666667,-1.0942842387898213,0.1607902120532726,0.09750655584692652,0.6266666666666667,-0.23818985317905805,0.15041680501310115,broad_equity,13.0,5.0,8.0,14.0,5.0,1.0,7.666666666666667,223,0.45855590762310433,0.3988662443325768,0.21166147645659286,0.3077562108634246,moderately_correlated,diversification_candidate,international_equity,True,False,False
VFH,0.1994976796766355,0.5611979166666666,-1.0357740639530397,0.14970655112477743,0.25185144996337794,0.5677083333333334,-0.38427411387945987,0.13363057716831675,sector,4.0,13.0,7.0,3.0,13.0,7.0,7.833333333333333,265,0.42402719580404613,0.3384489513722785,0.14788478206861583,0.3294077641582915,diversifying,contextual_only,sector_context,True,False,True
VNQ,0.22952514085419715,0.5722222222222222,-2.176277532392264,0.1652302151510205,0.2474356204409601,0.5444444444444444,-0.36090541070839555,0.14743934281402837,real_asset,3.0,10.0,12.0,4.0,15.0,5.0,8.166666666666666,257,0.3278844578689449,0.2698952495814985,0.0708747600185174,0.3746092257430917,diversifying,diversification_candidate,real_assets,True,False,False
VCIT,0.12378540544477343,0.5958333333333333,-1.3995639648383638,0.15965468068847893,0.11031321619556912,0.625,-0.38338718971632635,0.14236217375223473,fixed_income,11.0,7.0,10.0,11.0,6.0,6.0,8.5,195,0.1188805114703551,0.036195119771093735,-0.28450617698167363,0.5010677475326267,diversifying,diversification_candidate,fixed_income,True,False,False
VHT,0.13269544593013435,0.5638020833333334,-0.7625097961965848,0.1527218639145592,0.17816984510213496,0.5885416666666666,-0.41925480334013354,0.1416682367866744,sector,10.0,11.0,5.0,7.0,10.0,10.0,8.833333333333334,265,0.3217423190628233,0.18165411524734446,0.015983131282498432,0.3849927186356371,diversifying,diversification_candidate,sector_context,True,False,False
VXUS,0.07380891558013776,0.6157407407407407,-1.3444080203908102,0.18110978544035644,0.062457724808749414,0.6203703703703703,-0.2909064633165275,0.16441987733544666,broad_equity,17.0,3.0,9.0,18.0,7.0,2.0,9.333333333333334,181,0.28198296612112966,0.227350120347379,-0.06303177639924558,0.41076072831749144,diversifying,diversification_candidate,international_equity,True,True,True
GLD,0.17994470103791,0.5888888888888889,-2.5147084408902045,0.19953207405560647,0.18360443223556283,0.5722222222222222,-0.6140889693509783,0.18143044541907669,real_asset,5.0,8.0,13.0,6.0,12.0,15.0,9.833333333333334,256,0.05434597704511637,0.03317966903360236,-0.15708765935150432,0.5045420569369349,diversifying,diversification_candidate,real_assets,True,True,True
